id,group_id,game_type,step,point_value,reward_id
1101,1000,Running,1,100000,8132046
1102,1000,Running,2,200000,8132047
1103,1000,Running,3,300000,8132048
1104,1000,Running,4,400000,8132049
1105,1000,Running,5,500000,8132050
1201,1000,Smash,1,100000,8132051
1202,1000,Smash,2,200000,8132052
1203,1000,Smash,3,300000,8132053
1204,1000,Smash,4,400000,8132054
1205,1000,Smash,5,500000,8132055
1301,1000,CatchCoin,1,100000,8132056
1302,1000,CatchCoin,2,200000,8132057
1303,1000,CatchCoin,3,300000,8132058
1304,1000,CatchCoin,4,400000,8132059
1305,1000,CatchCoin,5,500000,8132060
1401,1000,StackUp,1,100000,8132061
1402,1000,StackUp,2,200000,8132062
1403,1000,StackUp,3,300000,8132063
1404,1000,StackUp,4,400000,8132064
1405,1000,StackUp,5,500000,8132065
1501,1000,Climbing,1,100000,8132066
1502,1000,Climbing,2,200000,8132067
1503,1000,Climbing,3,300000,8132068
1504,1000,Climbing,4,400000,8132069
1505,1000,Climbing,5,500000,8132070
2101,2000,Running,1,360000,8132071
2102,2000,Running,2,720000,8132072
2103,2000,Running,3,1200000,8132073
2201,2000,Smash,1,120000,8132074
2202,2000,Smash,2,240000,8132075
2203,2000,Smash,3,400000,8132076
2301,2000,CatchCoin,1,300000,8132077
2302,2000,CatchCoin,2,600000,8132078
2303,2000,CatchCoin,3,1000000,8132079
2401,2000,StackUp,1,360000,8132080
2402,2000,StackUp,2,720000,8132081
2403,2000,StackUp,3,1200000,8132082
2501,2000,Climbing,1,360000,8132083
2502,2000,Climbing,2,720000,8132084
2503,2000,Climbing,3,1200000,8132085
