id,group,rank,slot_count,order,reward_id
1,1,1,1,1,3020118
2,1,2,1,2,3020119
3,1,2,1,3,3020120
4,1,3,2,4,3020121
5,1,3,2,5,3020122
6,1,3,2,6,3020123
7,1,3,2,7,3020124
8,1,3,2,8,3020125
9,1,3,2,9,3020126
10,1,3,3,10,3020127
11,1,4,3,11,3020128
12,1,4,4,12,3020129
10201,2,1,1,1,3020218
10202,2,2,1,2,3020219
10203,2,2,1,3,3020220
10204,2,3,2,4,3020221
10205,2,3,2,5,3020222
10206,2,3,2,6,3020223
10207,2,3,2,7,3020224
10208,2,3,2,8,3020225
10209,2,3,2,9,3020226
10210,2,3,2,10,3020227
10211,2,3,3,11,3020228
10212,2,4,2,12,3020229
10213,2,4,3,13,3020230
