id,priority,name_localkey,description_localkey,rank_type,tier_number,resource_id,grant_type,grant_value_min,grant_value_max,reward_id,is_recording
101001,1,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Challenger,1,105,Rank,1,1,3410001,True
101002,2,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Challenger,2,105,Rank,2,2,3410002,True
101003,3,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Challenger,3,105,Rank,3,3,3410003,True
101004,4,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Challenger,4,105,Rank,4,4,3410004,True
101005,5,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Challenger,5,105,Rank,5,5,3410005,True
101006,6,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Challenger,6,105,Rank,6,6,3410006,True
101007,7,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Challenger,7,105,Rank,7,7,3410007,True
101008,8,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Challenger,8,105,Rank,8,8,3410008,True
101009,9,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Challenger,9,105,Rank,9,9,3410009,True
101010,10,Locale_System:SARENA_RANK_CHALLENGER_NAME,Locale_System:SARENA_RANK_TIER_DESC,Challenger,10,105,Rank,10,10,3410010,True
102001,11,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,Dia,1,104,Rank,11,15,3410011,True
102002,12,Locale_System:SARENA_RANK_DIA_NAME,Locale_System:SARENA_RANK_TIER_DESC,Dia,2,104,Rank,16,20,3410012,True
