id,group_id,mission_localkey,mission_type,mission_target_id,mission_count,reward_id
1,1,Locale_Event:event_dungeon_run_mission_01,PlayCharacterCount,1,5,8144045
2,1,Locale_Event:event_dungeon_run_mission_02,PlayCharacterCount,2,5,8144046
3,1,Locale_Event:event_dungeon_run_mission_03,PlayCharacterCount,3,5,8144047
4,1,Locale_Event:event_dungeon_run_mission_04,PlayCharacterCount,4,5,8144048
5,1,Locale_Event:event_dungeon_run_mission_05,MoveDistance,0,500,8144049
6,1,Locale_Event:event_dungeon_run_mission_06,MoveDistance,0,1000,8144050
7,1,Locale_Event:event_dungeon_run_mission_07,MoveDistance,0,1500,8144051
8,1,Locale_Event:event_dungeon_run_mission_08,MoveDistance,0,2000,8144052
9,1,Locale_Event:event_dungeon_run_mission_09,GainGold,0,250,8144053
10,1,Locale_Event:event_dungeon_run_mission_10,GainGold,0,750,8144054
11,1,Locale_Event:event_dungeon_run_mission_11,GainGold,0,1250,8144055
12,1,Locale_Event:event_dungeon_run_mission_12,GainGold,0,1750,8144056
13,1,Locale_Event:event_dungeon_run_mission_13,UseSkillCount,0,20,8144057
14,1,Locale_Event:event_dungeon_run_mission_14,UseSkillCount,0,40,8144058
15,1,Locale_Event:event_dungeon_run_mission_15,UseSkillCount,0,60,8144059
16,1,Locale_Event:event_dungeon_run_mission_16,GainPoint,5000,1,8144060
17,1,Locale_Event:event_dungeon_run_mission_17,GainPoint,10000,1,8144061
18,1,Locale_Event:event_dungeon_run_mission_18,GainPoint,15000,1,8144062
