id,group_id,skill_type,collider_start_time,collider_end_time,projectile_resource,projectile_hit_resource,projectile_start_time,projectile_size,projectile_speed,projectile_life_time,projectile_roll_axis,damage,decrease_shield_gauge,decrease_balance_gauge,gain_beta_gauge,gain_burst_gauge,recovery_hp,is_down,use_collider_type/0/name,use_collider_type/0/value,use_collider_type/1/name,use_collider_type/1/value,use_collider_type/2/name,use_collider_type/2/value,use_collider_type/3/name,use_collider_type/3/value,use_collider_type/4/name,use_collider_type/4/value,use_collider_type/5/name,use_collider_type/5/value,use_collider_type/6/name,use_collider_type/6/value,use_collider_type/7/name,use_collider_type/7/value
1,40,Basic,16,30,,,0,0,0,0,0,3,2,0,0,0,0,False,use_collider_type,SlashRange,,,,,,,,,,,,,,
2,400,Basic,26,40,,,0,0,0,0,0,3,2,0,0,0,0,False,use_collider_type,SlashRange,,,,,,,,,,,,,,
3,4000,Basic,23,50,,,0,0,0,0,0,3,2,0,0,0,0,False,use_collider_type,SlashRange,,,,,,,,,,,,,,
4,40000,Basic,63,76,,,0,0,0,0,0,3,2,0,0,0,0,False,use_collider_type,SlashRange,,,,,,,,,,,,,,
5,400000,Basic,60,75,,,0,0,0,0,0,18,2,0,100,0,0,False,use_collider_type,SlashRange,,,,,,,,,,,,,,
6,41,Basic,23,40,,,0,0,0,0,0,4,2,0,0,0,0,False,use_collider_type,SlashRange,,,,,,,,,,,,,,
7,410,Basic,12,20,,,0,0,0,0,0,4,1,0,0,0,0,False,use_collider_type,SlashRange,,,,,,,,,,,,,,
8,410,Basic,25,40,,,0,0,0,0,0,4,1,0,0,0,0,False,use_collider_type,SlashRange,,,,,,,,,,,,,,
9,4100,Basic,30,50,,,0,0,0,0,0,4,2,0,0,0,0,False,use_collider_type,LeftThigh,use_collider_type,LeftCalf,use_collider_type,LeftFoot,,,,,,,,,,
10,41000,Basic,25,40,,,0,0,0,0,0,2,1,0,0,0,0,False,use_collider_type,SlashRange,,,,,,,,,,,,,,
34,41000,Basic,55,75,,,0,0,0,0,0,3,1,0,0,0,0,False,use_collider_type,SlashRange,,,,,,,,,,,,,,
11,410000,Basic,70,90,,,0,0,0,0,0,15,2,0,100,0,0,False,use_collider_type,SlashRange,,,,,,,,,,,,,,
12,5110,Basic,40,45,,,0,0,0,0,0,8,0,0,0,0,0,False,use_collider_type,SwordEdge,,,,,,,,,,,,,,
13,5110,Basic,53,58,,,0,0,0,0,0,8,0,0,0,0,0,False,use_collider_type,SwordEdge,,,,,,,,,,,,,,
14,5110,Basic,91,96,,,0,0,0,0,0,8,10,0,0,0,0,False,use_collider_type,SwordEdge,,,,,,,,,,,,,,
15,5111,Basic,85,95,,,0,0,0,0,0,12,5,1,0,0,0,False,use_collider_type,SwordEdge,,,,,,,,,,,,,,
16,5120,Basic,75,105,,,0,0,0,0,0,16,10,0,0,0,0,False,use_collider_type,Slash,,,,,,,,,,,,,,
17,5121,Basic,70,100,,,0,0,0,0,0,24,5,1,0,0,0,False,use_collider_type,Slash,,,,,,,,,,,,,,
18,5130,Projectile,0,0,fx_ce006_c_projectile,fx_ce006_c_projectile_hit,140,100,30,346,-45,10,5,0,0,0,0,False,use_collider_type,Sword,,,,,,,,,,,,,,
19,5130,Projectile,0,0,fx_ce006_c_projectile,fx_ce006_c_projectile_hit,190,100,30,346,45,10,5,0,0,0,0,False,use_collider_type,Sword,,,,,,,,,,,,,,
20,5131,Projectile,0,0,fx_ce006_c_projectile,fx_ce006_c_projectile_hit,58,100,30,273,90,20,10,1,0,0,0,False,use_collider_type,Sword,,,,,,,,,,,,,,
21,5140,Basic,30,100,,,0,0,0,0,0,8,15,0,0,0,0,False,use_collider_type,Sword,use_collider_type,LeftThigh,use_collider_type,LeftCalf,use_collider_type,LeftFoot,use_collider_type,RightThigh,use_collider_type,RightCalf,use_collider_type,RightFoot,use_collider_type,ShieldBreak
22,5141,Basic,21,65,,,0,0,0,0,0,12,0,1,0,0,0,False,use_collider_type,Sword,use_collider_type,LeftThigh,use_collider_type,LeftCalf,use_collider_type,LeftFoot,use_collider_type,RightThigh,use_collider_type,RightCalf,use_collider_type,RightFoot,use_collider_type,ShieldBreak
23,5141,Basic,78,141,,,0,0,0,0,0,12,15,0,0,0,0,False,use_collider_type,Sword,use_collider_type,LeftThigh,use_collider_type,LeftCalf,use_collider_type,LeftFoot,use_collider_type,RightThigh,use_collider_type,RightCalf,use_collider_type,RightFoot,use_collider_type,ShieldBreak
24,5210,Basic,46,103,,,0,0,0,0,0,40,10,1,0,0,0,True,use_collider_type,RisingBreak,,,,,,,,,,,,,,
25,5220,Basic,90,150,,,0,0,0,0,0,40,10,1,0,0,0,True,use_collider_type,RisingBreak,,,,,,,,,,,,,,
26,5230,Basic,100,110,,,0,0,0,0,0,5,2,0,0,0,0,False,use_collider_type,Tempest,,,,,,,,,,,,,,
27,5230,Basic,115,125,,,0,0,0,0,0,5,2,0,0,0,0,False,use_collider_type,Tempest,,,,,,,,,,,,,,
