id,group_id,order,input
30200101,302001,1,3020108
30200102,302001,2,3020109
30200103,302001,3,3020110
30200104,302001,4,3020108
30200105,302001,5,3020109
30200106,302001,6,3020110
30200201,302002,1,3020204
30200202,302002,2,3020209
30200203,302002,3,3020210
30200204,302002,4,3020211
30200205,302002,5,3020209
30200206,302002,6,3020208
30200301,302003,1,3020310
30200302,302003,2,3020310
30200303,302003,3,3020312
30200304,302003,4,3020309
30200305,302003,5,3020304
30200306,302003,6,3020309
30200401,302004,1,3020402
30200402,302004,2,3020412
30200403,302004,3,3020410
30200404,302004,4,3020411
30200405,302004,5,3020409
30200406,302004,6,3020411
30200501,302005,1,3020503
30200502,302005,2,3020504
30200503,302005,3,3020512
30200504,302005,4,3020511
30200505,302005,5,3020503
30200506,302005,6,3020504
30200601,302006,1,3020602
30200602,302006,2,3020604
30200603,302006,3,3020611
30200604,302006,4,3020604
30200605,302006,5,3020603
30200606,302006,6,3020604
30200701,302007,1,3020710
30200702,302007,2,3020710
30200703,302007,3,3020710
30200704,302007,4,3020703
30200705,302007,5,3020703
30200706,302007,6,3020711
30200801,302008,1,3020812
30200802,302008,2,3020806
30200803,302008,3,3020805
30200804,302008,4,3020807
30200805,302008,5,3020807
30200806,302008,6,3020808
30200901,302009,1,3020904
30200902,302009,2,3020909
30200903,302009,3,3020910
30200904,302009,4,3020902
30200905,302009,5,3020903
30200906,302009,6,3020905
