id,event_system_type,has_arcade_shortcut_without_field,arcade_manager_id,event_shortcut_id,archive_match_event_id,archive_story_progress_group_order,archive_story_progress_locale,event_start_date,event_end_date,parents_event_id
40001,StoryEvent,False,0,0,40001,1,Locale_System:PROGRESS_STORY_TYPE_01,-29645824,1289570688,0
80303,StoryEvent,False,0,0,80303,1,Locale_System:PROGRESS_STORY_TYPE_02,0,0,1080300
80304,StoryEvent,False,0,0,80304,2,Locale_System:PROGRESS_STORY_TYPE_03,0,0,1080300
40010,StoryEvent,False,0,0,40010,1,Locale_System:PROGRESS_STORY_TYPE_01,1571747840,41945472,0
40012,StoryEvent,False,0,0,40012,1,Locale_System:PROGRESS_STORY_TYPE_01,732542976,-408632960,0
40003,StoryEvent,False,0,0,40003,1,Locale_System:PROGRESS_STORY_TYPE_02,0,0,80100
40004,StoryEvent,False,0,0,40004,2,Locale_System:PROGRESS_STORY_TYPE_03,0,0,80100
40015,StoryEvent,False,0,0,40015,1,Locale_System:PROGRESS_STORY_TYPE_01,1239906304,-289896064,0
40022,StoryEvent,False,0,0,40022,1,Locale_System:PROGRESS_STORY_TYPE_01,375175168,-1154627200,0
40011,StoryEvent,False,0,0,40011,1,Locale_System:PROGRESS_STORY_TYPE_01,-639551488,2125613440,0
40006,StoryEvent,False,0,0,40006,1,Locale_System:PROGRESS_STORY_TYPE_01,-459145216,-737312384,0
40007,StoryEvent,False,0,0,40007,1,Locale_System:PROGRESS_STORY_TYPE_01,1750431744,220629376,0
40014,StoryEvent,False,0,0,40014,1,Locale_System:PROGRESS_STORY_TYPE_01,-132188160,-1661990528,0
40028,StoryEvent,False,0,0,40028,1,Locale_System:PROGRESS_STORY_TYPE_01,-668239872,2096925056,0
40031,StoryEvent,False,0,0,40031,1,Locale_System:PROGRESS_STORY_TYPE_02,0,0,80800
40032,StoryEvent,False,0,0,40032,2,Locale_System:PROGRESS_STORY_TYPE_03,0,0,80800
40005,StoryEvent,False,0,0,40005,1,Locale_System:PROGRESS_STORY_TYPE_01,-1831239680,1796934016,0
40002,StoryEvent,False,0,0,40002,1,Locale_System:PROGRESS_STORY_TYPE_01,-1570887168,-1633302144,0
40023,StoryEvent,False,0,0,40023,1,Locale_System:PROGRESS_STORY_TYPE_01,1747269632,217467264,0
40029,StoryEvent,False,0,0,40029,1,Locale_System:PROGRESS_STORY_TYPE_01,703854592,-825947776,0
40020,StoryEvent,False,0,0,40020,1,Locale_System:PROGRESS_STORY_TYPE_02,0,0,80400
40021,StoryEvent,False,0,0,40021,2,Locale_System:PROGRESS_STORY_TYPE_03,0,0,80400
