id,battle_box_level,main_stage_clear_count,reward_id,credit,time_credit,character_exp1,time_charexp1,user_exp,time_user_exp,character_exp2,time_charexp2,outpost_reward_list/0/view_item_id,outpost_reward_list/0/item_type,outpost_reward_list/0/item_id,outpost_reward_list/0/item_value,outpost_reward_list/0/time_sec,outpost_reward_list/1/view_item_id,outpost_reward_list/1/item_type,outpost_reward_list/1/item_id,outpost_reward_list/1/item_value,outpost_reward_list/1/time_sec,outpost_reward_list/2/view_item_id,outpost_reward_list/2/item_type,outpost_reward_list/2/item_id,outpost_reward_list/2/item_value,outpost_reward_list/2/time_sec,outpost_reward_list/3/view_item_id,outpost_reward_list/3/item_type,outpost_reward_list/3/item_id,outpost_reward_list/3/item_value,outpost_reward_list/3/time_sec,outpost_reward_list/4/view_item_id,outpost_reward_list/4/item_type,outpost_reward_list/4/item_id,outpost_reward_list/4/item_value,outpost_reward_list/4/time_sec
1,1,0,0,120000,20,246666,20,103333,20,2326,60,9490003,ItemRandom,101100,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
2,2,5,1500002,136666,20,353333,20,110000,20,2521,60,9490003,ItemRandom,101100,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
3,3,5,1500003,156666,20,473333,20,120000,20,2688,60,9490003,ItemRandom,101100,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
4,4,5,1500004,173333,20,606666,20,126666,20,2836,60,9490003,ItemRandom,101100,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
5,5,5,1500005,193333,20,750000,20,136666,20,2969,60,9490003,ItemRandom,101100,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
6,6,5,1500006,210000,20,866666,20,143333,20,3061,60,9490004,ItemRandom,1110200,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
7,7,5,1500007,230000,20,1033333,20,153333,20,3175,60,9490004,ItemRandom,1110200,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
8,8,5,1500008,250000,20,1210000,20,160000,20,3281,60,9490004,ItemRandom,1110200,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
9,9,5,1500009,260000,20,1300000,20,170000,20,3332,60,9490004,ItemRandom,1110200,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
10,10,5,1500010,273333,20,1443333,20,180000,20,3404,60,9490005,ItemRandom,1110300,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
11,11,5,1500011,283333,20,1543333,20,190000,20,3451,60,9490005,ItemRandom,1110300,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
12,12,5,1500012,296666,20,1643333,20,200000,20,3496,60,9490005,ItemRandom,1110300,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
13,13,5,1500013,300000,20,1693333,20,210000,20,3519,60,9490005,ItemRandom,1110300,1,2880,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
14,14,5,1500014,310000,20,1800000,20,216666,20,3562,60,9490006,ItemRandom,1110400,1,3324,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
15,15,5,1500015,320000,20,1906666,20,226666,20,3605,60,9490006,ItemRandom,1110400,1,3324,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
16,16,5,1500016,326666,20,1960000,20,236666,20,3625,60,9490006,ItemRandom,1110400,1,3324,9490001,ItemRandom,110001,1,3600,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
17,17,5,1500017,336666,20,2070000,20,246666,20,3666,60,9490006,ItemRandom,1110400,1,3324,9490001,ItemRandom,110001,1,3600,0,None,0,0,0,0,None,0,0,0,0,None,0,0,0
