id,group_id,slot_Type,name_localkey,description_localkey,Image_resource,ani_resource
100101,1001,Leisure,Locale_Event:dice_event_title_leisure,Locale_Event:dice_event_description_leisure,EventScene_Event_Mini_SD_01_01,
100102,1001,Training_first,Locale_Event:dice_event_title_training,Locale_Event:dice_event_description_training_01,EventScene_Event_Mini_SD_01_02,
100103,1001,Training_second,Locale_Event:dice_event_title_training,Locale_Event:dice_event_description_training_02,EventScene_Event_Mini_SD_01_02,
100104,1001,Training_third,Locale_Event:dice_event_title_training,Locale_Event:dice_event_description_training_03,EventScene_Event_Mini_SD_01_02,
100105,1001,Contract_first,Locale_Event:dice_event_title_contract_01,Locale_Event:dice_event_description_contract_01,EventScene_Event_Mini_SD_01_03,
100106,1001,Contract_second,Locale_Event:dice_event_title_contract_02,Locale_Event:dice_event_description_contract_02,EventScene_Event_Mini_SD_01_03,
100107,1001,Contract_third,Locale_Event:dice_event_title_contract_03,Locale_Event:dice_event_description_contract_03,EventScene_Event_Mini_SD_01_03,
100108,1001,PoorCondition,Locale_Event:dice_event_title_poorcondition,Locale_Event:dice_event_description_poorcondition,EventScene_Event_Mini_SD_01_04,
100109,1001,finish,Locale_Event:dice_event_title_start,Locale_Event:dice_event_description_boardfinish,EventScene_Event_Mini_SD_01_05,
100110,1001,MaxGaugeEvent,Locale_Event:dice_event_title_clear,Locale_Event:dice_event_description_clear,EventScene_Event_Mini_SD_01_06,
100201,1002,Leisure,Locale_Event:voltroad_event_title_leisure,Locale_Event:voltroad_event_description_leisure,EventScene_SummerDice_SD_01_01,EventScene_voltroad_SD_01_01
100202,1002,Training_first,Locale_Event:voltroad_event_title_training,Locale_Event:voltroad_event_description_training_01,EventScene_SummerDice_SD_01_02,EventScene_voltroad_SD_01_02
100203,1002,Training_second,Locale_Event:voltroad_event_title_training,Locale_Event:voltroad_event_description_training_02,EventScene_SummerDice_SD_01_02,EventScene_voltroad_SD_01_02
100204,1002,Training_third,Locale_Event:voltroad_event_title_training,Locale_Event:voltroad_event_description_training_03,EventScene_SummerDice_SD_01_02,EventScene_voltroad_SD_01_02
100205,1002,Contract_first,Locale_Event:voltroad_event_title_mapsearch_success_01,Locale_Event:voltroad_event_description_mapsearch_01,EventScene_SummerDice_SD_01_03,EventScene_voltroad_SD_01_03
100206,1002,Contract_second,Locale_Event:voltroad_event_title_mapsearch_success_02,Locale_Event:voltroad_event_description_mapsearch_02,EventScene_SummerDice_SD_01_04,EventScene_voltroad_SD_01_04
100207,1002,Contract_third,Locale_Event:voltroad_event_title_mapsearch_success_03,Locale_Event:voltroad_event_description_mapsearch_03,EventScene_SummerDice_SD_01_05,EventScene_voltroad_SD_01_05
100208,1002,PoorCondition,Locale_Event:voltroad_event_title_accident,Locale_Event:voltroad_event_description_accident,EventScene_SummerDice_SD_01_06,EventScene_voltroad_SD_01_06
100209,1002,finish,Locale_Event:voltroad_event_title_start,Locale_Event:voltroad_event_description_boardfinish,EventScene_SummerDice_SD_01_07,EventScene_voltroad_SD_01_07
100210,1002,MaxGaugeEvent,Locale_Event:voltroad_event_title_clear,Locale_Event:voltroad_event_description_clear,EventScene_SummerDice_SD_01_08,EventScene_voltroad_SD_01_08
100301,1003,Leisure,Locale_Event:dice_event_title_leisure,Locale_Event:dice_event_description_leisure,EventScene_Event_Mini_SD_01_01,
100302,1003,Training_first,Locale_Event:dice_event_title_training,Locale_Event:dice_event_description_training_01,EventScene_Event_Mini_SD_01_02,
100303,1003,Training_second,Locale_Event:dice_event_title_training,Locale_Event:dice_event_description_training_02,EventScene_Event_Mini_SD_01_02,
100304,1003,Training_third,Locale_Event:dice_event_title_training,Locale_Event:dice_event_description_training_03,EventScene_Event_Mini_SD_01_02,
100305,1003,Contract_first,Locale_Event:dice_event_title_contract_01,Locale_Event:dice_event_description_contract_01,EventScene_Event_Mini_SD_01_03,
100306,1003,Contract_second,Locale_Event:dice_event_title_contract_02,Locale_Event:dice_event_description_contract_02,EventScene_Event_Mini_SD_01_03,
100307,1003,Contract_third,Locale_Event:dice_event_title_contract_03,Locale_Event:dice_event_description_contract_03,EventScene_Event_Mini_SD_01_03,
100308,1003,PoorCondition,Locale_Event:dice_event_title_poorcondition,Locale_Event:dice_event_description_poorcondition,EventScene_Event_Mini_SD_01_04,
100309,1003,finish,Locale_Event:dice_event_title_start,Locale_Event:dice_event_description_boardfinish,EventScene_Event_Mini_SD_01_05,
100310,1003,MaxGaugeEvent,Locale_Event:dice_event_title_clear,Locale_Event:dice_event_description_clear,EventScene_Event_Mini_SD_01_06,
100401,1004,Leisure,Locale_Event:voltroad_event_title_leisure,Locale_Event:voltroad_event_description_leisure,EventScene_SummerDice_SD_01_01,EventScene_voltroad_SD_01_01
100402,1004,Training_first,Locale_Event:voltroad_event_title_training,Locale_Event:voltroad_event_description_training_01,EventScene_SummerDice_SD_01_02,EventScene_voltroad_SD_01_02
100403,1004,Training_second,Locale_Event:voltroad_event_title_training,Locale_Event:voltroad_event_description_training_02,EventScene_SummerDice_SD_01_02,EventScene_voltroad_SD_01_02
100404,1004,Training_third,Locale_Event:voltroad_event_title_training,Locale_Event:voltroad_event_description_training_03,EventScene_SummerDice_SD_01_02,EventScene_voltroad_SD_01_02
100405,1004,Contract_first,Locale_Event:voltroad_event_title_mapsearch_success_01,Locale_Event:voltroad_event_description_mapsearch_01,EventScene_SummerDice_SD_01_03,EventScene_voltroad_SD_01_03
