id,currency_type,produce_time,produce_value
401001,104000001,60,71
401002,104000001,60,76
401003,104000001,60,81
401004,104000001,60,85
401005,104000001,60,88
401006,104000001,60,92
401007,104000001,60,95
402001,104000002,60,39
402002,104000002,60,44
402003,104000002,60,49
402004,104000002,60,53
402005,104000002,60,56
402006,104000002,60,60
402007,104000002,60,63
403001,104000003,60,45
403002,104000003,60,49
403003,104000003,60,52
403004,104000003,60,55
403005,104000003,60,57
403006,104000003,60,59
403007,104000003,60,61
404001,104000004,60,81
404002,104000004,60,93
404003,104000004,60,106
404004,104000004,60,119
404005,104000004,60,132
404006,104000004,60,145
404007,104000004,60,158
