id,user_exp,character_exp,is_mail,rewards/0/reward_percent,rewards/0/percent_display_type,rewards/0/reward_type,rewards/0/reward_id,rewards/0/reward_value,rewards/1/reward_percent,rewards/1/percent_display_type,rewards/1/reward_type,rewards/1/reward_id,rewards/1/reward_value,rewards/2/reward_percent,rewards/2/percent_display_type,rewards/2/reward_type,rewards/2/reward_id,rewards/2/reward_value,rewards/3/reward_percent,rewards/3/percent_display_type,rewards/3/reward_type,rewards/3/reward_id,rewards/3/reward_value,rewards/4/reward_percent,rewards/4/percent_display_type,rewards/4/reward_type,rewards/4/reward_id,rewards/4/reward_value,rewards/5/reward_percent,rewards/5/percent_display_type,rewards/5/reward_type,rewards/5/reward_id,rewards/5/reward_value,rewards/6/reward_percent,rewards/6/percent_display_type,rewards/6/reward_type,rewards/6/reward_id,rewards/6/reward_value,rewards/7/reward_percent,rewards/7/percent_display_type,rewards/7/reward_type,rewards/7/reward_id,rewards/7/reward_value,rewards/8/reward_percent,rewards/8/percent_display_type,rewards/8/reward_type,rewards/8/reward_id,rewards/8/reward_value,rewards/9/reward_percent,rewards/9/percent_display_type,rewards/9/reward_type,rewards/9/reward_id,rewards/9/reward_value
1001,0,0,False,1000000,None,Item,7032001,100,1000000,None,Item,7033001,100,1000000,None,Item,7034001,100,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
1002,0,0,False,1000000,None,Item,9110001,1,1000000,None,Item,9120001,1,1000000,None,Item,9140001,1,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
1003,0,0,False,1000000,None,Item,9110002,1,1000000,None,Item,9120002,1,1000000,None,Item,9140002,1,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
1004,0,0,False,1000000,None,Item,9110003,1,1000000,None,Item,9120003,1,1000000,None,Item,9140003,1,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
1005,0,0,False,1000000,None,Item,9110004,1,1000000,None,Item,9120004,1,1000000,None,Item,9140004,1,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
1006,0,0,False,1000000,None,Item,9110005,1,1000000,None,Item,9120005,1,1000000,None,Item,9140005,1,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
1007,0,0,False,1000000,None,Item,9110006,1,1000000,None,Item,9120006,1,1000000,None,Item,9140006,1,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
1008,0,0,False,1000000,None,Item,9110007,1,1000000,None,Item,9120007,1,1000000,None,Item,9140007,1,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
2001,0,0,False,1000000,None,Item,7091001,18,1000000,None,Item,7091002,12,1000000,None,Item,7091003,6,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
2002,0,0,False,1000000,None,Item,7092001,9,1000000,None,Item,7092002,6,1000000,None,Item,7092003,3,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
3001,0,0,False,1000000,None,Item,9110001,30,1000000,None,Item,9120001,30,1000000,None,Item,9140001,30,1000000,None,Item,7140001,1,1000000,None,Item,7091001,180,1000000,None,Item,7091002,120,1000000,None,Item,7091003,60,1000000,None,Item,7092001,90,1000000,None,Item,7092002,60,1000000,None,Item,7092003,30
3002,0,0,False,1000000,None,Currency,99,2024,1000000,None,Item,9301007,1,1000000,None,Item,7140001,1,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
3003,0,0,False,1000000,None,Item,9110001,30,1000000,None,Item,9120001,30,1000000,None,Item,9140001,30,1000000,None,Item,7140001,1,1000000,None,Item,7091001,180,1000000,None,Item,7091002,120,1000000,None,Item,7091003,60,1000000,None,Item,7092001,90,1000000,None,Item,7092002,60,1000000,None,Item,7092003,30
3004,0,0,False,1000000,None,Currency,99,2025,1000000,None,Item,9301007,1,1000000,None,Item,7140001,1,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
4001,0,0,False,1000000,None,Currency,2000,40000,1000000,None,Item,7010003,4,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0,1000000,None,None,0,0
