id,category_group_id,category_localkey,slot_order,use_unlock_condition,unlock_character_id,unlock_condition_character,unlock_condition_day,unlock_currency_id,unlock_currency_value
101,1,Locale_Event:EventBM_category_shield,1,False,1011,0,0,0,0
102,1,Locale_Event:EventBM_category_shield,2,True,1012,1011,0,2,1
103,1,Locale_Event:EventBM_category_shield,3,True,1013,1011,0,2,1
201,2,Locale_Event:EventBM_category_sword,1,False,1021,0,0,0,0
202,2,Locale_Event:EventBM_category_sword,2,True,1022,1021,0,2,1
203,2,Locale_Event:EventBM_category_sword,3,True,1023,1021,0,2,1
301,3,Locale_Event:EventBM_category_rifle,1,False,1031,0,0,0,0
302,3,Locale_Event:EventBM_category_rifle,2,True,1032,1031,0,2,1
303,3,Locale_Event:EventBM_category_rifle,3,True,1033,1031,0,2,1
401,4,Locale_Event:EventBM_category_grenade,1,False,1041,0,0,0,0
402,4,Locale_Event:EventBM_category_grenade,2,True,1042,1041,0,2,1
403,4,Locale_Event:EventBM_category_grenade,3,True,1043,1041,0,2,1
501,5,Locale_Event:EventBM_category_heal,1,False,1051,0,0,0,0
502,5,Locale_Event:EventBM_category_heal,2,True,1052,1051,0,2,1
503,5,Locale_Event:EventBM_category_heal,3,True,1053,1051,0,2,1
601,6,Locale_Event:EventBM_category_hero,1,False,2011,0,0,0,0
602,6,Locale_Event:EventBM_category_hero,2,True,2021,2011,8,2,1
603,6,Locale_Event:EventBM_category_hero,3,True,2031,2011,15,2,1
