id,group,character_id,spawn_rate
10101,101,1,30
10102,101,2,30
10103,101,3,30
10104,101,4,0
10201,102,1,30
10202,102,2,30
10203,102,3,30
10204,102,4,10
10301,103,1,30
10302,103,2,30
10303,103,3,30
10304,103,4,20
10401,104,1,30
10402,104,2,30
10403,104,3,30
10404,104,4,30
10501,105,1,30
10502,105,2,30
10503,105,3,30
10504,105,4,40
10601,106,1,30
10602,106,2,30
10603,106,3,30
10604,106,4,50
10701,107,1,30
10702,107,2,30
10703,107,3,30
10704,107,4,60
10801,108,1,30
10802,108,2,30
10803,108,3,30
10804,108,4,70
10901,109,1,30
10902,109,2,30
10903,109,3,30
10904,109,4,80
11001,110,1,30
11002,110,2,30
11003,110,3,30
11004,110,4,90
20101,201,1,30
20102,201,2,30
20103,201,3,30
20104,201,4,0
20201,202,1,30
20202,202,2,30
20203,202,3,30
20204,202,4,10
20301,203,1,30
20302,203,2,30
20303,203,3,30
20304,203,4,20
20401,204,1,30
20402,204,2,30
20403,204,3,30
20404,204,4,30
20501,205,1,30
20502,205,2,30
20503,205,3,30
20504,205,4,40
20601,206,1,30
20602,206,2,30
20603,206,3,30
20604,206,4,50
20701,207,1,30
20702,207,2,30
20703,207,3,30
20704,207,4,60
20801,208,1,30
20802,208,2,30
20803,208,3,30
20804,208,4,70
20901,209,1,30
20902,209,2,30
20903,209,3,30
20904,209,4,80
21001,210,1,30
21002,210,2,30
21003,210,3,30
21004,210,4,90
