id,group_id,photo_group,order,photo_point,photo_spot_id
1,1,Special,1,600,1
2,1,Special,2,600,2
3,1,Special,3,600,3
4,1,Special,4,600,4
5,1,Special,5,600,5
6,1,Special,6,600,6
7,1,Normal,1,100,7
8,1,Normal,2,100,8
9,1,Normal,3,100,9
10,1,Normal,4,100,10
11,1,Normal,5,100,11
12,1,Normal,6,100,12
13,1,Normal,7,100,13
14,1,Normal,8,100,14
15,1,Normal,9,100,15
16,1,Normal,10,100,16
17,1,Normal,11,100,17
18,1,Normal,12,100,18
19,1,Normal,13,100,19
20,1,Normal,14,100,20
21,2,Special,1,600,21
22,2,Special,2,600,22
23,2,Special,3,600,23
24,2,Special,4,600,24
25,2,Special,5,600,25
26,2,Special,6,600,26
27,2,Normal,1,100,27
28,2,Normal,2,100,28
29,2,Normal,3,100,29
30,2,Normal,4,100,30
31,2,Normal,5,100,31
32,2,Normal,6,100,32
33,2,Normal,7,100,33
34,2,Normal,8,100,34
35,2,Normal,9,100,35
36,2,Normal,10,100,36
37,2,Normal,11,100,37
38,2,Normal,12,100,38
39,2,Normal,13,100,39
40,2,Normal,14,100,40
