id,manager_id,stage_id,output_condition_type,output_condition_value,delay_time,dialog_list_group_id
10010101,1001,100101,StageStart,0,0,10010101
10010401,1001,100104,StageStart,0,0,10010201
10010701,1001,100107,StageStart,0,0,10010301
10010702,1001,100107,AfterCinematic,100101,800,10010302
10010703,1001,100107,WaveStart,100110707,2400,10010303
10010704,1001,100107,AfterCinematic,100104,600,10010304
10010705,1001,100107,Victory,0,0,10010305
10011001,1001,100110,StageStart,0,0,10010401
10011002,1001,100110,WaveStart,100111009,1500,10010402
10011003,1001,100110,Victory,0,0,10010403
10011004,1001,100110,AfterCinematic,100105,0,10010404
10011301,1001,100113,WaveStart,100111309,1200,10010501
10011601,1001,100116,WaveStart,100111609,1200,10010601
10020101,1002,100201,StageStart,0,0,10020101
10020102,1002,100201,WaveStart,100210103,3550,10020102
10020103,1002,100201,WaveStart,100210108,7000,10020103
10020104,1002,100201,AfterCinematic,100207,300,10020104
10020105,1002,100201,Victory,0,0,10020105
10020106,1002,100201,AfterCinematic,100208,50,10020106
10020107,1002,100201,AfterCinematic,100209,50,10020107
10020108,1002,100201,AfterCinematic,100210,50,10020108
