id,group_id,balloonType,order,randomize,balloonShowTime,waitTimeAfterEndBalloon,locale_name,locale_key
1,1,Auto,1,True,300.0,300.0,Locale_Event:EventMVG_TestLocale_01,Locale_Event:EventMVG_TestLocale_02
2,1,,2,,300.0,,Locale_Event:EventMVG_TestLocale_01,Locale_Event:EventMVG_TestLocale_02
3,2,Manual,1,False,,,Locale_Event:EventMVG_TestLocale_01,Locale_Event:EventMVG_TestLocale_02
4,3,Manual,1,False,,,,Locale_Event:EventMVG_TestLocale_02
5,4,Manual,1,False,,,Locale_Event:EventMVG_TestLocale_01,Locale_Event:EventMVG_TestLocale_02
101,101,Auto,1,False,1000.0,300.0,Locale_Event:EventMVG_help_tip_popup_title,Locale_Event:EventMVG_balloon_01
102,102,Auto,1,False,1000.0,300.0,Locale_Event:EventMVG_help_tip_popup_title,Locale_Event:EventMVG_balloon_02
103,103,Auto,1,False,1000.0,300.0,Locale_Event:EventMVG_help_tip_popup_title,Locale_Event:EventMVG_balloon_03
104,104,Auto,1,False,1000.0,300.0,Locale_Event:EventMVG_help_tip_popup_title,Locale_Event:EventMVG_balloon_04
105,105,Auto,1,False,1000.0,300.0,Locale_Event:EventMVG_help_tip_popup_title,Locale_Event:EventMVG_balloon_05
201,201,Auto,1,False,1000.0,900000.0,Locale_Event:EventMVG_help_tip_popup_title,Locale_Event:EventMVG_balloon_06
10100,10100,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C1_01_01
10101,10101,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C1_01_02
10200,10200,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C1_02_01
10201,10201,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C1_02_02
10300,10300,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C1_03_01
10301,10301,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C1_03_02
10400,10400,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C1_04_01
10401,10401,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C1_04_02
10402,10402,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C1_04_03
20100,20100,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C2_01_01
20101,20101,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C2_01_02
20300,20300,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C2_03_01
20301,20301,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C2_03_02
30101,30101,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C3_01_01
30102,30102,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C3_01_02
30200,30200,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C3_02_01
30201,30201,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C3_02_02
30202,30202,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C3_02_03
50200,50200,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C5_02_01
50201,50201,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C5_02_02
50202,50202,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C5_02_03
50203,50203,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C5_02_04
50204,50204,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C5_02_05
60100,60100,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C6_01_01
60101,60101,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C6_01_02
60102,60102,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C6_01_03
60103,60103,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C6_01_04
70100,70100,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C7_01_01
70101,70101,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C7_01_02
70200,70200,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C7_02_01
70201,70201,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C7_02_02
70202,70202,Manual,1,False,,,Locale_Event:EventMVG_Dir_S_Name,Locale_Event:EventMVG_Dir_C7_02_03
90000,90000,Auto,1,False,1000.0,300.0,Locale_Event:EventMVG_help_tip_popup_title,Locale_Event:EventMVG_balloon_07
