id,area_group_id,inactive_time,difficulty_type,wave_correction_level,standard_battle_power,recommend_squad_count
1,1000,0,Easy,1,100,2
2,1000,1440,Easy,2,150,2
3,1000,4320,Easy,4,200,3
4,1000,5760,Normal,6,250,3
5,1000,7200,Normal,8,300,4
6,1000,8640,Hard,10,350,4
7,1000,10080,Hard,12,400,5
8,1000,11520,Hard,999,450,5
900050101,9000501,0,Easy,1,50000,3
100101,1001,0,Easy,1,50000,1
100102,1001,10800,Easy,2,50000,1
100103,1001,43200,Normal,3,50000,1
100104,1001,86400,Normal,11,51200,1
100105,1001,172800,Hard,16,52200,1
100106,1001,259200,Hard,21,55900,1
100107,1001,604800,Hard,999,0,1
200101,2001,0,Easy,11,51200,1
200102,2001,10800,Easy,12,51400,1
200103,2001,43200,Normal,13,51600,1
200104,2001,86400,Normal,21,55900,1
200105,2001,172800,Hard,26,70400,1
200106,2001,259200,Hard,31,88200,1
200107,2001,604800,Hard,999,0,1
200201,2002,0,Easy,14,51800,1
200202,2002,10800,Easy,15,52000,1
200203,2002,43200,Normal,16,52200,1
200204,2002,86400,Normal,21,55900,1
200205,2002,172800,Hard,26,70400,1
200206,2002,259200,Hard,31,88200,1
200207,2002,604800,Hard,999,0,1
200301,2003,0,Easy,17,52400,2
200302,2003,10800,Easy,18,52600,2
200303,2003,43200,Normal,19,52800,2
200304,2003,86400,Normal,21,55900,2
200305,2003,172800,Hard,26,70400,2
200306,2003,259200,Hard,31,88200,2
200307,2003,604800,Hard,999,0,2
300101,3001,0,Easy,21,55900,3
300102,3001,10800,Easy,22,58800,3
300103,3001,43200,Normal,23,61700,3
300104,3001,86400,Normal,31,88200,3
300105,3001,172800,Hard,36,99200,3
300106,3001,259200,Hard,41,117400,3
300107,3001,604800,Hard,999,0,3
300108,3002,0,Easy,24,64600,3
300109,3002,10800,Easy,25,67500,3
300201,3002,43200,Normal,26,70400,3
300202,3002,86400,Normal,31,88200,3
300203,3002,172800,Hard,36,99200,3
300204,3002,259200,Hard,41,117400,3
300205,3002,604800,Hard,999,0,3
300206,3003,0,Easy,28,76200,3
300207,3003,10800,Easy,29,79100,3
300208,3003,43200,Normal,30,82000,3
300209,3003,86400,Normal,31,88200,3
300301,3003,172800,Hard,36,99200,3
300302,3003,259200,Hard,41,117400,3
300303,3003,604800,Hard,999,0,3
300304,4001,0,Easy,32,90400,3
300305,4001,10800,Easy,33,92600,3
300306,4001,43200,Normal,34,94800,3
300307,4001,86400,Normal,41,117400,3
300308,4001,172800,Hard,46,134400,3
300309,4001,259200,Hard,51,163300,3
400101,4001,604800,Hard,999,0,3
400102,4002,0,Easy,34,94800,3
400103,4002,10800,Easy,35,97000,3
400104,4002,43200,Normal,36,99200,3
400105,4002,86400,Normal,41,117400,3
400106,4002,172800,Hard,46,134400,3
400107,4002,259200,Hard,51,163300,3
400108,4002,604800,Hard,999,0,3
400109,4003,0,Easy,37,101400,3
400201,4003,10800,Easy,38,103600,3
400202,4003,43200,Normal,39,105800,3
400203,4003,86400,Normal,41,117400,3
400204,4003,172800,Hard,46,134400,3
400205,4003,259200,Hard,51,163300,3
400206,4003,604800,Hard,999,0,3
400207,5001,0,Easy,42,120800,3
400208,5001,10800,Easy,43,124200,3
400209,5001,43200,Normal,44,127600,3
400301,5001,86400,Normal,51,163300,3
400302,5001,172800,Hard,56,189800,3
400303,5001,259200,Hard,61,235500,3
400304,5001,604800,Hard,999,0,3
400305,5002,0,Easy,44,127600,3
400306,5002,10800,Easy,45,131000,3
400307,5002,43200,Normal,46,134400,3
400308,5002,86400,Normal,51,163300,3
400309,5002,172800,Hard,56,189800,3
500101,5002,259200,Hard,61,235500,3
500102,5002,604800,Hard,999,0,3
500103,5003,0,Easy,47,137800,3
500104,5003,10800,Easy,48,141200,3
500105,5003,43200,Normal,49,144600,3
500106,5003,86400,Normal,51,163300,3
500107,5003,172800,Hard,56,189800,3
500108,5003,259200,Hard,61,235500,3
500109,5003,604800,Hard,999,0,3
500201,6001,0,Easy,52,168600,3
500202,6001,10800,Easy,53,173900,3
500203,6001,43200,Normal,54,179200,3
500204,6001,86400,Normal,61,235500,3
500205,6001,172800,Hard,66,268000,3
500206,6001,259200,Hard,71,324200,3
500207,6001,604800,Hard,999,0,3
500208,6002,0,Easy,54,179200,3
500209,6002,10800,Easy,55,184500,3
500301,6002,43200,Normal,56,189800,3
500302,6002,86400,Normal,61,235500,3
500303,6002,172800,Hard,66,268000,3
500304,6002,259200,Hard,71,324200,3
500305,6002,604800,Hard,999,0,3
500306,6003,0,Easy,57,195100,3
500307,6003,10800,Easy,58,200400,3
500308,6003,43200,Normal,59,205700,3
500309,6003,86400,Normal,61,235500,3
600101,6003,172800,Hard,66,268000,3
600102,6003,259200,Hard,71,324200,3
600103,6003,604800,Hard,999,0,3
