id,dialogue_type,dialogue_localkey,dialogue_voice,set_char_anim,weight,oc_mode_use,oc_level_min,oc_level_max
111,Harder,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_01,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_01,delight,1000,False,0,0
112,Harder,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_02,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_02,delight,1000,False,0,0
113,Harder,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_03,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_03,delight,1000,False,0,0
114,Harder,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_OC_01,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_OC_01,delight,1000,True,1,50
115,Harder,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_OC_02,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_OC_02,special,1000,True,1,50
116,Harder,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_OC_03,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_OC_03,idle,1000,True,1,50
117,Harder,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_OC_INFINITE_01,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_OC_INFINITE_01,idle,1000,True,51,99
118,Harder,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_OC_INFINITE_02,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_OC_INFINITE_02,delight,1000,True,51,99
119,Harder,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_OC_INFINITE_03,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARDER_OC_INFINITE_03,idle,1000,True,51,99
121,Hard,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARD_01,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARD_01,idle,1000,False,0,0
122,Hard,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARD_02,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARD_02,idle,1000,False,0,0
123,Hard,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARD_03,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARD_03,idle,1000,False,0,0
124,Hard,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARD_OC_01,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARD_OC_01,idle,1000,True,1,50
125,Hard,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARD_OC_02,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARD_OC_02,special,1000,True,1,50
126,Hard,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARD_OC_03,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARD_OC_03,think,1000,True,1,50
127,Hard,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARD_OC_INFINITE_01,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARD_OC_INFINITE_01,idle,1000,True,51,99
128,Hard,Locale_System:SIMULATIONROOM_DIALOGUE_BATTLE_HARD_OC_INFINITE_02,c928_SIMULATIONROOM_DIALOGUE_BATTLE_HARD_OC_INFINITE_02,delight,1000,True,51,99
