id,manager_id,event_portrait_resource,dialog_event_id,is_show_stamina_consume_icon,is_turn_off_other_events,dialog_appear_selection_condition_list/0/event_condition_selection_event
snowfall_speech_npc_day1_01,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day1_01,False,,
snowfall_speech_npc_day1_02,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day1_02,False,,
snowfall_speech_npc_day1_03,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day1_03,False,,
snowfall_speech_npc_day1_04,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day1_04,False,,
snowfall_speech_npc_day1_05,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day1_05,False,,
snowfall_speech_npc_day1_06,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day1_06,False,,
snowfall_speech_npc_day1_07,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day1_07,False,,
snowfall_speech_npc_day1_08,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day1_08,False,,
snowfall_speech_npc_day2_01,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day2_01,False,,
snowfall_speech_npc_day2_02,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day2_02,False,,
snowfall_speech_npc_day2_03,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day2_03,False,,
snowfall_speech_npc_day2_04,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day2_04,False,,
snowfall_speech_npc_day2_05,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day2_05,False,,
snowfall_speech_npc_day2_06,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day2_06,False,,
snowfall_speech_npc_day2_07,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day2_07,False,,
snowfall_speech_npc_day3_01,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day3_01,False,,
snowfall_speech_npc_day3_02,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day3_02,False,,
snowfall_speech_npc_day3_03,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day3_03,False,,
snowfall_speech_npc_day3_04,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day3_04,False,,
snowfall_speech_npc_day4_01,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day4_01,False,,
snowfall_speech_npc_day4_02,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day4_02,False,,
snowfall_speech_npc_day4_03,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day4_03,False,,
snowfall_speech_npc_day4_04,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day4_04,False,,
snowfall_speech_npc_day4_05,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day4_05,False,,
snowfall_speech_npc_day4_06,1001,icn_snowfalloasis_minigame_event_portrait_extra,snowfall_speech_npc_day4_06,False,,
