id,quest_target_type,quest_type,parents_quest_id,condition_type,condition_id,condition_value_1,condition_value_2,name_localkey,description_localkey,time_line_group_id,reward_id,next_quest_id
100,First,Normal,0,StartMission,0,0,,Locale_Event:EventMVG_TestLocale_01,Locale_Event:EventMVG_TestLocale_01,0,0,101
101,First,Normal,0,MissionTargetPoint,101,0,,Locale_Event:EventMVG_Quest_Ch01_01_Name,Locale_Event:EventMVG_Quest_Ch01_01_Desc,10100,3010030,102
102,First,MotherMission,0,ClearMultiCondition,0,0,0,Locale_Event:EventMVG_Quest_Ch01_02_NameMain,Locale_Event:EventMVG_Quest_Ch01_02_Desc,10200,3010001,105
103,First,ChildMission,102,KillMonster,11201,3,,Locale_Event:EventMVG_Quest_Ch01_02_NameA,Locale_Event:EventMVG_Quest_DescEmpty,0,3010030,0
104,First,ChildMission,102,KillMonster,11103,3,,Locale_Event:EventMVG_Quest_Ch01_02_NameB,Locale_Event:EventMVG_Quest_DescEmpty,0,3010030,0
105,First,Normal,0,MissionTargetPoint,105,0,,Locale_Event:EventMVG_Quest_Ch01_03_Name,Locale_Event:EventMVG_Quest_Ch01_03_Desc,0,3010030,106
106,First,Normal,0,KillMonster,16201,1,,Locale_Event:EventMVG_Quest_Ch01_04_Name,Locale_Event:EventMVG_Quest_Ch01_04_Desc,10400,3010020,201
201,First,Normal,0,MissionTargetPoint,201,0,,Locale_Event:EventMVG_Quest_Ch02_01_Name,Locale_Event:EventMVG_Quest_Ch02_01_Desc,20100,3010031,202
202,First,Normal,0,GetCollectable,401,1,,Locale_Event:EventMVG_Quest_Ch02_02_Name,Locale_Event:EventMVG_Quest_Ch02_02_Desc,0,3010031,203
203,First,Normal,0,MissionTargetPoint,203,0,,Locale_Event:EventMVG_Quest_Ch02_03_Name,Locale_Event:EventMVG_Quest_Ch02_03_Desc,0,3010031,204
204,First,Normal,0,KillMonster,26201,1,,Locale_Event:EventMVG_Quest_Ch02_04_Name,Locale_Event:EventMVG_Quest_Ch02_04_Desc,20300,3010021,301
301,First,Normal,0,MissionTargetPoint,301,0,,Locale_Event:EventMVG_Quest_Ch03_01_Name,Locale_Event:EventMVG_Quest_Ch03_01_Desc,30100,3010032,302
302,First,MotherMission,0,ClearMultiCondition,0,0,0,Locale_Event:EventMVG_Quest_Ch03_02_Name,Locale_Event:EventMVG_Quest_Ch03_02_Desc,0,3010004,305
303,First,ChildMission,302,GetCollectable,402,1,,Locale_Event:EventMVG_Quest_Ch03_02_NameA,Locale_Event:EventMVG_Quest_DescEmpty,0,3010032,0
304,First,ChildMission,302,GetCollectable,403,1,,Locale_Event:EventMVG_Quest_Ch03_02_NameB,Locale_Event:EventMVG_Quest_DescEmpty,0,3010032,0
305,First,Normal,0,MissionTargetPoint,305,0,,Locale_Event:EventMVG_Quest_Ch03_03_Name,Locale_Event:EventMVG_Quest_Ch03_03_Desc,0,3010032,306
306,First,Normal,0,KillMonster,36205,1,,Locale_Event:EventMVG_Quest_Ch03_04_Name,Locale_Event:EventMVG_Quest_Ch03_04_Desc,30200,3010022,401
401,First,MotherMission,0,ClearMultiCondition,0,0,0,Locale_Event:EventMVG_Quest_Ch04_01_Name,Locale_Event:EventMVG_Quest_Ch04_01_Desc,0,3010003,406
402,First,ChildMission,401,GetCollectable,406,1,,Locale_Event:EventMVG_Quest_Ch04_01_NameA,Locale_Event:EventMVG_Quest_DescEmpty,0,3010033,0
403,First,ChildMission,401,GetCollectable,407,1,,Locale_Event:EventMVG_Quest_Ch04_01_NameB,Locale_Event:EventMVG_Quest_DescEmpty,0,3010033,0
404,First,ChildMission,401,GetCollectable,408,1,,Locale_Event:EventMVG_Quest_Ch04_01_NameC,Locale_Event:EventMVG_Quest_DescEmpty,0,3010033,0
405,First,ChildMission,401,GetCollectable,409,1,,Locale_Event:EventMVG_Quest_Ch04_01_NameD,Locale_Event:EventMVG_Quest_DescEmpty,0,3010033,0
406,First,Normal,0,MissionTargetPoint,406,0,,Locale_Event:EventMVG_Quest_Ch04_02_Name,Locale_Event:EventMVG_Quest_Ch04_02_Desc,0,3010033,407
407,First,MotherMission,0,ClearMultiCondition,0,0,0,Locale_Event:EventMVG_Quest_Ch04_03_Name,Locale_Event:EventMVG_Quest_Ch04_03_Desc,40100,3010023,490
408,First,ChildMission,407,KillMonster,46109,1,,Locale_Event:EventMVG_Quest_Ch04_03_NameA,Locale_Event:EventMVG_Quest_DescEmpty,0,3010033,0
409,First,ChildMission,407,KillMonster,46210,1,,Locale_Event:EventMVG_Quest_Ch04_03_NameB,Locale_Event:EventMVG_Quest_DescEmpty,0,3010033,0
410,First,ChildMission,407,KillMonster,46211,1,,Locale_Event:EventMVG_Quest_Ch04_03_NameC,Locale_Event:EventMVG_Quest_DescEmpty,0,3010033,0
411,First,ChildMission,407,KillMonster,46212,1,,Locale_Event:EventMVG_Quest_Ch04_03_NameD,Locale_Event:EventMVG_Quest_DescEmpty,0,3010033,0
490,First,Normal,0,MissionTargetPoint,1905,0,,Locale_Event:EventMVG_Quest_Ch05_SP_Name,Locale_Event:EventMVG_Quest_Ch05_SP_Desc,0,3010034,501
501,First,MotherMission,0,ClearMultiCondition,0,0,0,Locale_Event:EventMVG_Quest_Ch05_01_Name,Locale_Event:EventMVG_Quest_Ch05_01_Desc,0,3010034,504
502,First,ChildMission,501,KillMonster,56212,1,,Locale_Event:EventMVG_Quest_Ch05_01_NameA,Locale_Event:EventMVG_Quest_DescEmpty,0,3010024,0
503,First,ChildMission,501,MissionTargetPoint,503,0,,Locale_Event:EventMVG_Quest_Ch05_01_NameB,Locale_Event:EventMVG_Quest_DescEmpty,0,3010034,0
504,First,Normal,0,KillMonster,66213,1,,Locale_Event:EventMVG_Quest_Ch05_02_Name,Locale_Event:EventMVG_Quest_Ch05_02_Desc,60100,3010025,701
701,First,Normal,0,MissionTargetPoint,701,0,,Locale_Event:EventMVG_Quest_Ch07_01_Name,Locale_Event:EventMVG_Quest_Ch07_01_Desc,70100,3010035,702
702,First,Normal,0,MissionTargetPoint,702,0,,Locale_Event:EventMVG_Quest_Ch07_02_Name,Locale_Event:EventMVG_Quest_Ch07_02_Desc,0,3010035,703
703,First,Normal,0,KillMonster,76114,1,,Locale_Event:EventMVG_Quest_Ch07_03_Name,Locale_Event:EventMVG_Quest_Ch07_03_Desc,70200,3010026,801
801,First,Normal,0,MissionTargetPoint,801,0,,Locale_Event:EventMVG_Quest_Ch08_01_Name,Locale_Event:EventMVG_Quest_Ch08_01_Desc,0,3010036,802
802,First,Normal,0,KillMonster,86101,1,,Locale_Event:EventMVG_Quest_Ch08_02_Name,Locale_Event:EventMVG_Quest_Ch08_02_Desc,80100,3010027,901
901,First,Normal,0,EndMission,0,0,,Locale_Event:EventMVG_Quest_EndQuest,Locale_Event:EventMVG_Quest_DescEmpty,0,0,0
1000,Loop,Normal,0,StartMission,0,0,,Locale_Event:EventMVG_TestLocale_01,Locale_Event:EventMVG_Quest_DescEmpty,0,0,1001
1001,Loop,MotherMission,0,ClearMultiCondition,0,0,0,Locale_Event:EventMVG_Quest_Loop_Name,Locale_Event:EventMVG_Quest_DescEmpty,0,3010012,1013
1002,Loop,ChildMission,1001,KillMonster,16201,1,,Locale_Event:EventMVG_Quest_Loop_Name_01,Locale_Event:EventMVG_Quest_DescEmpty,0,3010012,0
1003,Loop,ChildMission,1001,KillMonster,26201,1,,Locale_Event:EventMVG_Quest_Loop_Name_02,Locale_Event:EventMVG_Quest_DescEmpty,0,3010012,0
1004,Loop,ChildMission,1001,KillMonster,36205,1,,Locale_Event:EventMVG_Quest_Loop_Name_03,Locale_Event:EventMVG_Quest_DescEmpty,0,3010012,0
1005,Loop,ChildMission,1001,KillMonster,46109,1,,Locale_Event:EventMVG_Quest_Loop_Name_04,Locale_Event:EventMVG_Quest_DescEmpty,0,3010013,0
1006,Loop,ChildMission,1001,KillMonster,46210,1,,Locale_Event:EventMVG_Quest_Loop_Name_05,Locale_Event:EventMVG_Quest_DescEmpty,0,3010013,0
1007,Loop,ChildMission,1001,KillMonster,46211,1,,Locale_Event:EventMVG_Quest_Loop_Name_06,Locale_Event:EventMVG_Quest_DescEmpty,0,3010013,0
1008,Loop,ChildMission,1001,KillMonster,46212,1,,Locale_Event:EventMVG_Quest_Loop_Name_07,Locale_Event:EventMVG_Quest_DescEmpty,0,3010013,0
1009,Loop,ChildMission,1001,KillMonster,56212,1,,Locale_Event:EventMVG_Quest_Loop_Name_08,Locale_Event:EventMVG_Quest_DescEmpty,0,3010012,0
1010,Loop,ChildMission,1001,KillMonster,66213,1,,Locale_Event:EventMVG_Quest_Loop_Name_09,Locale_Event:EventMVG_Quest_DescEmpty,0,3010012,0
