id,theme,bgm,is_loop,play_time,name,order,artist,get_info_type,get_info_value,is_default_bgm
8989001,898,event_bgm_lastkingdom_theclarioncall,False,190,The Clarion Call,1,Cosmograph (feat. Pernelle),FieldItem,55010217,
8989002,898,event_bgm_lastkingdom_lastkingdom,True,112,Last Kingdom,2,Cosmograph,FieldItem,55010201,
8989003,898,event_bgm_lastkingdom_reclusivepilot,True,128,Reclusive Pilot,3,Nauts,FieldItem,55010203,
8989004,898,event_bgm_lastkingdom_imwaitingcmd,True,98,I'm waiting you Commander,4,Cosmograph,FieldItem,55010204,
8989005,898,event_bgm_lastkingdom_morningstar,True,91,Morning Star,5,Cosmograph,FieldItem,55010206,
8989006,898,event_bgm_lastkingdom_noblemeals,True,126,Noble Meals,6,Nauts,FieldItem,55010207,
8989007,898,event_bgm_lastkingdom_tothelast,True,123,To the Last,7,Nauts,FieldItem,55010208,
8989008,898,event_bgm_lastkingdom_machines,True,126,Machines,8,Nauts,FieldItem,55010209,
8989009,898,event_bgm_lastkingdom_pinch,True,136,Pinch,9,DoubleTO,FieldItem,55010210,
8989010,898,event_bgm_lastkingdom_whisperoffear,True,125,Whisper (of fear),10,DoubleTO,FieldItem,55010211,
8989011,898,event_bgm_lastkingdom_ownplace,True,115,Own places,11,Nauts,FieldItem,55010212,
8989012,898,licensed_bgm_boss_ebg003_phase1,True,103,Headless Angel,16,QUEEN BEE [Licensed by Sony Music Labels Inc.],FieldItem,55010214,
8989013,898,event_bgm_lastkingdom_absolutemaker,False,170,Absolute Maker,17,Cosmograph (feat. Corbin),FieldItem,55010215,
8989014,898,event_bgm_fortheking_stage_1,True,90,Brace for Impact,12,Nauts,FieldItem,55010202,
8989015,898,event_bgm_fortheking_stage_2,True,90,Front of the Castle,13,Nauts,FieldItem,55010205,
8989016,898,event_bgm_fortheking_stage_3,True,90,Final Protective Line,14,Nauts,FieldItem,55010213,
8989017,898,event_bgm_fortheking_stage_4,True,92,The Pioneers,15,DoubleTO,FieldItem,55010216,
8995001,899,event_bgm_redash_theredhood,False,189,THE REDHOOD,1,"Djerv X Cosmograph, NieN",FieldItem,55007212,
8995002,899,event_bgm_redash_ourhometown,False,144,Our Hometown,2,Cosmograph (feat. REX),FieldItem,55007201,
8995003,899,event_bgm_redash_alldownhill,True,117,all Downhill,3,Cosmograph,FieldItem,55007204,
8995004,899,event_bgm_redash_goddesssquadready,True,123,GODDESS SQUAD READY,4,Nauts,FieldItem,55007203,
8995005,899,event_bgm_redash_goddesssquadbriefing,True,123,Briefing,5,Nauts,FieldItem,55007206,
8995006,899,event_bgm_redash_dearsnowwhite,True,140,Dear. Snow White,6,Cosmograph,FieldItem,55007202,
8995007,899,event_bgm_redash_facethat,True,127,face THAT,7,DoubleTO,FieldItem,55007208,
8995008,899,event_bgm_redash_ashsmoke,True,139,Ash Smoke,8,Cosmograph,FieldItem,55007210,
8995009,899,event_bgm_redash_thewilds,True,109,The Wilds,9,NieN,FieldItem,55007211,
8995010,899,event_bgm_redash_thankstogoddess,True,129,Thanks to Goddess,10,Cosmograph,FieldItem,55007224,
8995011,899,event_bgm_redash_finalbattle,True,115,Final Battle,11,NieN,FieldItem,55007215,
8995012,899,event_bgm_redash_freesia,True,161,Freesia,12,Cosmograph,FieldItem,55007228,
8995013,899,event_bgm_redash_holdyoutight,False,233,Hold you tight,13,Cosmograph (feat. AKA),FieldItem,55007231,
8995014,899,event_bgm_redash_onthecliff,True,135,On the Cliff,14,DoubleTO,FieldItem,55007222,
8995015,899,bgm_boss_bbg006,True,277,Daybreak,15,Cosmograph X Varien (feat. Cesar Pentzke),FieldItem,55007225,
8995016,899,event_bgm_redash_angelscry,False,180,Angel's Cry,16,NieN (feat. B.A.Wheeler),FieldItem,55007216,
8995017,899,event_bgm_redash_blackstallion,False,169,Black Stalion,17,NieN (feat. B.A.Wheeler),FieldItem,55007226,
8995018,899,event_bgm_redash_minigame_title,True,77,MOG,18,Cosmograph,FieldItem,55007217,
8995019,899,event_bgm_redash_minigame_snowland,True,96,MOG_snow stage,19,Cosmograph,FieldItem,55007205,
8995020,899,event_bgm_redash_minigame_armybase,True,93,MOG_armybase stage,20,Cosmograph,FieldItem,55007209,
8995021,899,event_bgm_redash_minigame_desertland,True,90,MOG_desert stage,21,Cosmograph,FieldItem,55007218,
8995022,899,event_bgm_redash_minigame_grassland,True,92,MOG_grass stage,22,Cosmograph,FieldItem,55007227,
8995024,899,event_bgm_redash_minigame_reredhood,True,93,MOG_the redhood mog ver.,23,Cosmograph,FieldItem,55007220,
8995025,899,event_bgm_redash_minigame_story1,True,77,MOG_memories,24,Cosmograph,FieldItem,55007214,
8995026,899,event_bgm_redash_minigame_story2,True,77,MOG_spring,25,Cosmograph,FieldItem,55007223,
8995027,899,event_bgm_redash_minigame_boxlv1,False,7,MOG_BOX Lv1,26,Cosmograph,FieldItem,55007207,
8995028,899,event_bgm_redash_minigame_boxlv2,False,7,MOG_BOX Lv2,27,Cosmograph,FieldItem,55007213,
8995029,899,event_bgm_redash_minigame_boxlv3,False,8,MOG_BOX Lv3,28,Cosmograph,FieldItem,55007221,
