id,event_field_id,print_condition_type,print_condition_value,popup_ui_prefab,title_localkey,sub_title_localkey,description_localkey,image_resource
1002001,10020,ItemSpawn,55020801,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_01,Locale_Event:event_field_notice_popup_ce006_sub_title_01,Locale_Event:event_field_notice_popup_ce006_sub_description_01,img_event_field_notice_popup_ce006_01
1002002,10020,ItemObtain,55020801,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_02,Locale_Event:event_field_notice_popup_ce006_sub_title_02,Locale_Event:event_field_notice_popup_ce006_sub_description_02,img_event_field_notice_popup_ce006_02
1002003,10020,ItemObtain,55020806,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_03,Locale_Event:event_field_notice_popup_ce006_sub_title_03,Locale_Event:event_field_notice_popup_ce006_sub_description_03,img_event_field_notice_popup_ce006_03
1002004,10020,PasswordSpawn,302001,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_04,Locale_Event:event_field_notice_popup_ce006_sub_title_04,Locale_Event:event_field_notice_popup_ce006_sub_description_04,img_event_field_notice_popup_ce006_04
1002005,10020,PasswordObtain,302001,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_05,Locale_Event:event_field_notice_popup_ce006_sub_title_05,Locale_Event:event_field_notice_popup_ce006_sub_description_05,img_event_field_notice_popup_ce006_05
1002006,10020,ItemSpawn,55020802,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_06,Locale_Event:event_field_notice_popup_ce006_sub_title_06,Locale_Event:event_field_notice_popup_ce006_sub_description_06,img_event_field_notice_popup_ce006_06
1002007,10020,ItemSpawn,55020803,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_07,Locale_Event:event_field_notice_popup_ce006_sub_title_07,Locale_Event:event_field_notice_popup_ce006_sub_description_07,img_event_field_notice_popup_ce006_07
1002008,10020,ItemSpawn,55020804,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_08,Locale_Event:event_field_notice_popup_ce006_sub_title_08,Locale_Event:event_field_notice_popup_ce006_sub_description_08,img_event_field_notice_popup_ce006_08
1002009,10020,ItemSpawn,55020805,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_09,Locale_Event:event_field_notice_popup_ce006_sub_title_09,Locale_Event:event_field_notice_popup_ce006_sub_description_09,img_event_field_notice_popup_ce006_09
1002010,10020,ItemSpawn,55020807,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_10,Locale_Event:event_field_notice_popup_ce006_sub_title_10,Locale_Event:event_field_notice_popup_ce006_sub_description_10,img_event_field_notice_popup_ce006_10
1002011,10020,ItemSpawn,55020808,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_11,Locale_Event:event_field_notice_popup_ce006_sub_title_11,Locale_Event:event_field_notice_popup_ce006_sub_description_11,img_event_field_notice_popup_ce006_11
1002012,10020,ItemSpawn,55020809,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_12,Locale_Event:event_field_notice_popup_ce006_sub_title_12,Locale_Event:event_field_notice_popup_ce006_sub_description_12,img_event_field_notice_popup_ce006_12
1002013,10020,ItemSpawn,55020810,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_13,Locale_Event:event_field_notice_popup_ce006_sub_title_13,Locale_Event:event_field_notice_popup_ce006_sub_description_13,img_event_field_notice_popup_ce006_13
1002014,10020,PasswordSpawn,302002,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_14,Locale_Event:event_field_notice_popup_ce006_sub_title_14,Locale_Event:event_field_notice_popup_ce006_sub_description_14,img_event_field_notice_popup_ce006_14
1002015,10020,PasswordSpawn,302003,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_15,Locale_Event:event_field_notice_popup_ce006_sub_title_15,Locale_Event:event_field_notice_popup_ce006_sub_description_15,img_event_field_notice_popup_ce006_15
1002016,10020,PasswordSpawn,302004,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_16,Locale_Event:event_field_notice_popup_ce006_sub_title_16,Locale_Event:event_field_notice_popup_ce006_sub_description_16,img_event_field_notice_popup_ce006_16
1002017,10020,PasswordSpawn,302005,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_17,Locale_Event:event_field_notice_popup_ce006_sub_title_17,Locale_Event:event_field_notice_popup_ce006_sub_description_17,img_event_field_notice_popup_ce006_17
1002018,10020,PasswordSpawn,302006,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_18,Locale_Event:event_field_notice_popup_ce006_sub_title_18,Locale_Event:event_field_notice_popup_ce006_sub_description_18,img_event_field_notice_popup_ce006_18
1002019,10020,PasswordSpawn,302007,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_19,Locale_Event:event_field_notice_popup_ce006_sub_title_19,Locale_Event:event_field_notice_popup_ce006_sub_description_19,img_event_field_notice_popup_ce006_19
1002020,10020,PasswordSpawn,302008,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_20,Locale_Event:event_field_notice_popup_ce006_sub_title_20,Locale_Event:event_field_notice_popup_ce006_sub_description_20,img_event_field_notice_popup_ce006_20
1002021,10020,PasswordSpawn,302009,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_21,Locale_Event:event_field_notice_popup_ce006_sub_title_21,Locale_Event:event_field_notice_popup_ce006_sub_description_21,img_event_field_notice_popup_ce006_21
1002022,10020,ItemSpawn,55020410,story_event_popup_guide_ce006,Locale_Event:event_field_notice_popup_ce006_title_22,Locale_Event:event_field_notice_popup_ce006_sub_title_22,Locale_Event:event_field_notice_popup_ce006_sub_description_22,img_event_field_notice_popup_ce006_22
