id,stendard_attack_tier_id,attack_speed,chase_speed,thrash,normal,elite,special,centurion,boss
1001,1,1065353216,1065353216,10,15,29,14,82,159
1002,2,1066192077,1065772646,64,71,84,96,255,292
1003,2,1067030938,1066192077,82,91,108,124,328,375
1004,3,1067869798,1066611507,101,111,131,151,401,458
1005,3,1068708659,1067030938,119,131,154,178,474,541
1006,4,1069547520,1067450368,137,151,178,206,546,624
1007,4,1070386381,1067869798,155,171,202,233,619,708
1008,5,1071225242,1068289229,173,191,226,260,692,791
1009,5,1072064102,1068708659,192,211,249,287,765,874
1010,6,1072902963,1069128090,210,231,273,315,838,957
1011,6,1073741824,1069547520,228,251,297,342,910,1040
1012,7,1074161254,1069966950,273,301,355,410,1092,1248
1013,7,1074580685,1070386381,319,351,415,479,1274,1456
1014,8,1075000115,1070805811,364,401,474,546,1456,1664
1015,8,1075419546,1071225242,410,451,533,615,1638,1872
1016,9,1075838976,1071644672,455,501,592,683,1820,2080
1017,9,1076258406,1072064102,501,551,651,752,2002,2288
1018,10,1076677837,1072483533,546,601,710,819,2184,2496
1019,10,1077097267,1072902963,592,651,770,888,2366,2704
1020,11,1077516698,1073322394,637,701,829,956,2548,2912
1021,11,1077936128,1073741824,683,752,888,1025,2730,3120
