id,mission_group_id,renew_type,order,mission_trigger_type,trigger_condition_type,trigger_condition_id,trigger_condition_value,name_localkey,point_value,datacheck_condition_type,datacheck_condition_id,datacheck_condition_value
30001101,30100,AutoDay,2,Trigger,OutpostBattleReward,0.0,1.0,Locale_Trigger:trigger_desc_OutpostBattleReward,20,,,
30001102,30100,AutoDay,4,Trigger,PointRewardDaily,0.0,100.0,Locale_Trigger:trigger_desc_PointRewardDaily,30,,,
30001103,30100,AutoDay,1,DataCheck,,,,Locale_Trigger:datacheck_desc_DailyLoginGame,20,Pass_DailyLoginGame,0.0,1.0
30001104,30100,AutoDay,3,DataCheck,,,,Locale_Trigger:datacheck_desc_ClearStoryEventStage,30,Pass_ClearStoryEventStage,0.0,5.0
30001201,30100,AutoWeek,1,Trigger,CharacterLevelUpCount,0.0,1.0,Locale_Trigger:trigger_desc_CharacterLevelUp,100,,,
30001202,30100,AutoWeek,2,Trigger,InterceptClear,0.0,6.0,Locale_Trigger:trigger_desc_InterceptClear,100,,,
30001203,30100,AutoWeek,3,Trigger,SimulationRoomClearWithoutCondition,0.0,3.0,Locale_Trigger:trigger_desc_SimulationRoomClearWithoutCondition,100,,,
30001204,30100,AutoWeek,4,Trigger,PointRewardWeekly,0.0,100.0,Locale_Trigger:trigger_desc_PointRewardWeekly,100,,,
30001205,30100,AutoWeek,5,Trigger,OutpostFastBattleReward,0.0,5.0,Locale_Trigger:trigger_desc_OutpostFastBattleReward,100,,,
30001206,30100,AutoWeek,6,DataCheck,,,,Locale_Trigger:datacheck_desc_ClearStoryEventChallengeStage,100,Pass_ClearStoryEventChallengeStage,0.0,3.0
30001301,30100,NoRenew,1,Trigger,TowerBasicClear,10100.0,1.0,Locale_Trigger:trigger_desc_TowerBasicClear_10100,250,,,
30001302,30100,NoRenew,2,Trigger,LostSectorClear,10.0,1.0,Locale_Trigger:trigger_desc_LostSectorClear_9,200,,,
30001303,30100,NoRenew,3,DataCheck,,,,Locale_Trigger:datacheck_desc_CheckLevelInfracore,150,Pass_CheckLevelInfracore,0.0,2.0
30001304,30100,NoRenew,4,DataCheck,,,,Locale_Trigger:datacheck_desc_CheckQuantityUserTitle,200,Pass_CheckQuantityUserTitle,0.0,5.0
30001305,30100,NoRenew,5,DataCheck,,,,Locale_Trigger:datacheck_desc_ClearCampaignEXStage,200,Pass_ClearCampaignEXStage,0.0,20.0
30001306,30100,NoRenew,6,DataCheck,,,,Locale_Trigger:datacheck_desc_CollectCampaignFieldItem,200,Pass_CollectCampaignFieldItem,0.0,100.0
30001307,30100,NoRenew,7,DataCheck,,,,Locale_Trigger:datacheck_desc_ClearSimulationRoomOverclock,250,Pass_ClearSimulationRoomOverclock,15.0,1.0
30001308,30100,NoRenew,8,DataCheck,,,,Locale_Trigger:datacheck_desc_EquipFavoriteItemSR,200,Pass_EquipFavoriteItemSR,5024.0,1.0
30001309,30100,NoRenew,9,DataCheck,,,,Locale_Trigger:datacheck_desc_CheckLevelFavoriteItemSR,200,Pass_CheckLevelFavoriteItemSR,5024.0,5.0
30001310,30100,NoRenew,10,DataCheck,,,,Locale_Trigger:datacheck_desc_CheckLevelFavoriteItemSR,250,Pass_CheckLevelFavoriteItemSR,5024.0,15.0
30001311,30100,NoRenew,11,DataCheck,,,,Locale_Trigger:datacheck_desc_EquipFavoriteItemSSR,250,Pass_EquipFavoriteItemSSR,5024.0,1.0
30001312,30100,NoRenew,13,DataCheck,,,,Locale_Trigger:datacheck_desc_StartUnionRaidStage,250,Pass_StartUnionRaidStage,0.0,3.0
30001313,30100,NoRenew,14,DataCheck,,,,Locale_Trigger:datacheck_desc_CheckQuantityUnlockArchive,150,Pass_CheckQuantityUnlockArchive,0.0,2.0
30001314,30100,NoRenew,15,DataCheck,,,,Locale_Trigger:datacheck_desc_ClearSideStoryStage,150,Pass_ClearSideStoryStage,1014.0,1.0
30001315,30100,NoRenew,16,DataCheck,,,,Locale_Trigger:datacheck_desc_StartCooperationEvent,150,Pass_StartCooperationEvent,0.0,3.0
30001316,30100,NoRenew,12,DataCheck,,,,Locale_Trigger:datacheck_desc_StartSoloRaidChellengeStage,250,Pass_StartSoloRaidChallengeStage,0.0,1.0
