id,group_id,content_type_locale,order,tag_info_minigame_tutorial_id,tag_resource_id,use_recommended_icon_id
101,100,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
201,200,Locale_System:CONTENT_TYPE_0.5_YEAR,1,0,icn_anniversary_0.5,icn_anniversary_0.5
202,200,Locale_System:CONTENT_TYPE_FULLVOICE,2,0,icn_voice,icn_voice
203,200,Locale_System:CONTENT_TYPE_MINIGAME,3,20001,icn_minigame,icn_minigame
204,200,Locale_System:CONTENT_TYPE_OLDSTORY,4,0,,
205,200,Locale_System:CONTENT_TYPE_STORYEVENT1,5,0,,
206,200,Locale_System:CONTENT_TYPE_STORYEVENT2,6,0,,
207,200,Locale_System:CONTENT_TYPE_FIELDEVENT,7,0,,
301,300,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
401,400,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
501,500,Locale_System:CONTENT_TYPE_FULLVOICE,1,0,icn_voice,icn_voice
502,500,Locale_System:CONTENT_TYPE_MINIGAME,2,20002,icn_minigame,icn_minigame
503,500,Locale_System:CONTENT_TYPE_STORYEVENT1,3,0,,
504,500,Locale_System:CONTENT_TYPE_STORYEVENT2,4,0,,
505,500,Locale_System:CONTENT_TYPE_FIELDEVENT,5,0,,
601,600,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
701,700,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
801,800,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
901,900,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
1001,1000,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
1101,1100,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
1201,1200,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
1301,1300,Locale_System:CONTENT_TYPE_1_YEAR,1,0,icn_anniversary_1.0,icn_anniversary_1.0
1302,1300,Locale_System:CONTENT_TYPE_FULLVOICE,2,0,icn_voice,icn_voice
1303,1300,Locale_System:CONTENT_TYPE_MINIGAME,3,20004,icn_minigame,icn_minigame
1304,1300,Locale_System:CONTENT_TYPE_OLDSTORY,4,0,,
1305,1300,Locale_System:CONTENT_TYPE_STORYEVENT1,5,0,,
1306,1300,Locale_System:CONTENT_TYPE_STORYEVENT2,6,0,,
1307,1300,Locale_System:CONTENT_TYPE_FIELDEVENT,7,0,,
1401,1400,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
1501,1500,Locale_System:CONTENT_TYPE_MINIGAME,1,20005,icn_minigame,icn_minigame
1502,1500,Locale_System:CONTENT_TYPE_STORYEVENT,2,0,,
1601,1600,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
1701,1700,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
1802,1800,Locale_System:CONTENT_TYPE_MINIGAME,1,20006,icn_minigame,icn_minigame
1803,1800,Locale_System:CONTENT_TYPE_STORYEVENT1,2,0,,
1804,1800,Locale_System:CONTENT_TYPE_STORYEVENT2,3,0,,
1805,1800,Locale_System:CONTENT_TYPE_FIELDEVENT,4,0,,
1901,1900,Locale_System:CONTENT_TYPE_FULLVOICE,1,0,icn_voice,icn_voice
1902,1900,Locale_System:CONTENT_TYPE_MINIGAME,2,20003,icn_minigame,icn_minigame
1903,1900,Locale_System:CONTENT_TYPE_STORYEVENT1,3,0,,
1904,1900,Locale_System:CONTENT_TYPE_STORYEVENT2,4,0,,
1905,1900,Locale_System:CONTENT_TYPE_FIELDEVENT,5,0,,
2001,2000,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
2101,2100,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
2201,2200,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
2301,2300,Locale_System:CONTENT_TYPE_1.5_YEAR,1,0,icn_anniversary_1.5,icn_anniversary_1.5
2302,2300,Locale_System:CONTENT_TYPE_FULLVOICE,2,0,icn_voice,icn_voice
2303,2300,Locale_System:CONTENT_TYPE_MINIGAME,3,20007,icn_minigame,icn_minigame
2304,2300,Locale_System:CONTENT_TYPE_STORYEVENT1,4,0,,
2305,2300,Locale_System:CONTENT_TYPE_STORYEVENT2,5,0,,
2306,2300,Locale_System:CONTENT_TYPE_FIELDEVENT,6,0,,
2401,2400,Locale_System:CONTENT_TYPE_FULLVOICE,1,0,icn_voice,icn_voice
2402,2400,Locale_System:CONTENT_TYPE_STORYEVENT,2,0,,
2501,2500,Locale_System:CONTENT_TYPE_FULLVOICE,1,0,icn_voice,icn_voice
2502,2500,Locale_System:CONTENT_TYPE_MINIGAME,2,20008,icn_minigame,icn_minigame
2503,2500,Locale_System:CONTENT_TYPE_STORYEVENT1,3,0,,
2504,2500,Locale_System:CONTENT_TYPE_STORYEVENT2,4,0,,
2505,2500,Locale_System:CONTENT_TYPE_FIELDEVENT,5,0,,
2601,2600,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
2701,2700,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
2801,2800,Locale_System:CONTENT_TYPE_MINIGAME,1,20009,icn_minigame,icn_minigame
2802,2800,Locale_System:CONTENT_TYPE_STORYEVENT,2,0,,
2901,2900,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
3001,3000,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
3101,3100,Locale_System:CONTENT_TYPE_2_YEAR,1,0,icn_anniversary_2.0,icn_anniversary_2.0
3102,3100,Locale_System:CONTENT_TYPE_FULLVOICE,2,0,icn_voice,icn_voice
3103,3100,Locale_System:CONTENT_TYPE_MINIGAME,3,20011,icn_minigame,icn_minigame
3104,3100,Locale_System:CONTENT_TYPE_STORYEVENT1,4,0,,
3105,3100,Locale_System:CONTENT_TYPE_STORYEVENT2,5,0,,
3106,3100,Locale_System:CONTENT_TYPE_FIELDEVENT,6,0,,
3201,3200,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
3301,3300,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
3401,3400,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
3501,3500,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
3601,3600,Locale_System:CONTENT_TYPE_FULLVOICE,1,0,icn_voice,icn_voice
3602,3600,Locale_System:CONTENT_TYPE_MINIGAME,2,20012,icn_minigame,icn_minigame
3603,3600,Locale_System:CONTENT_TYPE_STORYEVENT1,3,0,,
3604,3600,Locale_System:CONTENT_TYPE_STORYEVENT2,4,0,,
3605,3600,Locale_System:CONTENT_TYPE_FIELDEVENT,5,0,,
3701,3700,Locale_System:CONTENT_TYPE_STORYEVENT,1,0,,
