id,group_id,level,time,building_sprite_resource,building_prefab,building_upgrade_resource_prefab,build_condition/0/build_condition_type,build_condition/0/build_condition_value,build_condition/1/build_condition_type,build_condition/1/build_condition_value,cost/0/cost_type,cost/0/cost_id,cost/0/cost_value,cost/1/cost_type,cost/1/cost_id,cost/1/cost_value,cost/2/cost_type,cost/2/cost_id,cost/2/cost_value,cost/3/cost_type,cost/3/cost_id,cost/3/cost_value,function/0/function_type,function/0/function_value_type,function/0/function_value,function/0/function_name_localkey,function/0/function_description_localkey,function/1/function_type,function/1/function_value_type,function/1/function_value,function/1/function_name_localkey,function/1/function_description_localkey,function/2/function_type,function/2/function_value_type,function/2/function_value,function/2/function_name_localkey,function/2/function_description_localkey,function/3/function_type,function/3/function_value_type,function/3/function_value,function/3/function_name_localkey,function/3/function_description_localkey
401000101,40001,1,0,fsbg_building_commandcenter_001_01,fsbg_building_commandcenter_001_01,fsbg_building_construct_001_02,None,0,None,0,None,0,0,None,0,0,None,0,0,None,0,0,IncreaseTeamMaximum,Integer,2,Locale_Surface:SURFACE_RESEARCH_INCREASE_TEAM_MAX_AMOUNT_DESC,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_DESC,IncreaseNikkeMaximum,Integer,5,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_TITLE,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_DESC,None,None,0,,,None,None,0,,
401000102,40001,2,10,fsbg_building_commandcenter_001_01,fsbg_building_commandcenter_001_01,fsbg_building_construct_001_02,Build,401000101,None,0,SurfaceCurrency,104000001,1000,SurfaceCurrency,104000002,1000,SurfaceCurrency,104000003,1000,SurfaceCurrency,104000004,1000,IncreaseTeamMaximum,Integer,2,Locale_Surface:SURFACE_RESEARCH_INCREASE_TEAM_MAX_AMOUNT_DESC,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_DESC,IncreaseNikkeMaximum,Integer,5,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_TITLE,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_DESC,None,None,0,,,None,None,0,,
401000103,40001,3,600,fsbg_building_commandcenter_001_01,fsbg_building_commandcenter_001_01,fsbg_building_construct_001_02,Build,401000302,None,0,SurfaceCurrency,104000001,150000,SurfaceCurrency,104000002,150000,SurfaceCurrency,104000003,150000,SurfaceCurrency,104000004,150000,IncreaseTeamMaximum,Integer,2,Locale_Surface:SURFACE_RESEARCH_INCREASE_TEAM_MAX_AMOUNT_DESC,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_DESC,IncreaseNikkeMaximum,Integer,5,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_TITLE,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_DESC,None,None,0,,,None,None,0,,
401000104,40001,4,7200,fsbg_building_commandcenter_001_02,fsbg_building_commandcenter_001_02,fsbg_building_construct_001_02,Build,401000303,Build,401000202,SurfaceCurrency,104000001,500000,SurfaceCurrency,104000002,300000,SurfaceCurrency,104000003,250000,SurfaceCurrency,104000004,500000,IncreaseTeamMaximum,Integer,2,Locale_Surface:SURFACE_RESEARCH_INCREASE_TEAM_MAX_AMOUNT_DESC,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_DESC,IncreaseNikkeMaximum,Integer,5,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_TITLE,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_DESC,None,None,0,,,None,None,0,,
401000105,40001,5,43200,fsbg_building_commandcenter_001_02,fsbg_building_commandcenter_001_02,fsbg_building_construct_001_02,Build,401000304,Build,401000402,SurfaceCurrency,104000001,1000000,SurfaceCurrency,104000002,600000,SurfaceCurrency,104000003,500000,SurfaceCurrency,104000004,1000000,IncreaseTeamMaximum,Integer,2,Locale_Surface:SURFACE_RESEARCH_INCREASE_TEAM_MAX_AMOUNT_DESC,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_DESC,IncreaseNikkeMaximum,Integer,5,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_TITLE,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_DESC,None,None,0,,,None,None,0,,
401000200,40002,0,0,fsbg_building_barracks_001_01,fsbg_building_barracks_001_01,fsbg_building_construct_001_02,None,0,None,0,None,0,0,None,0,0,None,0,0,None,0,0,None,None,0,,,None,None,0,,,None,None,0,,,None,None,0,,
401000201,40002,1,10,fsbg_building_barracks_001_01,fsbg_building_barracks_001_01,fsbg_building_construct_001_02,Build,401000701,Build,401000601,None,0,0,None,0,0,None,0,0,None,0,0,IncreaseNikkeMaximum,Integer,1,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_TITLE,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_DESC,None,None,0,,,None,None,0,,,None,None,0,,
401000202,40002,2,600,fsbg_building_barracks_001_02,fsbg_building_barracks_001_02,fsbg_building_construct_001_02,Build,401000703,Build,401000603,SurfaceCurrency,104000001,38890,SurfaceCurrency,104000002,19445,SurfaceCurrency,104000003,38890,None,0,0,IncreaseNikkeMaximum,Integer,2,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_TITLE,Locale_System:SURFACE_BUILDING_FUNCTION_INCREASE_TEAM_MAXIMUM_DESC,None,None,0,,,None,None,0,,,None,None,0,,
401000300,40003,0,0,fsbg_building_hospital_001_01,fsbg_building_hospital_001_01,fsbg_building_construct_001_02,None,0,None,0,None,0,0,None,0,0,None,0,0,None,0,0,None,None,0,,,None,None,0,,,None,None,0,,,None,None,0,,
401000301,40003,1,10,fsbg_building_hospital_001_01,fsbg_building_hospital_001_01,fsbg_building_construct_001_02,Build,401000501,None,0,None,0,0,None,0,0,None,0,0,None,0,0,HospitalRecoverySquadMaxAmount,Integer,2,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_MAX_AMOUNT_TITLE,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_MAX_AMOUNT_DESC,None,None,0,,,None,None,0,,,None,None,0,,
401000302,40003,2,10,fsbg_building_hospital_001_01,fsbg_building_hospital_001_01,fsbg_building_construct_001_02,Build,401000502,None,0,SurfaceCurrency,104000001,10000,SurfaceCurrency,104000002,10000,SurfaceCurrency,104000003,10000,None,0,0,HospitalRecoverySquadMaxAmount,Integer,2,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_MAX_AMOUNT_TITLE,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_MAX_AMOUNT_DESC,DecreaseRecoveryTime,Percent,100,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_DECREASE_TIME_TITLE,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_DECREASE_TIME_DESC,None,None,0,,,None,None,0,,
401000303,40003,3,600,fsbg_building_hospital_001_01,fsbg_building_hospital_001_01,fsbg_building_construct_001_02,Build,401000503,None,0,SurfaceCurrency,104000001,75000,SurfaceCurrency,104000002,75000,SurfaceCurrency,104000003,75000,None,0,0,HospitalRecoverySquadMaxAmount,Integer,3,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_MAX_AMOUNT_TITLE,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_MAX_AMOUNT_DESC,DecreaseRecoveryTime,Percent,100,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_DECREASE_TIME_TITLE,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_DECREASE_TIME_DESC,None,None,0,,,None,None,0,,
401000304,40003,4,7200,fsbg_building_hospital_001_02,fsbg_building_hospital_001_02,fsbg_building_construct_001_02,Build,401000504,None,0,SurfaceCurrency,104000001,250000,SurfaceCurrency,104000002,150000,SurfaceCurrency,104000003,125000,None,0,0,HospitalRecoverySquadMaxAmount,Integer,3,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_MAX_AMOUNT_TITLE,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_MAX_AMOUNT_DESC,DecreaseRecoveryTime,Percent,200,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_DECREASE_TIME_TITLE,Locale_Surface:SURFACE_BUILDING_FUNCTION_HOSPITAL_DECREASE_TIME_DESC,None,None,0,,,None,None,0,,
