id,default_lv,building_data
4010101,1,40001
4010102,1,40003
4010103,1,40002
4010104,1,40002
4010105,1,40002
4010106,1,40002
4010107,1,40002
4010108,1,40004
4010109,1,40004
4010110,1,40004
4010111,1,40004
4010112,1,40004
4010113,1,40009
4010114,1,40005
4010115,1,40006
4010116,1,40007
4010117,1,40008
4010201,0,40004
4010202,0,40004
4010203,0,40006
4010204,0,40007
4020101,0,40002
4020102,0,40002
4020103,0,40002
4020104,0,40004
4020105,0,40006
4020106,0,40007
4020201,0,40002
4020202,0,40004
4020203,0,40004
4020204,0,40004
4020205,0,40008
4020206,0,40007
4020301,0,40003
4020302,0,40002
4020303,0,40004
4020304,0,40004
4020305,0,40004
4020306,0,40006
4020307,0,40005
4020308,0,40007
4030101,0,40002
4030102,0,40004
4030103,0,40004
4030104,0,40004
4030105,0,40006
4030106,0,40007
4030201,0,40002
4030202,0,40004
4030203,0,40004
4030204,0,40006
4030205,0,40005
4030206,0,40007
4030301,0,40003
4030302,0,40002
4030303,0,40002
4030304,0,40004
4030305,0,40004
4030306,0,40005
4030307,0,40006
4030308,0,40007
4030309,0,40008
4040101,0,40002
4040102,0,40004
4040103,0,40008
4040104,0,40006
4040105,0,40007
4040106,0,40007
4040201,0,40003
4040202,0,40002
4040203,0,40004
4040204,0,40004
4040205,0,40004
4040206,0,40005
4040207,0,40006
4040208,0,40007
4040209,0,40008
4040301,0,40002
4040302,0,40004
4040303,0,40004
4040304,0,40004
4040305,0,40004
4040306,0,40009
4040307,0,40006
4040308,0,40005
4040309,0,40007
