id,group_id,timeline_value,actiontype,setmuzzlefx,setmuzzle,proj_resource_id,proj_resource_hit_id,proj_type,proj_amount,proj_duration,afterdurationfx,proj_aftercollide,proj_dmgcount,proj_dmgdelay,proj_pierce,proj_size,proj_spd,proj_atk,actionvalue/0/actionvalue,actionvalue/1/actionvalue,actionvalue/2/actionvalue,proj_typevalue/0/proj_typevalue,proj_typevalue/1/proj_typevalue,proj_typevalue/2/proj_typevalue,proj_typevalue/3/proj_typevalue,proj_typevalue/4/proj_typevalue,proj_typevalue/5/proj_typevalue,proj_typevalue/6/proj_typevalue,proj_typevalue/7/proj_typevalue,proj_typevalue/8/proj_typevalue,proj_typevalue/9/proj_typevalue
101,100,0,None,fx_mvg_projectile_bullet_a_muz,A_Muzzle,fx_mvg_projectile_bullet_a01,fx_mvg_projectile_bullet_a_hit,Linear,100,80,,0,100,0,0,0,0,0,,,,24,0,,,,,,,,
102,100,5,None,,A_Muzzle,fx_mvg_projectile_bullet_a01,fx_mvg_projectile_bullet_a_hit,Linear,100,75,,0,100,0,0,0,0,0,,,,16,-6,150,,,,,,,
103,100,5,None,,A_Muzzle,fx_mvg_projectile_bullet_a01,fx_mvg_projectile_bullet_a_hit,Linear,100,75,,0,100,0,0,0,0,0,,,,16,6,-150,,,,,,,
104,100,10,None,,A_Muzzle,fx_mvg_projectile_bullet_a01,fx_mvg_projectile_bullet_a_hit,Linear,100,70,,0,100,0,0,0,0,0,,,,0,-4,300,,,,,,,
105,100,10,None,,A_Muzzle,fx_mvg_projectile_bullet_a01,fx_mvg_projectile_bullet_a_hit,Linear,100,70,,0,100,0,0,0,0,0,,,,0,4,-300,,,,,,,
106,100,15,None,,A_Muzzle,fx_mvg_projectile_bullet_a01,fx_mvg_projectile_bullet_a_hit,Linear,100,65,,0,100,0,0,0,0,0,,,,-4,0,450,,,,,,,
107,100,15,None,,A_Muzzle,fx_mvg_projectile_bullet_a01,fx_mvg_projectile_bullet_a_hit,Linear,100,65,,0,100,0,0,0,0,0,,,,-4,0,-450,,,,,,,
201,200,0,None,fx_mvg_projectile_bullet_b_muz,B_Muzzle,fx_mvg_projectile_bullet_b01,fx_mvg_projectile_bullet_b_hit,Linear,100,700,,201,100,0,0,0,0,0,,,,24,0,,,,,,,,
210,201,0,None,,None,fx_mvg_projectile_bullet_b_explosion,fx_mvg_projectile_bullet_b_hit,Linear,100,500,fx_mvg_projectile_bullet_b_disappear,0,-100,50,-100,0,0,0,,,,0,0,,,,,,,,
301,300,0,None,,C_Muzzle,fx_mvg_projectile_bullet_c01,fx_mvg_projectile_bullet_c_hit,Laser_Line,100,250,,0,-100,10,0,0,0,0,,,,100,5000,0,,,,,,,
302,301,0,None,,C_Muzzle,fx_mvg_projectile_bullet_c02,fx_mvg_projectile_bullet_c_hit,Laser_Line,100,250,,0,-100,10,-100,0,0,0,,,,100,5000,0,,,,,,,
400,400,0,None,fx_mvg_projectile_bullet_d_muz,D_Center,fx_mvg_projectile_bullet_d01,fx_mvg_projectile_bullet_d_hit,Laser_Area,200,400,,0,-100,0,0,0,0,0,,,,12000,200,100,0,200,250,220,350,410,100
401,400,10,None,fx_mvg_projectile_bullet_d_muz,D_Center,fx_mvg_projectile_bullet_d01,fx_mvg_projectile_bullet_d_hit,Laser_Area,200,400,,0,100,0,0,0,0,0,,,,12000,200,100,0,200,240,240,350,410,100
402,400,20,None,fx_mvg_projectile_bullet_d_muz,D_Center,fx_mvg_projectile_bullet_d01,fx_mvg_projectile_bullet_d_hit,Laser_Area,200,400,,0,100,0,0,0,0,0,,,,12000,200,100,0,200,230,220,350,410,100
410,410,0,None,,None,fx_mvg_projectile_bullet_d_hit,,Linear,100,10,,0,100,0,0,0,0,0,,,,0,0,,,,,,,,
501,500,0,PlayFx,,None,,,None,0,0,,0,0,0,-1,0,0,0,fx_mvg_character_burst_activate,,,,,,,,,,,,
502,500,0,GlassAction,,None,,,None,0,0,,0,0,0,-1,0,0,0,MoveToPivot,15,120,,,,,,,,,,
503,500,20,StopFx,,None,,,None,0,0,,0,0,0,-1,0,0,0,fx_mvg_character_burst_activate,,,,,,,,,,,,
504,500,120,None,,None,fx_mvg_projectile_burstLaser,fx_mvg_projectile_burstLaser_hit,Laser_Screen,100,400,,0,-100,20,-100,0,0,500,,,,3200,1500,25,,,,,,,
