id,currency_type,max_production_value
410001,104000001,150000
410002,104000001,200000
410003,104000001,250000
410004,104000001,300000
410005,104000001,350000
410006,104000001,400000
410007,104000001,450000
420001,104000002,90000
420002,104000002,125000
420003,104000002,160000
420004,104000002,195000
420005,104000002,230000
420006,104000002,265000
420007,104000002,300000
430001,104000003,80000
430002,104000003,110000
430003,104000003,140000
430004,104000003,170000
430005,104000003,200000
430006,104000003,230000
430007,104000003,260000
440001,104000004,160000
440002,104000004,233000
440003,104000004,306000
440004,104000004,379000
440005,104000004,452000
440006,104000004,525000
440007,104000004,598000
