id,name_code,attractive_level,condition_scenario_group_id,scenario_title_locale,attractive_scenario_group_id,reward_id,costume
1,3001,1,,Locale_NikkeEpisode:d_nikke_rapi_01_title,d_nikke_rapi_01,50,0
2,3001,3,d_nikke_rapi_01,Locale_NikkeEpisode:d_nikke_rapi_02_title,d_nikke_rapi_02,50,0
3,3001,5,d_nikke_rapi_02,Locale_NikkeEpisode:d_nikke_rapi_03_title,d_nikke_rapi_03,50,0
4,3001,7,d_nikke_rapi_03,Locale_NikkeEpisode:d_nikke_rapi_04_title,d_nikke_rapi_04,50,0
5,3001,10,d_nikke_rapi_04,Locale_NikkeEpisode:d_nikke_rapi_05_title,d_nikke_rapi_05,50,0
6,3002,1,,Locale_NikkeEpisode:d_nikke_neon_01_title,d_nikke_neon_01,50,0
7,3002,3,d_nikke_neon_01,Locale_NikkeEpisode:d_nikke_neon_02_title,d_nikke_neon_02,50,0
8,3002,5,d_nikke_neon_02,Locale_NikkeEpisode:d_nikke_neon_03_title,d_nikke_neon_03,50,0
9,3002,7,d_nikke_neon_03,Locale_NikkeEpisode:d_nikke_neon_04_title,d_nikke_neon_04,50,0
10,3002,10,d_nikke_neon_04,Locale_NikkeEpisode:d_nikke_neon_05_title,d_nikke_neon_05,50,0
11,3003,1,,Locale_NikkeEpisode:d_nikke_delta_01_title,d_nikke_delta_01,50,0
12,3003,3,d_nikke_delta_01,Locale_NikkeEpisode:d_nikke_delta_02_title,d_nikke_delta_02,50,0
13,3003,5,d_nikke_delta_02,Locale_NikkeEpisode:d_nikke_delta_03_title,d_nikke_delta_03,50,0
14,3003,7,d_nikke_delta_03,Locale_NikkeEpisode:d_nikke_delta_04_title,d_nikke_delta_04,50,0
15,3003,10,d_nikke_delta_04,Locale_NikkeEpisode:d_nikke_delta_05_title,d_nikke_delta_05,50,0
16,3005,1,,Locale_NikkeEpisode:d_nikke_anis_01_title,d_nikke_anis_01,50,0
17,3005,3,d_nikke_anis_01,Locale_NikkeEpisode:d_nikke_anis_02_title,d_nikke_anis_02,50,0
18,3005,5,d_nikke_anis_02,Locale_NikkeEpisode:d_nikke_anis_03_title,d_nikke_anis_03,50,0
19,3005,7,d_nikke_anis_03,Locale_NikkeEpisode:d_nikke_anis_04_title,d_nikke_anis_04,50,0
20,3005,10,d_nikke_anis_04,Locale_NikkeEpisode:d_nikke_anis_05_title,d_nikke_anis_05,50,0
21,3006,1,,Locale_NikkeEpisode:d_nikke_mihara_01_title,d_nikke_mihara_01,50,0
22,3006,3,d_nikke_mihara_01,Locale_NikkeEpisode:d_nikke_mihara_02_title,d_nikke_mihara_02,50,0
23,3006,5,d_nikke_mihara_02,Locale_NikkeEpisode:d_nikke_mihara_03_title,d_nikke_mihara_03,50,0
24,3006,7,d_nikke_mihara_03,Locale_NikkeEpisode:d_nikke_mihara_04_title,d_nikke_mihara_04,50,0
