id,season_group,group_order,option_change,infinite_option
100,10000,1,,
101,10000,2,,
102,10000,3,,
103,10000,4,,
104,10000,5,,
105,10000,6,,
106,10000,7,,
107,10000,8,,
108,10000,9,,
109,10000,10,,
110,10000,11,,
111,10000,12,,
112,10000,13,,
113,10000,14,,
114,10000,15,,
201,10001,1,,
202,10001,2,,
203,10001,3,,
204,10001,4,,
205,10001,5,,
206,10001,6,,
207,10001,7,,
208,10001,8,,
209,10001,9,,
210,10001,10,,
211,10001,11,,
212,10001,12,,
213,10001,13,,
214,10001,14,,
215,10001,15,,
301,10002,1,,
302,10002,2,,
303,10002,3,,
304,10002,4,,
305,10002,5,,
306,10002,6,,
307,10002,7,,
308,10002,8,,
309,10002,9,True,
310,10002,10,,
311,10002,11,,
312,10002,12,,
313,10002,13,,
314,10002,14,,
315,10002,15,,
401,10003,1,,
402,10003,2,,
403,10003,3,,
404,10003,4,,
405,10003,5,,
406,10003,6,,
407,10003,7,,
408,10003,8,,
409,10003,9,True,
410,10003,10,,
411,10003,11,,
412,10003,12,,
413,10003,13,,
414,10003,14,,
415,10003,15,,
501,10004,1,,
502,10004,2,,
503,10004,3,,
504,10004,4,,
505,10004,5,,
506,10004,6,,
507,10004,7,,
508,10004,8,,
509,10004,9,True,
510,10004,10,,
511,10004,11,,
512,10004,12,,
513,10004,13,,
514,10004,14,,
515,10004,15,,
516,10004,16,,True
601,10005,1,,
602,10005,2,,
603,10005,3,,
604,10005,4,,
605,10005,5,,
606,10005,6,,
607,10005,7,,
608,10005,8,,
609,10005,9,True,
610,10005,10,,
611,10005,11,,
612,10005,12,,
613,10005,13,,
614,10005,14,,
615,10005,15,,
616,10005,16,,True
701,10006,1,,
702,10006,2,,
703,10006,3,,
704,10006,4,,
705,10006,5,,
706,10006,6,,
707,10006,7,,
708,10006,8,,
709,10006,9,True,
710,10006,10,,
711,10006,11,,
712,10006,12,,
713,10006,13,,
714,10006,14,,
715,10006,15,,
716,10006,16,,True
