id,random_group_id,wave_path_group_id,random_chance,wave_represent_monster
10010101,100101,9100101,10,1001105101
10010102,100101,9100102,10,1001105101
10010103,100101,9100103,10,1001105101
10010104,100101,9100104,10,1001105101
10010105,100101,9100105,10,1001105101
10010106,100101,9100106,10,1001105101
10010107,100101,9100107,2,1001105101
10010108,100101,9100108,2,1001105101
10010109,100101,9100109,2,1001105101
10010110,100101,9100110,4,1001105101
10010111,100101,9100111,4,1001105101
10010112,100101,9100112,4,1001105101
10010201,100102,9100201,10,1001105101
10010202,100102,9100202,10,1001105101
10010203,100102,9100203,10,1001105101
10010204,100102,9100204,10,1001105101
10010205,100102,9100205,10,1001105101
10010206,100102,9100206,10,1001105101
10010207,100102,9100207,2,1001105101
10010208,100102,9100208,2,1001105101
10010209,100102,9100209,2,1001105101
10010210,100102,9100210,4,1001105101
10010211,100102,9100211,4,1001105101
10010212,100102,9100212,4,1001105101
10010301,100103,9100301,10,1001108101
10010302,100103,9100302,10,1001108101
10010303,100103,9100303,10,1001108101
10010304,100103,9100304,10,1001108101
10010305,100103,9100305,10,1001108101
10010306,100103,9100306,10,1001108101
10010307,100103,9100307,2,1001108101
10010308,100103,9100308,2,1001108101
10010309,100103,9100309,2,1001108101
10010310,100103,9100310,4,1001108101
10010311,100103,9100311,4,1001108101
10010312,100103,9100312,4,1001108101
10010401,100104,9100401,10,1001103101
10010402,100104,9100402,10,1001103101
10010403,100104,9100403,10,1001103101
10010404,100104,9100404,10,1001103101
10010405,100104,9100405,10,1001103101
10010406,100104,9100406,10,1001103101
10010407,100104,9100407,2,1001103101
10010408,100104,9100408,2,1001103101
10010409,100104,9100409,2,1001103101
10010410,100104,9100410,4,1001103101
10010411,100104,9100411,4,1001103101
10010412,100104,9100412,4,1001103101
10010501,100105,9100501,10,1001201101
10010502,100105,9100502,10,1001201101
10010503,100105,9100503,10,1001201101
10010504,100105,9100504,10,1001201101
10010505,100105,9100505,10,1001201101
10010506,100105,9100506,10,1001201101
10010507,100105,9100507,2,1001201101
10010508,100105,9100508,2,1001201101
10010509,100105,9100509,2,1001201101
10010510,100105,9100510,4,1001201101
10010511,100105,9100511,4,1001201101
