id,group_id,name_localkey,description_localkey,skill_icon,shot_id,fire_type,casting_time,skill_value_type_01,skill_value_01,skill_value_type_02,skill_value_02,skill_value_type_03,skill_value_03,skill_value_type_04,skill_value_04,skill_value_type_05,skill_value_05,casting_start_animation_resource,casting_loop_animation_resource,shot_animation_resource,use_turn,adjust_function_id/0/name,adjust_function_id/0/value
100001,10001,Locale_SurfaceSkill:100001_name,Locale_SurfaceSkill:100001_desc,attack_default_ar,1,InstantArea,0,Percent,10000,Integer,0,None,0,None,0,Integer,0,,,,1,adjust_function_id,0
200001,20001,Locale_SurfaceSkill:200001_name,Locale_SurfaceSkill:200001_desc,attack_default_sr,1,InstantArea,0,Percent,10000,Integer,0,None,0,None,0,Integer,0,,,,1,adjust_function_id,0
200002,20002,Locale_SurfaceSkill:200002_name,Locale_SurfaceSkill:200002_desc,buff_attack_up,1,SurfaceMonsterSetBuff,0,None,0,Integer,10,Integer,1,None,0,Integer,1,,,,0,adjust_function_id,601010101
200003,20003,Locale_SurfaceSkill:200003_name,Locale_SurfaceSkill:200003_desc,heal,1,SurfaceMonsterSetBuff,0,None,0,Integer,10,Integer,1,None,0,Integer,1,,,,0,adjust_function_id,601190101
200004,20004,Locale_SurfaceSkill:200004_name,Locale_SurfaceSkill:200004_desc,debuff_atk_down,1,InstantArea,0,Percent,0,Integer,0,None,0,None,0,Integer,0,,,,1,adjust_function_id,601040101
200005,20005,Locale_SurfaceSkill:200005_name,Locale_SurfaceSkill:200005_desc,suicide_bomb,1,InstantArea,300,Percent,100000,Integer,1,None,0,None,0,Integer,1,,,,0,adjust_function_id,0
200015,20005,,,,2,InstantArea,0,Percent,0,Integer,0,None,0,None,0,Integer,1,,,,0,adjust_function_id,601030101
200006,20006,,,,1,SurfaceMonsterSetBuff,0,None,0,Integer,0,Integer,1,None,0,Integer,0,,,,1,adjust_function_id,601020101
11130101,111301,Locale_SurfaceSkill:11130101_name,Locale_SurfaceSkill:11130101_desc,laser_shot,1,InstantArea,0,Percent,8044,Integer,0,None,0,None,0,Integer,0,,,,1,adjust_function_id,0
11130102,111301,Locale_SurfaceSkill:11130102_name,Locale_SurfaceSkill:11130102_desc,attack_proj_cannonade,2,InstantArea,300,Percent,429025,Integer,1,None,0,None,0,Integer,0,,,,1,adjust_function_id,0
11130103,111301,Locale_SurfaceSkill:11130103_name,Locale_SurfaceSkill:11130103_desc,bomb_summon,3,InstantAreaNum,300,Percent,214513,Integer,0,Integer,100,None,0,None,0,,,,1,adjust_function_id,0
11130104,111301,Locale_SurfaceSkill:11130104_name,Locale_SurfaceSkill:11130104_desc,crystalchaimber_shield_laser,4,InstantArea,500,Percent,429025,Integer,2,None,0,None,0,Integer,1,mcg002_sd_skill_start_01,mcg002_sd_skill_loop_01,mcg002_sd_skill_fire_01,0,adjust_function_id,0
14100101,141001,Locale_Monster:14100101_name,Locale_SurfaceSkill:14100101_desc,laser_shot,1,InstantArea,0,Percent,9623,Integer,0,None,0,None,0,Integer,0,,,,1,adjust_function_id,0
14100102,141001,Locale_SurfaceSkill:14100102_name,Locale_SurfaceSkill:14100102_desc,call_monster,2,CallingMonster,300,Integer,14100101,Integer,2,None,0,None,0,None,0,,,,0,adjust_function_id,0
14100103,141001,Locale_SurfaceSkill:14100106_name,Locale_SurfaceSkill:14100105_desc,crystalchaimber_eye_laser,3,InstantArea,250,Percent,95339,Integer,0,None,0,None,0,Integer,0,,,,1,adjust_function_id,0
14100104,141001,Locale_SurfaceSkill:14100105_name,Locale_SurfaceSkill:14100106_desc,proj_multi_shot,4,InstantAreaNum,300,Percent,171610,Integer,0,Integer,100,None,0,None,0,bcg001_sd_skill_start_01,bcg001_sd_skill_loop_01,bcg001_sd_skill_fire_01,0,adjust_function_id,0
