id,world_id,sector_id,occupation_area_name_localkey,occupation_area_description_localkey,optical_camouflage_item_id,optical_camouflage_item_value,calling_signal_generator_item_id,charge_battery_item_group_id,calling_signal_repair_item_group_id,occupation_area_level_group_id,occupation_start_delay_time,occupation_time,defense_area_level_group_id,defense_start_delay_time,defense_time,defense_charge_battery_gauge,battery_gauge_max_value,battery_decrease_per_sec,max_amount_calling_signal_generator,reward_id,battle_area_range
100001,5,0,Locale_System:SURFACE_AREA_SCALE_SMALL,Locale_System:SURFACE_OCCUPATION_OPEN_CONDITION_DESCRIPTION,205001001,0,205002001,501001,502001,9000501,5,180,9000501,30,180,5000,2000,0,1,10,2
401001,4,4001001,Locale_Surface:SURFACE_AREA_NAME_01_A,Locale_System:SURFACE_OCCUPATION_OPEN_CONDITION_DESCRIPTION,204001001,1,204002001,401001,402001,1001,30,180,1001,30,180,5000,604800,1,1,24110201,2
402001,4,4001002,Locale_Surface:SURFACE_AREA_NAME_02_A,Locale_System:SURFACE_OCCUPATION_OPEN_CONDITION_DESCRIPTION,204001002,1,204002002,401002,402002,2001,30,180,2001,30,180,5000,604800,1,1,24110202,2
402002,4,4001002,Locale_Surface:SURFACE_AREA_NAME_02_B,Locale_System:SURFACE_OCCUPATION_OPEN_CONDITION_DESCRIPTION,204001002,1,204002002,401002,402002,2002,30,180,2002,30,180,5000,604800,1,1,24110203,2
402003,4,4001002,Locale_Surface:SURFACE_AREA_NAME_02_C,Locale_System:SURFACE_OCCUPATION_OPEN_CONDITION_DESCRIPTION,204001002,1,204002002,401002,402002,2003,30,180,2003,30,180,5000,604800,1,1,24110204,2
403001,4,4001003,Locale_Surface:SURFACE_AREA_NAME_03_A,Locale_System:SURFACE_OCCUPATION_OPEN_CONDITION_DESCRIPTION,204001003,1,204002003,401003,402003,3001,30,180,3001,30,180,5000,604800,1,1,24110205,2
403002,4,4001003,Locale_Surface:SURFACE_AREA_NAME_03_B,Locale_System:SURFACE_OCCUPATION_OPEN_CONDITION_DESCRIPTION,204001003,1,204002003,401003,402003,3002,30,180,3002,30,180,5000,604800,1,1,24110206,2
403003,4,4001003,Locale_Surface:SURFACE_AREA_NAME_03_C,Locale_System:SURFACE_OCCUPATION_OPEN_CONDITION_DESCRIPTION,204001003,1,204002003,401003,402003,3003,30,180,3003,30,180,5000,604800,1,1,24110207,2
404001,4,4001004,Locale_Surface:SURFACE_AREA_NAME_04_A,Locale_System:SURFACE_OCCUPATION_OPEN_CONDITION_DESCRIPTION,204001004,1,204002004,401004,402004,4001,30,180,4001,30,180,5000,604800,1,1,24110208,2
404002,4,4001004,Locale_Surface:SURFACE_AREA_NAME_04_B,Locale_System:SURFACE_OCCUPATION_OPEN_CONDITION_DESCRIPTION,204001004,1,204002004,401004,402004,4002,30,180,4002,30,180,5000,604800,1,1,24110209,2
404003,4,4001004,Locale_Surface:SURFACE_AREA_NAME_04_C,Locale_System:SURFACE_OCCUPATION_OPEN_CONDITION_DESCRIPTION,204001004,1,204002004,401004,402004,4003,30,180,4003,30,180,5000,604800,1,1,24110210,2
