id,group_id,row_number,slot/0/slot,slot/1/slot,slot/2/slot,slot/3/slot,slot/4/slot,slot/5/slot,slot/6/slot,slot/7/slot,slot/8/slot
1,1,1,1,1,1,1,1,1,1,1,1
2,1,2,1,1,1,1,1,1,1,1,1
3,1,3,1,1,1,2,2,2,1,1,1
4,1,4,1,1,1,2,2,2,1,1,1
5,1,5,1,1,1,2,2,2,1,1,1
6,1,6,1,1,1,2,2,2,1,1,1
7,1,7,1,1,1,2,2,2,1,1,1
8,1,8,1,1,1,1,1,1,1,1,1
9,1,9,1,1,1,1,1,1,1,1,1
10,1,10,0,0,0,0,0,0,0,0,0
11,2,1,1,1,1,1,1,1,1,1,1
12,2,2,1,1,1,1,1,1,1,1,1
13,2,3,1,1,1,1,1,1,1,1,1
14,2,4,1,1,2,2,2,2,2,1,1
15,2,5,1,1,2,2,2,2,2,1,1
16,2,6,1,1,2,2,2,2,2,1,1
17,2,7,1,1,1,1,1,1,1,1,1
18,2,8,1,1,1,1,1,1,1,1,1
19,2,9,1,1,1,1,1,1,1,1,1
20,2,10,0,0,0,0,0,0,0,0,0
21,3,1,1,1,1,1,1,1,1,1,1
22,3,2,1,1,1,1,2,1,1,1,1
23,3,3,1,1,1,2,2,2,1,1,1
24,3,4,1,1,1,2,2,2,1,1,1
25,3,5,1,1,1,2,2,2,1,1,1
26,3,6,1,1,1,2,2,2,1,1,1
27,3,7,1,1,1,1,2,1,1,1,1
28,3,8,1,1,1,1,2,1,1,1,1
29,3,9,1,1,1,1,1,1,1,1,1
30,3,10,0,0,0,0,0,0,0,0,0
