id,value
groupshot_hp,300
groupshot_time,600
groupshot_max_gauge_value,300
groupshot_gain_gauge_value,100
token_count,3
token_statup_value,3000
squad_encounter_range,500
squad_assistsquad_encounter_range,300
squad_move_speed,1000
field_squad_chase_speed,0.6
soft_object_hp,100
soft_object_def,0
medium_object_hp,500
medium_object_def,0
hard_object_hp,1000
hard_object_def,0
cover_hp,8000
cover_def,0
field_AR_fire_speed_rate,0.18
field_SG_fire_speed_rate,0.8
field_RL_fire_speed_rate,1.8
field_MG_fire_speed_rate,0.25
field_SR_fire_speed_rate,1.2
field_SMG_fire_speed_rate,0.15
field_fire_speed_rate,0.18
field_move_range_rate,100
encounter_move_max_range,800
encounter_move_min_range,300
encounter_move_angle_range,100
encounter_ar_move_speed,360
encounter_sg_move_speed,450
encounter_rl_move_speed,225
encounter_mg_move_speed,150
encounter_sr_move_speed,240
encounter_smg_move_speed,600
encounter_ar_attack_time,2
encounter_sg_attack_time,1.5
encounter_rl_attack_time,4
encounter_mg_attack_time,5
encounter_sr_attack_time,3
encounter_smg_attack_time,2
field_encounter_speed,15
field_2nd_camera_zom_inout,30
field_2nd_camera_zom_inout_time,1
field_longpress_starting_time,0.5
field_longpress_casting_time,0.5
FieldMainQuestIndicatorFunction,True
FieldSubQuestIndicatorFunction,True
FielEXStageIndicatorFunction,True
FieldEventQuestIndicatorFunction,True
ulti_gauge_sec,100
ulti_gauge_kill_m,960
ulti_gauge_kill_e,1440
ulti_gauge_kill_c,1920
ulti_gauge_kill_b,2880
ulti_gauge_use_skill,200
ulti_gauge_skill_hit,100
ulti_gauge_shot_hit,4
ulti_gauge_hurt,480
ulti_gauge_cover_hurt,0
ulti_gauge_empty_ammo,13
gravitybomb_resist_huge,0
gravitybomb_resist_big,0
gravitybomb_resist_medium,50
gravitybomb_resist_small,100
monster_ulti_gauge_hurt,4
monster_ulti_gauge_sec,250
monster_ulti_gauge_shot_hit,4
monster_ulti_gauge_use_skill,100
monster_ulti_gauge_skill_hit,10
distortion_gauge_rate,1000
burst_damage_step_03,10000
burst_damage_step_02,10000
burst_damage_step_01,10000
burst_damage_step_crash,15000
burst_duration_time,0
global_cool_time,50
burst_energy_max,1000000
combo_base_duration_time,500
combo_decrease_duration_time,10
combo_min_duration_time,100
core_damge_rate,25000
BonusRangeRate,13000
gravity_acceleration,3
monster_landing_min_height,3
monster_spawn_drop_height,20
monster_spawn_jump_power,15
monster_spawn_jump_time,1.2
monster_spawn_dash_speed,5
monster_spawn_curve_speed,3.5
monster_spawn_curve_time,1.5
monster_spawn_curve_low,3
monster_spawn_vertical_height,12
monster_spawn_vertical_speed,4
spot_mod_defense_thrash_count,1
spot_mod_defense_minion_count,2
spot_mod_defense_elite_count,5
spot_mod_defense_centurion_count,10
spot_mod_defense_escapezone_buff,7000013
spot_mid_range_start,25
spot_mid_range_end,45
arena_battletime,90
ElementBonusDamage,1000
spot_basedefense_maxpoint,10000
spot_mod_basedefense_defensezonecount_obtain,0
spot_mod_basedefense_obtain_point,3
spot_mod_basedefense_defensezonecount_loss,5
spot_mod_basedefense_loss_point_01,2
spot_mod_basedefense_loss_point_02,5
spot_mod_basedefense_thrash_point,1
spot_mod_basedefense_minion_point,2
spot_mod_basedefense_elite_point,10
spot_mod_basedefense_centurion_point,60
spot_logic_per_frame,30
hpdamage_limit,30
spot_QTE_break_col_max_count,40
spot_QTE_counter_col_max_count,40
spot_QTE_first_col_max_count,20
spot_counter_col_hp_ratio,15000
monster_fall_down_count,3
monster_fall_down_return_add_y,30
ChargeDamageChangeMaxStatAmmo_max_ammo,50
spot_vote_timer,500
NextSpotDialogPlaySecond,1
FunctionDamageForParts,0
StickyProjectileDirectTeamMaxCount,50
StickyProjectileExplosionIntervalOnFunction,0.2
StickyProjectileExplosionIntervalOnDestruction,0.2
spot_mod_mecashifty_group_id,15003
spot_mod_shifty_group_id,15001
spot_mod_syuen_group_id,15002
spot_effect_fix,49
spot_effect_fix_option,True
cooperation_kick_popup_condition_time,30
cooperation_kick_popup_remain_time,10
cooperation_kick_popup_count,3
RLV2SwitchDelayTime,20
