id,event_system_type,event_shortcut_id,name_localkey,description_localkey,schedule_type,schedule_value,event_disable_locale,event_resource_id,event_thumbnail_resource_table,event_thumbnail_resource_id,thumbnail_color,event_banner_resource_table,event_banner_resource_id,event_order,is_popup,active_type,banner_print_type,is_hidden,parents_event_id,set_field
10001,LoginEvent,15001,Locale_Event:daily_login_event_name,Locale_Event:daily_login_event_description,Once,0,EVENT_REWARD_ACQUISITION_DATE,301201,event_old,EVENT_BANNER_DAILY_LOGIN_01,000000,event_old,EVENT_BANNER_DAILY_LOGIN_01_S,78899684,True,DailyOnce,PrintEventTime,,,
10002,LoginEvent,15001,Locale_Event:daily_login_event_name,Locale_Event:daily_login_event_description,Once,0,EVENT_REWARD_ACQUISITION_DATE,110001,event_old,EVENT_BANNER_DAILY_LOGIN_02,181b1d,event_old,EVENT_BANNER_DAILY_LOGIN_02_S,78897684,True,DailyOnce,PrintEventTime,,,
10003,LoginEvent,15001,Locale_Event:daily_login_event_name,Locale_Event:daily_login_event_description,Once,0,EVENT_REWARD_ACQUISITION_DATE,301201,event_old,EVENT_BANNER_DAILY_LOGIN_03,101212,event_old,EVENT_BANNER_DAILY_LOGIN_03_S,78887184,True,DailyOnce,PrintEventTime,,,
10004,LoginEvent,15001,Locale_Event:daily_login_event_name,Locale_Event:daily_login_event_description,Once,0,EVENT_REWARD_ACQUISITION_DATE,311201,event_old,EVENT_BANNER_DAILY_LOGIN_04,ff008a,event_old,EVENT_BANNER_DAILY_LOGIN_04_S,77998884,True,DailyOnce,PrintEventTime,,,
10005,LoginEvent,15001,Locale_Event:daily_login_event_name,Locale_Event:daily_login_event_description,Once,0,EVENT_REWARD_ACQUISITION_DATE,331101,event_old,EVENT_BANNER_DAILY_LOGIN_05,421E24,event_old,EVENT_BANNER_DAILY_LOGIN_05_S,77989984,True,DailyOnce,PrintEventTime,,,
10006,LoginEvent,15001,Locale_Event:daily_login_event_name,Locale_Event:daily_login_event_description,Once,0,EVENT_REWARD_ACQUISITION_DATE,580101,event_old,EVENT_BANNER_DAILY_LOGIN_06,ff0060,event_old,EVENT_BANNER_DAILY_LOGIN_06_S,77988584,True,DailyOnce,PrintEventTime,,,
10007,LoginEvent,15001,Locale_Event:daily_login_event_name,Locale_Event:daily_login_event_description,Once,0,EVENT_REWARD_ACQUISITION_DATE,338101,event_old,EVENT_BANNER_DAILY_LOGIN_07,000000,event_old,EVENT_BANNER_DAILY_LOGIN_07_S,77978584,True,DailyOnce,PrintEventTime,,,
10008,LoginEvent,15001,Locale_Event:daily_login_event_name,Locale_Event:daily_login_event_description,Once,0,EVENT_REWARD_ACQUISITION_DATE,328201,event_old,EVENT_BANNER_DAILY_LOGIN_08,131111,event_old,EVENT_BANNER_DAILY_LOGIN_08_S,77977084,True,DailyOnce,PrintEventTime,,,
10009,LoginEvent,15001,Locale_Event:daily_login_event_name,Locale_Event:daily_login_event_description,Once,0,EVENT_REWARD_ACQUISITION_DATE,204001,event_old,EVENT_BANNER_DAILY_LOGIN_09,a20016,event_old,EVENT_BANNER_DAILY_LOGIN_09_S,77968784,True,DailyOnce,PrintEventTime,,,
10010,LoginEvent,15001,Locale_Event:daily_login_event_name,Locale_Event:daily_login_event_description,Once,0,EVENT_REWARD_ACQUISITION_DATE,301201,event_old,EVENT_BANNER_MEMORIESOFSPRING,db005b,event_old,EVENT_BANNER_MEMORIESOFSPRING_S,77977084,True,DailyOnce,PrintEventTime,,,
