id,loading_tip_localkey,order
1,Locale_Event:EventBM_stage_loading_desc_01,1
2,Locale_Event:EventBM_stage_loading_desc_02,2
3,Locale_Event:EventBM_stage_loading_desc_03,3
4,Locale_Event:EventBM_stage_loading_desc_04,4
5,Locale_Event:EventBM_stage_loading_desc_05,5
6,Locale_Event:EventBM_stage_loading_desc_06,6
7,Locale_Event:EventBM_stage_loading_desc_07,7
8,Locale_Event:EventBM_stage_loading_desc_08,8
9,Locale_Event:EventBM_stage_loading_desc_09,9
10,Locale_Event:EventBM_stage_loading_desc_10,10
11,Locale_Event:EventBM_stage_loading_desc_11,11
