id,group_id,order,password_character_resource
3020101,30201,3,icn_password_character_sb_07
3020102,30201,1,icn_password_character_sb_10
3020103,30201,9,icn_password_character_sb_12
3020104,30201,4,icn_password_character_sb_11
3020105,30201,6,icn_password_character_sb_06
3020106,30201,2,icn_password_character_sb_01
3020107,30201,8,icn_password_character_sb_08
3020108,30201,11,icn_password_character_sb_05
3020109,30201,12,icn_password_character_sb_04
3020110,30201,10,icn_password_character_sb_09
3020111,30201,5,icn_password_character_sb_02
3020112,30201,7,icn_password_character_sb_03
3020201,30202,4,icn_password_character_sb_07
3020202,30202,10,icn_password_character_sb_10
3020203,30202,1,icn_password_character_sb_12
3020204,30202,7,icn_password_character_sb_11
3020205,30202,9,icn_password_character_sb_06
3020206,30202,6,icn_password_character_sb_01
3020207,30202,12,icn_password_character_sb_08
3020208,30202,3,icn_password_character_sb_05
3020209,30202,8,icn_password_character_sb_04
3020210,30202,2,icn_password_character_sb_09
3020211,30202,11,icn_password_character_sb_02
3020212,30202,5,icn_password_character_sb_03
3020301,30203,2,icn_password_character_sb_07
3020302,30203,5,icn_password_character_sb_10
3020303,30203,8,icn_password_character_sb_12
3020304,30203,12,icn_password_character_sb_11
3020305,30203,7,icn_password_character_sb_06
3020306,30203,10,icn_password_character_sb_01
3020307,30203,3,icn_password_character_sb_08
3020308,30203,6,icn_password_character_sb_05
3020309,30203,1,icn_password_character_sb_04
3020310,30203,11,icn_password_character_sb_09
3020311,30203,4,icn_password_character_sb_02
3020312,30203,9,icn_password_character_sb_03
3020401,30204,9,icn_password_character_sb_07
3020402,30204,6,icn_password_character_sb_10
3020403,30204,4,icn_password_character_sb_12
3020404,30204,11,icn_password_character_sb_11
3020405,30204,3,icn_password_character_sb_06
3020406,30204,1,icn_password_character_sb_01
3020407,30204,7,icn_password_character_sb_08
3020408,30204,12,icn_password_character_sb_05
3020409,30204,10,icn_password_character_sb_04
3020410,30204,2,icn_password_character_sb_09
3020411,30204,5,icn_password_character_sb_02
3020412,30204,8,icn_password_character_sb_03
3020501,30205,1,icn_password_character_sb_07
3020502,30205,8,icn_password_character_sb_10
3020503,30205,10,icn_password_character_sb_12
3020504,30205,5,icn_password_character_sb_11
3020505,30205,3,icn_password_character_sb_06
3020506,30205,11,icn_password_character_sb_01
3020507,30205,4,icn_password_character_sb_08
3020508,30205,9,icn_password_character_sb_05
3020509,30205,2,icn_password_character_sb_04
3020510,30205,7,icn_password_character_sb_09
3020511,30205,12,icn_password_character_sb_02
3020512,30205,6,icn_password_character_sb_03
3020601,30206,7,icn_password_character_sb_07
3020602,30206,3,icn_password_character_sb_10
3020603,30206,12,icn_password_character_sb_12
3020604,30206,2,icn_password_character_sb_11
3020605,30206,10,icn_password_character_sb_06
3020606,30206,8,icn_password_character_sb_01
3020607,30206,6,icn_password_character_sb_08
3020608,30206,1,icn_password_character_sb_05
3020609,30206,9,icn_password_character_sb_04
3020610,30206,5,icn_password_character_sb_09
3020611,30206,11,icn_password_character_sb_02
3020612,30206,4,icn_password_character_sb_03
3020701,30207,5,icn_password_character_sb_07
3020702,30207,2,icn_password_character_sb_10
3020703,30207,11,icn_password_character_sb_12
3020704,30207,8,icn_password_character_sb_11
3020705,30207,4,icn_password_character_sb_06
3020706,30207,12,icn_password_character_sb_01
3020707,30207,1,icn_password_character_sb_08
3020708,30207,6,icn_password_character_sb_05
3020709,30207,7,icn_password_character_sb_04
3020710,30207,10,icn_password_character_sb_09
3020711,30207,3,icn_password_character_sb_02
3020712,30207,9,icn_password_character_sb_03
3020801,30208,6,icn_password_character_sb_07
3020802,30208,9,icn_password_character_sb_10
3020803,30208,2,icn_password_character_sb_12
3020804,30208,10,icn_password_character_sb_11
3020805,30208,12,icn_password_character_sb_06
3020806,30208,5,icn_password_character_sb_01
3020807,30208,11,icn_password_character_sb_08
3020808,30208,4,icn_password_character_sb_05
3020809,30208,1,icn_password_character_sb_04
3020810,30208,3,icn_password_character_sb_09
3020811,30208,8,icn_password_character_sb_02
3020812,30208,7,icn_password_character_sb_03
3020901,30209,12,icn_password_character_sb_07
3020902,30209,7,icn_password_character_sb_10
3020903,30209,5,icn_password_character_sb_12
3020904,30209,6,icn_password_character_sb_11
3020905,30209,1,icn_password_character_sb_06
3020906,30209,3,icn_password_character_sb_01
3020907,30209,10,icn_password_character_sb_08
3020908,30209,8,icn_password_character_sb_05
3020909,30209,11,icn_password_character_sb_04
3020910,30209,4,icn_password_character_sb_09
3020911,30209,2,icn_password_character_sb_02
3020912,30209,9,icn_password_character_sb_03
