id,group_id,good_note_start,great_note_start,perfect_note_start,perfect_note_end,great_note_end,good_note_end
101,110101,5600,5900,6900,7800,8800,9100
102,110102,5600,5900,6900,7800,8800,9100
103,120101,1500,1800,2800,3700,4700,5000
104,120101,6000,6300,7300,8200,9200,9500
105,130101,2600,2900,3900,4800,5800,6100
106,130102,5100,5400,6400,7300,8300,8600
107,140101,3900,4200,5100,6000,6900,7200
108,140102,1200,1500,2400,3300,4200,4500
109,140102,5700,6000,6900,7800,8700,9000
110,140103,700,1000,1900,2800,3700,4000
111,140103,4400,4700,5600,6500,7400,7700
112,150101,1900,2200,3100,4000,4900,5200
113,150101,5700,6000,6900,7800,8700,9000
114,150102,3200,3500,4400,5300,6200,6500
115,150103,1300,1600,2500,3400,4300,4600
116,150103,6100,6400,7300,8200,9100,9400
201,210101,1300,1600,2500,3100,4000,4300
202,210102,6100,6400,7300,7900,8800,9100
203,220101,5600,5900,6800,7400,8300,8600
204,220102,3000,3300,4200,4800,5700,6000
205,230101,4200,4500,5400,6000,6900,7200
206,230102,1700,2000,2900,3500,4400,4700
207,230102,6600,6900,7800,8400,9300,9600
208,230103,2000,2300,3200,3800,4700,5000
209,230103,6500,6800,7700,8300,9200,9500
210,240101,3500,3800,4700,5300,6200,6500
211,240102,1700,2000,2900,3500,4400,4700
212,240102,6600,6900,7800,8400,9300,9600
213,240103,800,1100,2000,2600,3500,3800
214,240103,4500,4800,5700,6300,7200,7500
215,250101,2000,2300,3200,3800,4700,5000
216,250101,6400,6700,7600,8200,9100,9400
217,250102,4300,4600,5500,6100,7000,7300
218,250103,700,1000,1900,2500,3400,3700
219,250103,5800,6100,7000,7600,8500,8800
220,260101,1300,1600,2500,3100,4000,4300
221,260101,4900,5200,5900,6300,7000,7300
222,260102,600,900,1600,2000,2700,3000
223,260102,3600,3900,4800,5400,6300,6600
224,260102,7200,7500,8200,8600,9300,9600
225,260103,2200,2500,3400,4000,4900,5200
226,260103,6300,6600,7300,7700,8400,8700
301,310101,2100,2400,2900,3300,3800,4100
302,310101,5900,6200,6700,7100,7600,7900
303,310102,2700,3000,3500,3900,4400,4700
304,310103,1600,1900,2400,2800,3300,3600
305,310103,4600,4900,5400,5800,6300,6600
306,320101,4300,4600,5100,5500,6000,6300
307,320102,3200,3500,4000,4400,4900,5200
308,320102,5400,5700,6200,6600,7100,7400
309,320103,2800,3100,3600,4000,4500,4800
310,320103,5800,6100,6600,7000,7500,7800
311,330101,1500,1800,2300,2700,3200,3500
312,330101,4400,4700,5200,5600,6100,6400
313,330101,7300,7600,8100,8500,9000,9300
314,330102,2800,3100,3600,4000,4500,4800
315,330102,5800,6100,6600,7000,7500,7800
316,330103,1700,2000,2500,2900,3400,3700
317,330103,4700,5000,5500,5900,6400,6700
318,340101,4000,4300,4800,5200,5700,6000
319,340101,6800,7100,7600,8000,8500,8800
320,340102,5100,5400,5900,6300,6800,7100
321,340102,7500,7800,8300,8700,9200,9500
322,340103,2500,2800,3300,3700,4200,4500
323,340103,4800,5100,5600,6000,6500,6800
324,340103,7100,7400,7900,8300,8800,9100
