id,category_data_group,data_type,data_type_name_localkey,total_item,total_item_description_localkey
10,200101,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,DecreaseSurfaceBuildingLevelUpTime,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
11,200102,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,DecreaseSurfaceBuildingLevelUpCost,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
12,200201,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,DecreaseResearchTime,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
14,200301,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,DecreaseRecoveryTime,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
15,200301,Building,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_BUILDING,DecreaseRecoveryTime,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
16,200302,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,DecreaseRecoveryCost,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
17,200401,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,DecreaseFactoryProductionTime,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
18,200501,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseProductionCorePowder,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
19,200501,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseProductionSurfaceCurrency,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
20,200502,Building,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_BUILDING,MaxAmountCorePowder,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
21,200502,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseMaxAmountCorePowder,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
22,200502,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseMaxAmountSurfaceCurrency,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
23,200503,Building,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_BUILDING,MaxProductionCorePowder,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
24,200601,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseProductionGoddesium,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
25,200601,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseProductionSurfaceCurrency,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
26,200602,Building,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_BUILDING,MaxAmountGoddesium,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
27,200602,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseMaxAmountGoddesium,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
28,200602,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseMaxAmountSurfaceCurrency,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
29,200603,Building,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_BUILDING,MaxProductionGoddesium,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
30,200701,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseProductionGeonic,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
31,200701,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseProductionSurfaceCurrency,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
32,200702,Building,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_BUILDING,MaxAmountGeonic,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
33,200702,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseMaxAmountGeonic,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
34,200702,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseProductionSurfaceCurrency,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
35,200703,Building,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_BUILDING,MaxProductionGeonic,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
36,200801,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseProductionNeoTitanium,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
37,200801,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseProductionSurfaceCurrency,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_PERCENT
38,200802,Building,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_BUILDING,MaxAmountNeoTitanium,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
39,200802,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseMaxAmountNeoTitanium,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
40,200802,Research,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_RESEARCH,IncreaseProductionSurfaceCurrency,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
41,200803,Building,Locale_Surface:SURFACE_CURRENT_SITUATION_DATA_TYPE_BUILDING,MaxProductionNeoTitanium,Locale_Surface:SURFACE_CURRENT_SITUATION_TOTAL_ITEM_INTEGER
