id,skill_group,skill_type,skill_damage,muzzle_effect,skill_effect,hit_effect,hit_count,hit_timing,target_position,cutscene_prefab
10101,101,LeftDestruction,0,fx_minigame_ce004_c830_muz,fx_minigame_ce004_c830_trail,fx_minigame_ce004_c830_hit,10,Front,None,0
10102,101,RightDestruction,0,fx_minigame_ce004_c830_muz,fx_minigame_ce004_c830_trail,fx_minigame_ce004_c830_hit,10,Front,None,0
10103,101,Core,0,fx_minigame_ce004_c830_muz,fx_minigame_ce004_c830_trail,fx_minigame_ce004_c830_hit,10,Front,None,0
10104,101,LeftCancelling,0,fx_minigame_ce004_c830_muz,fx_minigame_ce004_c830_trail,fx_minigame_ce004_c830_hit,10,Front,None,0
10105,101,RightCancelling,0,fx_minigame_ce004_c830_muz,fx_minigame_ce004_c830_trail,fx_minigame_ce004_c830_hit,10,Front,None,0
10106,101,Projectile,0,fx_minigame_ce004_c830_muz,fx_minigame_ce004_c830_trail,fx_minigame_ce004_c830_hit,7,Front,None,0
10107,101,BurstSkill,20000,fx_minigame_ce004_c830_burst_muz,fx_minigame_ce004_c830_burst_trail,fx_minigame_ce004_c830_burst_hit,17,Front,CorePosition,c830_00_cut_scene
10201,102,LeftDestruction,0,fx_minigame_ce004_c831_muz,fx_minigame_ce004_c831_trail,fx_minigame_ce004_c831_hit,10,Front,None,0
10202,102,RightDestruction,0,fx_minigame_ce004_c831_muz,fx_minigame_ce004_c831_trail,fx_minigame_ce004_c831_hit,10,Front,None,0
10203,102,Core,0,fx_minigame_ce004_c831_muz,fx_minigame_ce004_c831_trail,fx_minigame_ce004_c831_hit,10,Front,None,0
10204,102,LeftCancelling,0,fx_minigame_ce004_c831_muz,fx_minigame_ce004_c831_trail,fx_minigame_ce004_c831_hit,10,Front,None,0
10205,102,RightCancelling,0,fx_minigame_ce004_c831_muz,fx_minigame_ce004_c831_trail,fx_minigame_ce004_c831_hit,10,Front,None,0
10206,102,Projectile,0,fx_minigame_ce004_c831_muz,fx_minigame_ce004_c831_trail,fx_minigame_ce004_c831_hit,7,Front,None,0
10207,102,BurstSkill,20000,fx_minigame_ce004_c831_muz,fx_minigame_ce004_c831_burst,0,1,Front,CorePosition,c831_00_cut_scene
10301,103,LeftDestruction,0,fx_minigame_ce004_c832_muz,fx_minigame_ce004_c832_trail,fx_minigame_ce004_c832_hit,3,Front,None,0
10302,103,RightDestruction,0,fx_minigame_ce004_c832_muz,fx_minigame_ce004_c832_trail,fx_minigame_ce004_c832_hit,3,Front,None,0
10303,103,Core,0,fx_minigame_ce004_c832_muz,fx_minigame_ce004_c832_trail,fx_minigame_ce004_c832_hit,3,Front,None,0
10304,103,LeftCancelling,0,fx_minigame_ce004_c832_muz,fx_minigame_ce004_c832_trail,fx_minigame_ce004_c832_hit,3,Front,None,0
10305,103,RightCancelling,0,fx_minigame_ce004_c832_muz,fx_minigame_ce004_c832_trail,fx_minigame_ce004_c832_hit,3,Front,None,0
10306,103,Projectile,0,fx_minigame_ce004_c832_muz,fx_minigame_ce004_c832_trail,fx_minigame_ce004_c832_hit,2,Front,None,0
10307,103,BurstSkill,60000,fx_minigame_ce004_c832_muz,fx_minigame_ce004_c832_burst,0,1,Front,CorePosition,c832_00_cut_scene
