id,wavenum,spottimecontrol,noinputcontrol,triggertype,triggertimevalue,triggerenumvalue,triggerenumvalueid,closetype,closetimevalue,closevalue,tutorialfunctiontype,charresourceid,title_textlocale,textlocale,textlocation,background,addonresource,markmonsterid,monstermarkresource,effectlist,skipbuttoncontrol,keyboardinputtrigger,nextid,unmaskkeylist/0/name,unmaskkeylist/0/value,unmaskkeylist_noinput/0/name,unmaskkeylist_noinput/0/value,unmaskkeylist_noinput/1/name,unmaskkeylist_noinput/1/value
1,6000001,False,True,Time,0,None,0,Time,150,None,None,,,,None,0,popup_tuto_dim,0,,,False,None,2,,,unmaskkeylist_noinput,field_tuto05_01,,
2,6000001,False,False,Time,0,None,0,Event,0,KillMonster,None,si_c013_00_s,Locale_Tutorial:tuto01_01_title,Locale_Tutorial:tuto01_01_description,Top,0,popup_tuto_drag_area,0,,,False,None,0,,,,,,
3,6000001,False,True,Event,30,MonsterSpawn,-1067916984,Time,150,None,None,,,,None,0,popup_tuto_dim,0,,,False,None,4,,,,,,
4,6000001,True,True,None,0,None,0,Time,150,None,None,si_c013_00_s,Locale_Tutorial:tuto01_04_title,Locale_Tutorial:tuto01_04_description,Top,1,,322005,SpotTutorialUnmask_Circle_02,,True,None,5,,,,,,
5,6000001,False,True,None,0,None,0,Event,120,AttackedPlayer,None,si_c013_00_s,Locale_Tutorial:tuto01_05_title,Locale_Tutorial:tuto01_05_description,Top,1,,322005,SpotTutorialUnmask_Circle_02,,False,None,6,,,,,,
6,6000001,False,True,None,0,None,0,Event,120,AttackedPlayer,None,si_c013_00_s,Locale_Tutorial:tuto01_02_title,Locale_Tutorial:tuto01_02_description,Top,1,,0,,,False,None,7,,,unmaskkeylist_noinput,tuto_attack_signal_01,,
7,6000001,False,False,None,0,None,0,Event,0,KillMonster,None,si_c013_00_s,Locale_Tutorial:tuto01_03_title,Locale_Tutorial:tuto01_03_description,Top,0,popup_tuto_drag_area,0,,,False,None,0,,,,,,
8,6000001,True,True,Event,10,OnReloadStart,0,Touch,0,None,None,si_c013_00_s,Locale_Tutorial:tuto03_01_title,Locale_Tutorial:tuto03_01_description,Top,1,,0,,,True,None,0,,,unmaskkeylist_noinput,tuto03_01,,
9,6000001,False,True,Event,10,TargetSpawn,-974957185,Event,0,TargetIncount,None,,,,None,0,popup_tuto_dim,0,,,False,None,10,,,,,,
10,6000001,True,True,None,0,None,0,Touch,0,None,None,si_c013_00_s,Locale_Tutorial:tuto04_01_title,Locale_Tutorial:tuto04_01_description,Bottom,1,,332001,SpotTutorialUnmask_Circle_02,,True,None,0,,,unmaskkeylist_noinput,tuto04_01_a,unmaskkeylist_noinput,tuto04_01_b
