id,skill_category,level,name_localkey,description_localkey,skill_icon,surfaceskill_function_1,surfaceskill_function_2,surfaceskill_function_3,surfaceskill_function_4,description_value_list/0/description_value,description_value_list/1/description_value,description_value_list/2/description_value,description_value_list/3/description_value,description_value_list/4/description_value,description_value_list/5/description_value
101010101,101,1,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101010101,0,0,0,5,,,,,
101010201,101,2,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101010201,0,0,0,10,,,,,
101010301,101,3,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101010301,0,0,0,15,,,,,
101010401,101,4,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101010401,0,0,0,20,,,,,
101010501,101,5,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101010501,0,0,0,25,,,,,
101010601,101,6,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101010601,0,0,0,30,,,,,
101010701,101,7,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101010701,0,0,0,35,,,,,
101010801,101,8,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101010801,0,0,0,40,,,,,
101010901,101,9,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101010901,0,0,0,45,,,,,
101011001,101,10,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101011001,0,0,0,50,,,,,
101011101,101,11,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101011101,0,0,0,55,,,,,
101011201,101,12,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101011201,0,0,0,60,,,,,
101011301,101,13,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101011301,0,0,0,65,,,,,
101011401,101,14,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101011401,0,0,0,70,,,,,
101011501,101,15,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101011501,0,0,0,75,,,,,
101011601,101,16,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101011601,0,0,0,80,,,,,
101011701,101,17,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101011701,0,0,0,85,,,,,
101011801,101,18,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101011801,0,0,0,90,,,,,
101011901,101,19,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101011901,0,0,0,95,,,,,
101012001,101,20,Locale_SurfaceSkill:101_skill_name,Locale_SurfaceSkill:10101_skill_desc,icn_skill_atkup_01,101012001,0,0,0,100,,,,,
