id,ranking_group_id,priority,resource_id,grant_type,grant_value_min,grant_value_max,reward_id,is_recording
101001,1,1,105,Rank,1,1,3610001,True
101002,1,2,105,Rank,2,2,3610002,True
101003,1,3,105,Rank,3,3,3610003,True
101004,1,4,105,Rank,4,4,3610004,True
101005,1,5,105,Rank,5,5,3610005,True
101006,1,6,105,Rank,6,10,3610006,True
101007,1,7,105,Rank,11,20,3610007,True
101008,1,8,105,Rank,21,35,3610008,True
101009,1,9,105,Rank,36,50,3610009,True
101010,1,10,105,Rank,51,70,3610010,True
101011,1,11,105,Rank,71,100,3610011,True
101012,1,12,105,Rank,101,200,3610012,True
102001,1,13,105,RankPercent,0,50,3610013,False
102002,1,14,105,RankPercent,50,70,3610014,False
102003,1,15,105,RankPercent,70,100,3610015,False
102004,1,16,104,RankPercent,100,200,3610016,False
102005,1,17,104,RankPercent,200,300,3610017,False
102006,1,18,104,RankPercent,300,500,3610018,False
102007,1,19,103,RankPercent,500,1000,3610019,False
102008,1,20,103,RankPercent,1000,1500,3610020,False
102009,1,21,103,RankPercent,1500,2000,3610021,False
102010,1,22,103,RankPercent,2000,3000,3610022,False
102011,1,23,102,RankPercent,3000,4000,3610023,False
102012,1,24,102,RankPercent,4000,5000,3610024,False
102013,1,25,102,RankPercent,5000,6000,3610025,False
102014,1,26,101,RankPercent,6000,8000,3610026,False
102015,1,27,101,RankPercent,8000,10000,3610027,False
109999,1,28,100,PlayCount,1,1,3610028,False
202001,2,1,105,Rank,1,1,3702001,True
202002,2,2,105,Rank,2,2,3702002,True
202003,2,3,105,Rank,3,3,3702003,True
202004,2,4,105,Rank,4,4,3702004,True
202005,2,5,105,Rank,5,5,3702005,True
202006,2,6,105,Rank,6,10,3702006,True
202007,2,7,105,Rank,11,20,3702007,True
202008,2,8,105,Rank,21,35,3702008,True
202009,2,9,105,Rank,36,50,3702009,True
202010,2,10,105,Rank,51,70,3702010,True
202011,2,11,105,Rank,71,100,3702011,True
202012,2,12,105,Rank,101,200,3702012,True
202013,2,13,105,RankPercent,0,50,3702013,False
202014,2,14,105,RankPercent,50,70,3702014,False
202015,2,15,105,RankPercent,70,100,3702015,False
202016,2,16,104,RankPercent,100,200,3702016,False
202017,2,17,104,RankPercent,200,300,3702017,False
202018,2,18,104,RankPercent,300,500,3702018,False
202019,2,19,103,RankPercent,500,1000,3702019,False
202020,2,20,103,RankPercent,1000,1500,3702020,False
202021,2,21,103,RankPercent,1500,2000,3702021,False
202022,2,22,103,RankPercent,2000,3000,3702022,False
202023,2,23,102,RankPercent,3000,4000,3702023,False
202024,2,24,102,RankPercent,4000,5000,3702024,False
202025,2,25,102,RankPercent,5000,6000,3702025,False
202026,2,26,101,RankPercent,6000,8000,3702026,False
202027,2,27,101,RankPercent,8000,10000,3702027,False
202028,2,28,100,PlayCount,1,1,3702028,False
203001,3,1,105,Rank,1,1,3703001,True
203002,3,2,105,Rank,2,2,3703002,True
203003,3,3,105,Rank,3,3,3703003,True
203004,3,4,105,Rank,4,4,3703004,True
203005,3,5,105,Rank,5,5,3703005,True
203006,3,6,105,Rank,6,10,3703006,True
203007,3,7,105,Rank,11,20,3703007,True
203008,3,8,105,Rank,21,35,3703008,True
203009,3,9,105,Rank,36,50,3703009,True
203010,3,10,105,Rank,51,70,3703010,True
203011,3,11,105,Rank,71,100,3703011,True
203012,3,12,105,Rank,101,200,3703012,True
203013,3,13,105,RankPercent,0,50,3703013,False
203014,3,14,105,RankPercent,50,70,3703014,False
203015,3,15,105,RankPercent,70,100,3703015,False
203016,3,16,104,RankPercent,100,200,3703016,False
203017,3,17,104,RankPercent,200,300,3703017,False
203018,3,18,104,RankPercent,300,500,3703018,False
203019,3,19,103,RankPercent,500,1000,3703019,False
203020,3,20,103,RankPercent,1000,1500,3703020,False
203021,3,21,103,RankPercent,1500,2000,3703021,False
203022,3,22,103,RankPercent,2000,3000,3703022,False
203023,3,23,102,RankPercent,3000,4000,3703023,False
203024,3,24,102,RankPercent,4000,5000,3703024,False
203025,3,25,102,RankPercent,5000,6000,3703025,False
203026,3,26,101,RankPercent,6000,8000,3703026,False
203027,3,27,101,RankPercent,8000,10000,3703027,False
203028,3,28,100,PlayCount,1,1,3703028,False
204001,4,1,105,Rank,1,1,3704001,True
204002,4,2,105,Rank,2,2,3704002,True
204003,4,3,105,Rank,3,3,3704003,True
204004,4,4,105,Rank,4,4,3704004,True
204005,4,5,105,Rank,5,5,3704005,True
204006,4,6,105,Rank,6,10,3704006,True
204007,4,7,105,Rank,11,20,3704007,True
204008,4,8,105,Rank,21,35,3704008,True
204009,4,9,105,Rank,36,50,3704009,True
204010,4,10,105,Rank,51,70,3704010,True
204011,4,11,105,Rank,71,100,3704011,True
204012,4,12,105,Rank,101,200,3704012,True
204013,4,13,105,RankPercent,0,50,3704013,False
204014,4,14,105,RankPercent,50,70,3704014,False
204015,4,15,105,RankPercent,70,100,3704015,False
204016,4,16,104,RankPercent,100,200,3704016,False
204017,4,17,104,RankPercent,200,300,3704017,False
204018,4,18,104,RankPercent,300,500,3704018,False
204019,4,19,103,RankPercent,500,1000,3704019,False
204020,4,20,103,RankPercent,1000,1500,3704020,False
204021,4,21,103,RankPercent,1500,2000,3704021,False
204022,4,22,103,RankPercent,2000,3000,3704022,False
204023,4,23,102,RankPercent,3000,4000,3704023,False
204024,4,24,102,RankPercent,4000,5000,3704024,False
204025,4,25,102,RankPercent,5000,6000,3704025,False
204026,4,26,101,RankPercent,6000,8000,3704026,False
204027,4,27,101,RankPercent,8000,10000,3704027,False
204028,4,28,100,PlayCount,1,1,3704028,False
205001,5,1,105,Rank,1,1,3705001,True
205002,5,2,105,Rank,2,2,3705002,True
205003,5,3,105,Rank,3,3,3705003,True
205004,5,4,105,Rank,4,4,3705004,True
205005,5,5,105,Rank,5,5,3705005,True
205006,5,6,105,Rank,6,10,3705006,True
205007,5,7,105,Rank,11,20,3705007,True
205008,5,8,105,Rank,21,35,3705008,True
205009,5,9,105,Rank,36,50,3705009,True
205010,5,10,105,Rank,51,70,3705010,True
205011,5,11,105,Rank,71,100,3705011,True
205012,5,12,105,Rank,101,200,3705012,True
205013,5,13,105,RankPercent,0,50,3705013,False
205014,5,14,105,RankPercent,50,70,3705014,False
205015,5,15,105,RankPercent,70,100,3705015,False
205016,5,16,104,RankPercent,100,200,3705016,False
205017,5,17,104,RankPercent,200,300,3705017,False
205018,5,18,104,RankPercent,300,500,3705018,False
205019,5,19,103,RankPercent,500,1000,3705019,False
205020,5,20,103,RankPercent,1000,1500,3705020,False
205021,5,21,103,RankPercent,1500,2000,3705021,False
205022,5,22,103,RankPercent,2000,3000,3705022,False
205023,5,23,102,RankPercent,3000,4000,3705023,False
205024,5,24,102,RankPercent,4000,5000,3705024,False
205025,5,25,102,RankPercent,5000,6000,3705025,False
205026,5,26,101,RankPercent,6000,8000,3705026,False
205027,5,27,101,RankPercent,8000,10000,3705027,False
205028,5,28,100,PlayCount,1,1,3705028,False
206001,6,1,105,Rank,1,1,3706001,True
206002,6,2,105,Rank,2,2,3706002,True
206003,6,3,105,Rank,3,3,3706003,True
206004,6,4,105,Rank,4,4,3706004,True
206005,6,5,105,Rank,5,5,3706005,True
206006,6,6,105,Rank,6,10,3706006,True
206007,6,7,105,Rank,11,20,3706007,True
206008,6,8,105,Rank,21,35,3706008,True
206009,6,9,105,Rank,36,50,3706009,True
206010,6,10,105,Rank,51,70,3706010,True
206011,6,11,105,Rank,71,100,3706011,True
206012,6,12,105,Rank,101,200,3706012,True
206013,6,13,105,RankPercent,0,50,3706013,False
206014,6,14,105,RankPercent,50,70,3706014,False
206015,6,15,105,RankPercent,70,100,3706015,False
206016,6,16,104,RankPercent,100,200,3706016,False
206017,6,17,104,RankPercent,200,300,3706017,False
206018,6,18,104,RankPercent,300,500,3706018,False
