id,package_shop_id,stepup_group_id,banner_localkey,popup_name_localkey,popup_desc_localkey
10000,2023,2023,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_DESC
10001,2030,2030,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10002,2039,2039,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10003,2042,2042,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10004,2052,2052,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10005,2057,2057,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10006,2060,2060,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10007,2071,2071,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10008,2078,2078,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10009,2081,2081,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10010,2086,2086,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10011,2089,2089,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10012,2095,2095,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10013,2107,2107,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10014,2112,2112,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10015,2115,2115,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10016,2123,2123,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10017,2131,2131,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_03_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10018,2137,2137,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_03_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10019,2144,2144,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_03_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10020,2148,2148,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_03_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
10021,2153,2153,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_03_BANNER,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_POPUP_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_02_POPUP_DESC
