id,renew_group_id,renew_step,price_id,price_value
1001,1000,1,FreeCash,100
1002,1000,2,FreeCash,200
1003,1000,3,FreeCash,300
1004,1000,4,FreeCash,400
1005,1000,5,FreeCash,500
1006,1000,6,FreeCash,600
1007,1000,7,FreeCash,700
1008,1000,8,FreeCash,800
1009,1000,9,FreeCash,900
1010,1000,10,FreeCash,1000
1011,1000,11,FreeCash,1100
1012,1000,12,FreeCash,1200
1013,1000,13,FreeCash,1300
1014,1000,14,FreeCash,1400
1015,1000,15,FreeCash,1500
1016,1000,16,FreeCash,1600
1017,1000,17,FreeCash,1700
1018,1000,18,FreeCash,1800
1019,1000,19,FreeCash,1900
1020,1000,20,FreeCash,2000
2001,2000,1,FreeCash,1000
2002,2000,2,FreeCash,2000
2003,2000,3,FreeCash,3000
2004,2000,4,FreeCash,4000
2005,2000,5,FreeCash,5000
2006,2000,6,FreeCash,6000
2007,2000,7,FreeCash,7000
2008,2000,8,FreeCash,8000
2009,2000,9,FreeCash,9000
2010,2000,10,FreeCash,10000
