id,name_localkey,description_localkey,icon_resource_id,img_resource_id,prop_resource_id,order,favorite_rare,favorite_type,weapon_type,name_code,max_level,level_enhance_id,probability_group,collection_skill_group_data/0/collection_skill_id,collection_skill_group_data/1/collection_skill_id,favoriteitem_skill_group_data/0/favorite_skill_id,favoriteitem_skill_group_data/0/skill_table,favoriteitem_skill_group_data/0/skill_change_slot,favoriteitem_skill_group_data/1/favorite_skill_id,favoriteitem_skill_group_data/1/skill_table,favoriteitem_skill_group_data/1/skill_change_slot,favoriteitem_skill_group_data/2/favorite_skill_id,favoriteitem_skill_group_data/2/skill_table,favoriteitem_skill_group_data/2/skill_change_slot,albumcategory_id
100101,Locale_Item:favoriteitem_collection_ar_00,Locale_Item:favoriteitem_collection_ar_00_desc,si_favoriteitem_ar_00,favoriteitem_ar_00,favoriteitem_common_prop_00,1,R,Collection,AR,0,15,100101,100,711101,0,0,None,0,0,None,0,0,None,0,0
100102,Locale_Item:favoriteitem_collection_ar_01,Locale_Item:favoriteitem_collection_ar_01_desc,si_favoriteitem_ar_00,favoriteitem_ar_00,favoriteitem_common_prop_01,2,SR,Collection,AR,0,15,100102,200,712101,712002,0,None,0,0,None,0,0,None,0,0
100201,Locale_Item:favoriteitem_collection_mg_00,Locale_Item:favoriteitem_collection_mg_00_desc,si_favoriteitem_mg_00,favoriteitem_mg_00,favoriteitem_common_prop_00,3,R,Collection,MG,0,15,100201,100,711401,0,0,None,0,0,None,0,0,None,0,0
100202,Locale_Item:favoriteitem_collection_mg_01,Locale_Item:favoriteitem_collection_mg_01_desc,si_favoriteitem_mg_00,favoriteitem_mg_00,favoriteitem_common_prop_01,4,SR,Collection,MG,0,15,100202,200,712401,712002,0,None,0,0,None,0,0,None,0,0
100301,Locale_Item:favoriteitem_collection_rl_00,Locale_Item:favoriteitem_collection_rl_00_desc,si_favoriteitem_rl_00,favoriteitem_rl_00,favoriteitem_common_prop_00,5,R,Collection,RL,0,15,100301,100,711301,0,0,None,0,0,None,0,0,None,0,0
100302,Locale_Item:favoriteitem_collection_rl_01,Locale_Item:favoriteitem_collection_rl_01_desc,si_favoriteitem_rl_00,favoriteitem_rl_00,favoriteitem_common_prop_01,6,SR,Collection,RL,0,15,100302,200,712301,712002,0,None,0,0,None,0,0,None,0,0
100401,Locale_Item:favoriteitem_collection_sg_00,Locale_Item:favoriteitem_collection_sg_00_desc,si_favoriteitem_sg_00,favoriteitem_sg_00,favoriteitem_common_prop_00,7,R,Collection,SG,0,15,100401,100,711501,0,0,None,0,0,None,0,0,None,0,0
100402,Locale_Item:favoriteitem_collection_sg_01,Locale_Item:favoriteitem_collection_sg_01_desc,si_favoriteitem_sg_00,favoriteitem_sg_00,favoriteitem_common_prop_01,8,SR,Collection,SG,0,15,100402,200,712501,712002,0,None,0,0,None,0,0,None,0,0
100501,Locale_Item:favoriteitem_collection_smg_00,Locale_Item:favoriteitem_collection_smg_00_desc,si_favoriteitem_smg_00,favoriteitem_smg_00,favoriteitem_common_prop_00,9,R,Collection,SMG,0,15,100501,100,711901,0,0,None,0,0,None,0,0,None,0,0
100502,Locale_Item:favoriteitem_collection_smg_01,Locale_Item:favoriteitem_collection_smg_01_desc,si_favoriteitem_smg_00,favoriteitem_smg_00,favoriteitem_common_prop_01,10,SR,Collection,SMG,0,15,100502,200,712901,712002,0,None,0,0,None,0,0,None,0,0
100601,Locale_Item:favoriteitem_collection_sr_00,Locale_Item:favoriteitem_collection_sr_00_desc,si_favoriteitem_sr_00,favoriteitem_sr_00,favoriteitem_common_prop_00,11,R,Collection,SR,0,15,100601,100,711301,0,0,None,0,0,None,0,0,None,0,0
100602,Locale_Item:favoriteitem_collection_sr_01,Locale_Item:favoriteitem_collection_sr_01_desc,si_favoriteitem_sr_00,favoriteitem_sr_00,favoriteitem_common_prop_01,12,SR,Collection,SR,0,15,100602,200,712301,712002,0,None,0,0,None,0,0,None,0,0
200101,Locale_Item:favoriteitem_favorite_c072_00,Locale_Item:favoriteitem_favorite_c072_00_desc,si_favoriteitem_c072_00,favoriteitem_c072_00,favoriteitem_common_prop_02,101,SSR,Favorite,MG,5020,2,200101,5020,712401,712002,2072251,StateEffect,2,1072351,CharacterSkill,3,2072151,StateEffect,1,50001
200201,Locale_Item:favoriteitem_favorite_c210_00,Locale_Item:favoriteitem_favorite_c210_00_desc,si_favoriteitem_c210_00,favoriteitem_c210_00,favoriteitem_common_prop_02,102,SSR,Favorite,SR,5003,2,200201,5003,712301,712002,2210251,StateEffect,2,1210351,CharacterSkill,3,2210151,StateEffect,1,50002
200301,Locale_Item:favoriteitem_favorite_c142_00,Locale_Item:favoriteitem_favorite_c142_00_desc,si_favoriteitem_c142_00,favoriteitem_c142_00,favoriteitem_common_prop_02,103,SSR,Favorite,SR,5010,2,200301,5010,712301,712002,2142151,StateEffect,1,1142351,CharacterSkill,3,2142251,StateEffect,2,50003
200401,Locale_Item:favoriteitem_favorite_c100_00,Locale_Item:favoriteitem_favorite_c100_00_desc,si_favoriteitem_c100_00,favoriteitem_c100_00,favoriteitem_common_prop_02,104,SSR,Favorite,RL,1010,2,200401,1010,712301,712002,2100251,StateEffect,2,1100351,CharacterSkill,3,2100151,StateEffect,1,50004
200501,Locale_Item:favoriteitem_favorite_c112_00,Locale_Item:favoriteitem_favorite_c112_00_desc,si_favoriteitem_c112_00,favoriteitem_c112_00,favoriteitem_common_prop_02,105,SSR,Favorite,SG,1022,2,200501,1022,712501,712002,2112151,StateEffect,1,1112351,CharacterSkill,3,2112251,StateEffect,2,50005
200601,Locale_Item:favoriteitem_favorite_c032_00,Locale_Item:favoriteitem_favorite_c032_00_desc,si_favoriteitem_c032_00,favoriteitem_c032_00,favoriteitem_common_prop_02,106,SSR,Favorite,SMG,5017,2,200601,5017,712901,712002,1032351,CharacterSkill,3,2032251,StateEffect,2,2032151,StateEffect,1,50006
200701,Locale_Item:favoriteitem_favorite_c352_00,Locale_Item:favoriteitem_favorite_c352_00_desc,si_favoriteitem_c352_00,favoriteitem_c352_00,favoriteitem_common_prop_02,107,SSR,Favorite,SR,5066,2,200701,5066,712301,712002,2352151,StateEffect,1,2352251,StateEffect,2,1352351,CharacterSkill,3,50007
200801,Locale_Item:favoriteitem_favorite_c101_00,Locale_Item:favoriteitem_favorite_c101_00_desc,si_favoriteitem_c101_00,favoriteitem_c101_00,favoriteitem_common_prop_02,108,SSR,Favorite,SG,5024,2,200801,5024,712501,712002,2101151,StateEffect,1,2101251,StateEffect,2,1101351,CharacterSkill,3,50008
200901,Locale_Item:favoriteitem_favorite_c141_00,Locale_Item:favoriteitem_favorite_c141_00_desc,si_favoriteitem_c141_00,favoriteitem_c141_00,favoriteitem_common_prop_02,109,SSR,Favorite,SR,5028,2,200901,5028,712301,712002,2141151,StateEffect,1,2141251,StateEffect,2,1141351,CharacterSkill,3,50009
201001,Locale_Item:favoriteitem_favorite_c030_00,Locale_Item:favoriteitem_favorite_c030_00_desc,si_favoriteitem_c030_00,favoriteitem_c030_00,favoriteitem_common_prop_02,110,SSR,Favorite,SG,5016,2,201001,5016,712501,712002,2030151,StateEffect,1,1030351,CharacterSkill,3,2030251,StateEffect,2,50010
201101,Locale_Item:favoriteitem_favorite_c192_00,Locale_Item:favoriteitem_favorite_c192_00_desc,si_favoriteitem_c192_00,favoriteitem_c192_00,favoriteitem_common_prop_02,111,SSR,Favorite,AR,5081,2,201101,5081,712101,712002,2192151,StateEffect,1,1192351,CharacterSkill,3,2192251,StateEffect,2,50011
201201,Locale_Item:favoriteitem_favorite_c150_00,Locale_Item:favoriteitem_favorite_c150_00_desc,si_favoriteitem_c150_00,favoriteitem_c150_00,favoriteitem_common_prop_02,112,SSR,Favorite,AR,5014,2,201201,5014,712101,712002,2150251,StateEffect,2,1150151,CharacterSkill,1,1150351,CharacterSkill,3,50012
201301,Locale_Item:favoriteitem_favorite_c550_00,Locale_Item:favoriteitem_favorite_c550_00_desc,si_favoriteitem_c550_00,favoriteitem_c550_00,favoriteitem_common_prop_02,113,SSR,Favorite,RL,5111,2,201301,5111,712301,712002,2550151,StateEffect,1,2550251,StateEffect,2,1550351,CharacterSkill,3,50013
