id,item_rare,grade_core_id,level,exp
1,T3,3,0,540
2,T3,3,1,1200
3,T3,3,2,1800
4,T3,3,3,0
5,T4,4,0,1800
6,T4,4,1,4000
7,T4,4,2,6000
8,T4,4,3,0
9,T5,5,0,4500
10,T5,5,1,10000
11,T5,5,2,15000
12,T5,5,3,20000
13,T5,5,4,0
14,T6,6,0,9000
15,T6,6,1,20000
16,T6,6,2,30000
17,T6,6,3,50000
18,T6,6,4,0
19,T7,7,0,18000
20,T7,7,1,40000
21,T7,7,2,60000
22,T7,7,3,100000
23,T7,7,4,180000
24,T7,7,5,0
25,T8,8,0,36000
26,T8,8,1,80000
27,T8,8,2,120000
28,T8,8,3,200000
29,T8,8,4,360000
30,T8,8,5,0
31,T9,9,0,72000
32,T9,9,1,160000
33,T9,9,2,240000
34,T9,9,3,400000
35,T9,9,4,720000
36,T9,9,5,0
37,T10,10,0,108000
38,T10,10,1,240000
39,T10,10,2,360000
40,T10,10,3,600000
41,T10,10,4,1080000
42,T10,10,5,0
