id,skill_group,battle_radius,target,target_position,target_position_value_1,target_position_value_2,skill_type,skill_value,skill_hit_count,knock_back_damage,projectile_speed,projectile_parabola_height,remain_time,cool_time,animation_skill,animation_skill_speed,effect_muzzle,effect_projectile,effect_skill,effect_impact,effect_impact_scale,effect_hit,effect_hit_default,area_type,area_remain_time,area_action_time,area_skill_type,area_skill_value,effect_area,effect_area_scale
101,1,300000,EnemyAll,Single,0,0,Projectile,0,1,1000,400000,0,0,10000,0,10000,bm_fx_skill01_enemy_101_muz,bm_fx_skill01_enemy_101,0,bm_fx_skill01_enemy_101_hit,6000,0,bm_fx_hit_minion_101,None,0,0,None,0,0,0
11101,111,70000,EnemyAll,Single,0,0,Attack,0,1,2500,0,0,0,10000,skill01,10000,0,0,0,0,0,bm_fx_skill01_small_101,bm_fx_hit_minion_101,None,0,0,None,0,0,0
12101,121,250000,EnemyAll,Single,0,0,Projectile,0,6,1250,400000,0,0,10000,skill01,10000,bm_fx_skill01_small_102_muz,bm_fx_skill01_small_102,0,0,0,bm_fx_skill01_small_102_hit,bm_fx_hit_minion_101,None,0,0,None,0,0,0
13101,131,250000,EnemyAll,Single,0,0,Projectile,0,6,1250,400000,0,0,10000,skill01,10000,bm_fx_skill01_small_102_muz,bm_fx_skill01_small_102,0,0,0,bm_fx_skill01_small_102_hit,bm_fx_hit_minion_101,None,0,0,None,0,0,0
21101,211,70000,EnemyAll,Single,0,0,Attack,0,1,2500,0,0,0,10000,skill01,10000,0,0,0,0,0,bm_fx_skill01_midium_101,bm_fx_hit_minion_101,None,0,0,None,0,0,0
22101,221,250000,EnemyAll,Single,0,0,ProjectileParabola,0,2,1250,400000,100000,0,10000,skill01,10000,bm_fx_skill01_midium_102_muz,bm_fx_skill01_midium_102,0,0,0,bm_fx_skill01_midium_102_hit,bm_fx_hit_minion_101,None,0,0,None,0,0,0
23101,231,250000,EnemyAll,Single,0,0,ProjectileParabola,0,2,1250,400000,100000,0,10000,skill01,10000,bm_fx_skill01_midium_102_muz,bm_fx_skill01_midium_102,0,0,0,bm_fx_skill01_midium_102_hit,bm_fx_hit_minion_101,None,0,0,None,0,0,0
31101,311,70000,EnemyAll,Quadrilateral,7,11,Attack,0,1,2500,0,0,0,10000,skill01,10000,bm_fx_skill01_big_101,0,0,0,0,0,bm_fx_hit_minion_101,None,0,0,None,0,0,0
32101,321,250000,EnemyAll,Circle,10,0,ProjectileParabola,0,3,1250,400000,150000,0,10000,skill01,10000,bm_fx_skill01_big_102_muz,bm_fx_skill01_big_102,0,bm_fx_skill01_big_102_Hit,12000,0,bm_fx_hit_minion_101,None,0,0,None,0,0,0
32301,331,250000,EnemyAll,Circle,6,0,BeamShot,0,4,1250,400000,0,0,10000,skill01,10000,0,bm_fx_skill01_big_201,0,0,0,0,bm_fx_hit_minion_101,None,15000,5000,Attack,0,0,0
41101,411,570000,EnemyAll,Quadrilateral,11,16,Attack,0,1,5000,0,0,0,10000,skill01,10000,0,0,0,bm_fx_skill01_huge_101_hit,9000,0,bm_fx_hit_minion_101,None,0,0,None,0,0,0
42101,421,570000,EnemyAll,Quadrilateral,11,16,Projectile,0,8,5000,4000000,0,0,10000,skill01,10000,bm_fx_skill01_huge_102_muz,bm_fx_skill01_huge_102,0,bm_fx_skill01_huge_102_hit,8000,0,bm_fx_hit_minion_101,None,0,0,None,0,0,0
43101,431,570000,EnemyAll,Circle,15,0,BeamShot,0,4,5000,400000,0,0,10000,skill01,10000,0,bm_fx_skill01_huge_103,0,0,0,0,bm_fx_hit_minion_101,None,15000,5000,Attack,0,0,0
