id,conversation_id,room_id,speaker_type,member_id,message_type,jump_target,dialog_localkey,resource_id,reward_id,reward_expire_date,is_opener
1001001,1001000,test,They,rapi,Text,,Locale_Counseling:m_rapi_cm001_001,,0,-639844352,True
1001002,1001000,test,They,rapi,Text,,Locale_Counseling:m_rapi_cm001_002,,0,-639844352,False
1001003,1001000,test,Self,,Choice,1001005,Locale_Counseling:m_rapi_cm001_003,,0,-639844352,False
1001004,1001000,test,Self,,Choice,1001005,Locale_Counseling:m_rapi_cm001_004,,0,-639844352,False
1001005,1001000,test,They,rapi,Text,1001007,Locale_Counseling:m_rapi_cm001_005,,0,-639844352,False
1001006,1001000,test,They,rapi,Text,1001007,Locale_Counseling:m_rapi_cm001_006,,0,-639844352,False
1001007,1001000,test,Self,,Text,,Locale_Counseling:m_rapi_cm001_007,,0,-639844352,False
1002001,1002000,test,They,rapi,Text,,Locale_Counseling:m_rapi_cm002_001,,0,-639844352,False
1002002,1002000,test,They,rapi,Text,,Locale_Counseling:m_rapi_cm002_002,,0,-639844352,False
1002003,1002000,test,Self,,Text,,Locale_Counseling:m_rapi_cm002_003,,0,-639844352,False
1002004,1002000,test,They,rapi,Text,,Locale_Counseling:m_rapi_cm002_004,,0,-639844352,False
1002005,1002000,test,Self,,Choice,1002008,Locale_Counseling:m_rapi_cm002_005,,0,-639844352,False
1002006,1002000,test,Self,,Choice,1002009,Locale_Counseling:m_rapi_cm002_006,,0,-639844352,False
1002007,1002000,test,Self,,Choice,1002010,Locale_Counseling:m_rapi_cm002_007,,0,-639844352,False
1002008,1002000,test,They,rapi,Text,1002011,Locale_Counseling:m_rapi_cm002_008,,0,-639844352,False
1002009,1002000,test,They,rapi,Text,1002011,Locale_Counseling:m_rapi_cm002_009,,0,-639844352,False
1002010,1002000,test,They,rapi,Text,1002011,Locale_Counseling:m_rapi_cm002_010,,0,-639844352,False
1002011,1002000,test,They,rapi,Text,,Locale_Counseling:m_rapi_cm002_011,,0,-639844352,False
1002012,1002000,test,They,rapi,Text,,Locale_Counseling:m_rapi_cm002_012,,0,-639844352,False
test_01_1,test_01,test,They,rapi,Reward,,,,3000003,933052416,False
test_01_2,test_01,test,They,rapi,Text,,Locale_Counseling:test_01_2,,0,-639844352,False
test_01_3,test_01,test,They,rapi,Text,,Locale_Counseling:test_01_3,,0,-639844352,False
test_02_1,test_02,test_1,They,neon,Reward,,,,3000003,933052416,False
test_02_2,test_02,test_1,They,neon,Text,,Locale_Counseling:test_02_2,,0,-639844352,False
test_02_3,test_02,test_1,They,neon,Text,,Locale_Counseling:test_02_3,,0,-639844352,False
test_03_1,test_03,test_2,They,ingrid,Reward,,,,3000003,-640090112,False
test_03_2,test_03,test_2,They,ingrid,Text,,Locale_Counseling:test_03_2,,0,-639844352,False
test_03_3,test_03,test_2,They,ingrid,Text,,Locale_Counseling:test_03_3,,0,-639844352,False
m_main_02af_06_1,m_main_02af_06,andersen_s,They,andersen,Text,,Locale_MainScenario:m_main_02af_06_1,,0,-639844352,True
m_main_02af_06_2,m_main_02af_06,andersen_s,Self,,Text,m_main_02af_06_4,Locale_MainScenario:m_main_02af_06_2,,0,-639844352,False
m_main_02af_06_3,m_main_02af_06,andersen_s,Self,,Text,m_main_02af_06_4,Locale_MainScenario:m_main_02af_06_3,,0,-639844352,False
m_main_02af_06_4,m_main_02af_06,andersen_s,They,andersen,Text,,Locale_MainScenario:m_main_02af_06_4,,0,-639844352,False
m_main_02af_06_5,m_main_02af_06,andersen_s,They,andersen,Text,,Locale_MainScenario:m_main_02af_06_5,,0,-639844352,False
m_main_02af_06_6,m_main_02af_06,andersen_s,They,andersen,Text,,Locale_MainScenario:m_main_02af_06_6,,0,-639844352,False
m_main_02af_06_7,m_main_02af_06,andersen_s,They,andersen,Text,,Locale_MainScenario:m_main_02af_06_7,,0,-639844352,False
