id,group_id,order,helptip_title,helptip_image,helptip_description
101,1,1,Locale_Surface:SURFACE_OCCUPATION_BATTLE_HELPTIP_TITLE_101,,Locale_Surface:SURFACE_OCCUPATION_BATTLE_HELPTIP_DESC_101
102,1,2,Locale_Surface:SURFACE_OCCUPATION_BATTLE_HELPTIP_TITLE_102,,Locale_Surface:SURFACE_OCCUPATION_BATTLE_HELPTIP_DESC_102
103,1,3,Locale_Surface:SURFACE_OCCUPATION_BATTLE_HELPTIP_TITLE_103,,Locale_Surface:SURFACE_OCCUPATION_BATTLE_HELPTIP_DESC_103
201,2,1,Locale_Surface:SURFACE_OCCUPATION_DEFENSE_HELPTIP_TITLE_101,,Locale_Surface:SURFACE_OCCUPATION_DEFENSE_HELPTIP_DESC_101
202,2,2,Locale_Surface:SURFACE_OCCUPATION_DEFENSE_HELPTIP_TITLE_102,,Locale_Surface:SURFACE_OCCUPATION_DEFENSE_HELPTIP_DESC_102
203,2,3,Locale_Surface:SURFACE_OCCUPATION_DEFENSE_HELPTIP_TITLE_103,,Locale_Surface:SURFACE_OCCUPATION_DEFENSE_HELPTIP_DESC_103
301,3,1,Locale_Surface:SURFACE_GATEWAY_BATTLE_HELPTIP_TITLE_101,,Locale_Surface:SURFACE_GATEWAY_BATTLE_HELPTIP_DESC_101
302,3,2,Locale_Surface:SURFACE_GATEWAY_BATTLE_HELPTIP_TITLE_102,,Locale_Surface:SURFACE_GATEWAY_BATTLE_HELPTIP_DESC_102
303,3,3,Locale_Surface:SURFACE_GATEWAY_BATTLE_HELPTIP_TITLE_103,,Locale_Surface:SURFACE_GATEWAY_BATTLE_HELPTIP_DESC_103
401,4,1,Locale_Surface:SURFACE_BOSS_RAID_BATTLE_HELPTIP_TITLE_101,,Locale_Surface:SURFACE_BOSS_RAID_BATTLE_HELPTIP_DESC_101
402,4,2,Locale_Surface:SURFACE_BOSS_RAID_BATTLE_HELPTIP_TITLE_102,,Locale_Surface:SURFACE_BOSS_RAID_BATTLE_HELPTIP_DESC_102
403,4,3,Locale_Surface:SURFACE_BOSS_RAID_BATTLE_HELPTIP_TITLE_103,,Locale_Surface:SURFACE_BOSS_RAID_BATTLE_HELPTIP_DESC_103
501,5,1,Locale_Surface:SURFACE_LEGION_RAID_BATTLE_HELPTIP_TITLE_101,,Locale_Surface:SURFACE_LEGION_RAID_BATTLE__HELPTIP_DESC_101
502,5,2,Locale_Surface:SURFACE_LEGION_RAID_BATTLE_HELPTIP_TITLE_102,,Locale_Surface:SURFACE_LEGION_RAID_BATTLE__HELPTIP_DESC_102
503,5,3,Locale_Surface:SURFACE_LEGION_RAID_BATTLE_HELPTIP_TITLE_103,,Locale_Surface:SURFACE_LEGION_RAID_BATTLE__HELPTIP_DESC_103
601,6,1,Locale_Surface:SURFACE_BUFF_PARTS_HELPTIP_TITLE_101,,Locale_Surface:SURFACE_BUFF_PARTS_HELPTIP_DESC_101
602,6,2,Locale_Surface:SURFACE_BUFF_PARTS_HELPTIP_TITLE_102,,Locale_Surface:SURFACE_BUFF_PARTS_HELPTIP_DESC_102
603,6,3,Locale_Surface:SURFACE_BUFF_PARTS_HELPTIP_TITLE_103,,Locale_Surface:SURFACE_BUFF_PARTS_HELPTIP_DESC_103
604,6,4,Locale_Surface:SURFACE_BUFF_PARTS_HELPTIP_TITLE_104,,Locale_Surface:SURFACE_BUFF_PARTS_HELPTIP_DESC_104
701,7,1,Locale_Surface:SURFACE_QUEST_HELPTIP_TITLE_101,,Locale_Surface:SURFACE_QUEST_HELPTIP_DESC_101
702,7,2,Locale_Surface:SURFACE_QUEST_HELPTIP_TITLE_102,,Locale_Surface:SURFACE_QUEST_HELPTIP_DESC_102
703,7,3,Locale_Surface:SURFACE_QUEST_HELPTIP_TITLE_103,,Locale_Surface:SURFACE_QUEST_HELPTIP_DESC_103
704,7,4,Locale_Surface:SURFACE_QUEST_HELPTIP_TITLE_104,,Locale_Surface:SURFACE_QUEST_HELPTIP_DESC_104
801,8,1,Locale_Surface:SURFACE_WAVE_HELPTIP_TITLE_101,,Locale_Surface:SURFACE_WAVE_HELPTIP_DESC_101
802,8,2,Locale_Surface:SURFACE_WAVE_HELPTIP_TITLE_102,,Locale_Surface:SURFACE_WAVE_HELPTIP_DESC_102
803,8,3,Locale_Surface:SURFACE_WAVE_HELPTIP_TITLE_103,,Locale_Surface:SURFACE_WAVE_HELPTIP_DESC_103
100101,1001,1,Locale_Surface:SURFACE_RESEARCH_HELPTIP_TITLE_101,,Locale_Surface:SURFACE_RESEARCH_HELPTIP_DESC_101
100102,1001,2,Locale_Surface:SURFACE_RESEARCH_HELPTIP_TITLE_102,,Locale_Surface:SURFACE_RESEARCH_HELPTIP_DESC_102
100103,1001,3,Locale_Surface:SURFACE_RESEARCH_HELPTIP_TITLE_103,,Locale_Surface:SURFACE_RESEARCH_HELPTIP_DESC_103
100201,1002,1,Locale_Surface:SURFACE_TEAM_SET_HELPTIP_TITLE_101,,Locale_Surface:SURFACE_TEAM_SET_HELPTIP_DESC_101
100202,1002,2,Locale_Surface:SURFACE_TEAM_SET_HELPTIP_TITLE_102,,Locale_Surface:SURFACE_TEAM_SET_HELPTIP_DESC_102
100203,1002,3,Locale_Surface:SURFACE_TEAM_SET_HELPTIP_TITLE_103,,Locale_Surface:SURFACE_TEAM_SET_HELPTIP_DESC_103
100204,1002,4,Locale_Surface:SURFACE_TEAM_SET_HELPTIP_TITLE_104,,Locale_Surface:SURFACE_TEAM_SET_HELPTIP_DESC_104
100205,1002,5,Locale_Surface:SURFACE_TEAM_SET_HELPTIP_TITLE_106,,Locale_Surface:SURFACE_TEAM_SET_HELPTIP_DESC_106
