id,description_localkey,equipment_option_group_id,option_group_ratio,state_effect_group_id,state_effect_list/0/state_effect_id,state_effect_list/0/state_effect_level,state_effect_list/1/state_effect_id,state_effect_list/1/state_effect_level,state_effect_list/2/state_effect_id,state_effect_list/2/state_effect_level,state_effect_list/3/state_effect_id,state_effect_list/3/state_effect_level,state_effect_list/4/state_effect_id,state_effect_list/4/state_effect_level,option_ratio
10,Locale_Skill:10_equipment_option_description,100,2,1000,9310101,1,9310102,2,9310103,3,9310104,4,9310105,5,2000
11,Locale_Skill:11_equipment_option_description,100,1,2000,9310201,1,9310202,2,9310203,3,9310204,4,9310205,5,1000
20,Locale_Skill:20_equipment_option_description,200,1,3000,9310301,1,9310302,2,9310303,3,9310304,4,9310305,5,1000
1001001,Locale_Skill:incelementdmg_description,100000,10,100100,7000501,1,7000502,2,7000503,3,7000504,4,7000505,5,6000
1001002,Locale_Skill:incelementdmg_description,100000,10,100100,7000506,6,7000507,7,7000508,8,7000509,9,7000510,10,3500
1001003,Locale_Skill:incelementdmg_description,100000,10,100100,7000511,11,7000512,12,7000513,13,7000514,14,7000515,15,500
1002001,Locale_Skill:stataccuracycircle_description,100000,12,100200,7000601,1,7000602,2,7000603,3,7000604,4,7000605,5,6000
1002002,Locale_Skill:stataccuracycircle_description,100000,12,100200,7000606,6,7000607,7,7000608,8,7000609,9,7000610,10,3500
1002003,Locale_Skill:stataccuracycircle_description,100000,12,100200,7000611,11,7000612,12,7000613,13,7000614,14,7000615,15,500
1003001,Locale_Skill:statammo_description,100000,12,100300,7000701,1,7000702,2,7000703,3,7000704,4,7000705,5,6000
1003002,Locale_Skill:statammo_description,100000,12,100300,7000706,6,7000707,7,7000708,8,7000709,9,7000710,10,3500
1003003,Locale_Skill:statammo_description,100000,12,100300,7000711,11,7000712,12,7000713,13,7000714,14,7000715,15,500
1004001,Locale_Skill:statatk_description,100000,10,100400,7000801,1,7000802,2,7000803,3,7000804,4,7000805,5,6000
1004002,Locale_Skill:statatk_description,100000,10,100400,7000806,6,7000807,7,7000808,8,7000809,9,7000810,10,3500
1004003,Locale_Skill:statatk_description,100000,10,100400,7000811,11,7000812,12,7000813,13,7000814,14,7000815,15,500
1005001,Locale_Skill:statchargedamage_description,100000,12,100500,7000901,1,7000902,2,7000903,3,7000904,4,7000905,5,6000
1005002,Locale_Skill:statchargedamage_description,100000,12,100500,7000906,6,7000907,7,7000908,8,7000909,9,7000910,10,3500
1005003,Locale_Skill:statchargedamage_description,100000,12,100500,7000911,11,7000912,12,7000913,13,7000914,14,7000915,15,500
1006001,Locale_Skill:statchargetime_description,100000,12,100600,7001001,1,7001002,2,7001003,3,7001004,4,7001005,5,6000
1006002,Locale_Skill:statchargetime_description,100000,12,100600,7001006,6,7001007,7,7001008,8,7001009,9,7001010,10,3500
1006003,Locale_Skill:statchargetime_description,100000,12,100600,7001011,11,7001012,12,7001013,13,7001014,14,7001015,15,500
1007001,Locale_Skill:statcriticaldamage_description,100000,12,100700,7001101,1,7001102,2,7001103,3,7001104,4,7001105,5,6000
1007002,Locale_Skill:statcriticaldamage_description,100000,12,100700,7001106,6,7001107,7,7001108,8,7001109,9,7001110,10,3500
1007003,Locale_Skill:statcriticaldamage_description,100000,12,100700,7001111,11,7001112,12,7001113,13,7001114,14,7001115,15,500
1008001,Locale_Skill:statcritical_description,100000,10,100800,7001201,1,7001202,2,7001203,3,7001204,4,7001205,5,6000
1008002,Locale_Skill:statcritical_description,100000,10,100800,7001206,6,7001207,7,7001208,8,7001209,9,7001210,10,3500
1008003,Locale_Skill:statcritical_description,100000,10,100800,7001211,11,7001212,12,7001213,13,7001214,14,7001215,15,500
1009001,Locale_Skill:statdef_description,100000,10,100900,7001301,1,7001302,2,7001303,3,7001304,4,7001305,5,6000
1009002,Locale_Skill:statdef_description,100000,10,100900,7001306,6,7001307,7,7001308,8,7001309,9,7001310,10,3500
1009003,Locale_Skill:statdef_description,100000,10,100900,7001311,11,7001312,12,7001313,13,7001314,14,7001315,15,500
