id,group_id,order,nameplate_position,scenariodialog_groupid,resource_id,name_locale,text_locale,day_condition,play_condition,minigame_helptip_id,play_condition_value/0/name,play_condition_value/0/value
101,1,1,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_01,0,EnterMinigame,100301,,
102,1,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_02,0,None,0,,
103,1,3,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_03,0,None,0,,
104,2,1,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_04,0,EnterMinigame,100304,,
201,3,1,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_05,0,CompleteBuild,100307,play_condition_value,101.0
202,3,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_06,0,None,0,,
301,4,1,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_elevator_01,0,CompleteBuild,100305,play_condition_value,105.0
302,4,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_elevator_02,0,None,0,,
401,5,1,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_07,0,CompleteBuild,100315,play_condition_value,104.0
402,5,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_08,0,None,0,,
403,5,3,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_09,0,None,0,,
501,6,1,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_10,0,CompleteBuild,100316,play_condition_value,204.0
502,6,2,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_11,0,None,0,,
503,6,3,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_12,0,None,0,,
504,6,4,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_13,0,None,0,,
601,7,1,Left,,rebuildeden_icn_portrait_cecil,Locale_Event:rebe_Dialog_Name_01,Locale_Event:rebe_Dialog_14,0,ClearMainQuest,100308,play_condition_value,6.0
