id,name,player_count,character_select_time_limit,character_lv,stage_level,monster_stage_lv,dynamic_object_stage_lv,cover_stage_lv,monster_stage_lv_change_group,spot_id,monster_stage_lv_change_group_easy,spot_id_easy,condition_reward_group,reward_limit_count,rank_condition_reward_group
1,Locale_System:MULTIRAID_COOPERATION_NAME_01,5,60,40,40,44,44,40,301,6303001,0,0,200000,3,210000
2,Locale_System:MULTIRAID_COOPERATION_NAME_02,5,60,40,40,44,44,40,301,6303002,0,0,200000,3,210000
3,Locale_System:MULTIRAID_COOPERATION_NAME_03,5,60,40,40,44,44,40,301,6303003,0,0,200000,3,210000
4,Locale_System:MULTIRAID_COOPERATION_NAME_04,5,60,40,40,44,44,40,301,6303004,0,0,200000,3,210000
5,Locale_System:MULTIRAID_COOPERATION_NAME_05,5,60,40,40,44,44,40,301,6303006,0,0,200000,3,210000
6,Locale_System:MULTIRAID_COOPERATION_NAME_06,5,60,40,40,44,44,40,301,6303005,0,0,200000,3,210000
7,Locale_System:INTERCEPT_SPECIAL_4_SHORT_NAME,5,60,40,40,44,44,40,303,6303010,0,0,200000,3,210000
8,Locale_System:MULTIRAID_COOPERATION_NAME_02,5,60,40,40,44,44,40,305,6303002,0,0,200000,3,210000
9,Locale_System:MULTIRAID_COOPERATION_NAME_06,5,60,40,40,44,44,40,304,6303005,0,0,200000,3,210000
10,Locale_System:MULTIRAID_COOPERATION_NAME_04,5,60,40,40,44,44,40,306,6303004,0,0,200000,3,210000
11,Locale_System:MULTIRAID_COOPERATION_NAME_05,5,60,40,40,44,44,40,307,6303006,0,0,200000,3,210000
12,Locale_System:INTERCEPT_SPECIAL_1_SHORT_NAME,5,60,40,40,44,44,40,308,6303001,0,0,200000,3,210000
13,Locale_System:MULTIRAID_COOPERATION_NAME_03,5,60,40,40,44,44,40,309,6303003,0,0,200000,3,210000
14,Locale_System:INTERCEPT_SPECIAL_4_SHORT_NAME,5,60,40,40,44,44,40,303,6303010,0,0,200000,3,210000
15,Locale_System:MULTIRAID_COOPERATION_NAME_06,5,60,40,40,44,44,40,304,6303005,0,0,200000,3,210000
16,Locale_System:MULTIRAID_COOPERATION_NAME_16,5,60,40,40,44,44,40,302,6303011,0,0,200000,3,210000
17,Locale_System:MULTIRAID_COOPERATION_NAME_17,5,60,40,40,44,44,40,302,6303012,0,0,200000,3,210000
18,Locale_System:MULTIRAID_COOPERATION_NAME_18,5,60,40,40,44,44,40,302,6303013,0,0,200000,3,210000
19,Locale_System:MULTIRAID_COOPERATION_NAME_101,5,60,40,40,44,44,40,302,6303015,0,0,200000,3,210000
20,Locale_System:MULTIRAID_COOPERATION_NAME_102,5,60,40,40,44,44,40,302,6303008,0,0,200000,3,210000
21,Locale_System:MULTIRAID_COOPERATION_NAME_103,5,60,40,40,44,44,40,302,6303014,0,0,200000,3,210000
22,Locale_System:world_raid_name_test_1,5,60,40,40,44,44,40,310,6303016,0,0,200000,3,210000
23,Locale_System:INTERCEPT_SPECIAL_1_SHORT_NAME,5,60,40,40,44,44,40,308,6303017,0,0,200000,3,210000
24,Locale_System:MULTIRAID_COOPERATION_NAME_05,5,60,40,40,44,44,40,307,6303006,0,0,200000,3,210000
25,Locale_System:INTERCEPT_SPECIAL_4_SHORT_NAME,5,60,40,40,44,44,40,303,6303010,0,0,200000,3,210000
26,Locale_System:MULTIRAID_COOPERATION_NAME_06,5,60,40,40,44,44,40,304,6303005,0,0,200000,3,210000
27,Locale_System:MULTIRAID_COOPERATION_NAME_04,5,60,40,40,44,44,40,306,6303004,0,0,200000,3,210000
28,Locale_System:INTERCEPT_SPECIAL_1_SHORT_NAME,5,60,40,40,44,44,40,308,6303001,0,0,200000,3,210000
29,Locale_System:MULTIRAID_COOPERATION_NAME_05,5,60,40,40,44,44,40,307,6303006,0,0,200000,3,210000
30,Locale_System:INTERCEPT_SPECIAL_4_SHORT_NAME,5,60,40,40,44,44,40,303,6303010,0,0,200000,3,210000
31,Locale_System:MULTIRAID_COOPERATION_NAME_06,5,60,40,40,44,44,40,304,6303005,0,0,200000,3,210000
32,Locale_System:INTERCEPT_SPECIAL_1_SHORT_NAME,5,60,40,40,44,44,40,308,6303017,0,0,200000,3,210000
33,Locale_System:MULTIRAID_COOPERATION_NAME_101,5,60,40,40,44,44,40,302,6303007,0,0,200000,3,210000
34,Locale_System:MULTIRAID_COOPERATION_NAME_102,5,60,40,40,44,44,40,302,6303009,0,0,200000,3,210000
35,Locale_System:MULTIRAID_COOPERATION_NAME_103,5,60,40,40,44,44,40,302,6303014,0,0,200000,3,210000
36,Locale_System:MULTIRAID_COOPERATION_NAME_04,5,60,40,40,44,44,40,306,6303004,0,0,200000,3,210000
37,Locale_System:MULTIRAID_COOPERATION_NAME_06,5,60,40,40,44,44,40,304,6303005,0,0,200000,3,210000
38,Locale_System:INTERCEPT_SPECIAL_4_SHORT_NAME,5,60,40,40,44,44,40,303,6303010,0,0,200000,3,210000
39,Locale_System:world_raid_name_test_1,5,60,40,40,44,44,40,310,6303016,0,0,200000,3,210000
40,Locale_System:INTERCEPT_SPECIAL_1_SHORT_NAME,5,60,40,40,50,50,40,308,6303017,0,0,200000,3,210000
41,Locale_System:MULTIRAID_COOPERATION_NAME_16,5,60,40,40,44,44,40,302,6303011,0,0,200000,3,210000
42,Locale_System:MULTIRAID_COOPERATION_NAME_17,5,60,40,40,44,44,40,302,6303012,0,0,200000,3,210000
43,Locale_System:MULTIRAID_COOPERATION_NAME_18,5,60,40,40,44,44,40,302,6303013,0,0,200000,3,210000
44,Locale_System:MULTIRAID_COOPERATION_NAME_05,5,60,40,40,38,38,40,307,6303006,0,0,200000,3,210000
45,Locale_System:MULTIRAID_COOPERATION_NAME_07,5,60,40,40,42,42,40,311,6303018,0,0,200000,3,210000
46,Locale_System:MULTIRAID_COOPERATION_NAME_101,5,60,40,40,44,44,40,302,6303019,0,0,200000,3,210000
