id,resource,type,type_value,base_fall_speed
1,egg,CharacterHit,1,12000
2,mojocoin_bronze,AddPoint,450,12000
3,mojocoin_silver,AddPoint,900,12000
4,mojocoin_gold,AddPoint,2700,12000
11,egg,CharacterHit,1,12750
12,mojocoin_bronze,AddPoint,450,12750
13,mojocoin_silver,AddPoint,900,12750
14,mojocoin_gold,AddPoint,2700,12750
21,egg,CharacterHit,1,13500
22,mojocoin_bronze,AddPoint,450,13500
23,mojocoin_silver,AddPoint,900,13500
24,mojocoin_gold,AddPoint,2700,13500
31,egg,CharacterHit,1,14250
32,mojocoin_bronze,AddPoint,450,14250
33,mojocoin_silver,AddPoint,900,14250
34,mojocoin_gold,AddPoint,2700,14250
41,egg,CharacterHit,1,15000
42,mojocoin_bronze,AddPoint,450,15000
43,mojocoin_silver,AddPoint,900,15000
44,mojocoin_gold,AddPoint,2700,15000
51,egg,CharacterHit,1,15750
52,mojocoin_bronze,AddPoint,450,15750
53,mojocoin_silver,AddPoint,900,15750
54,mojocoin_gold,AddPoint,2700,15750
61,egg,CharacterHit,1,16500
62,mojocoin_bronze,AddPoint,450,16500
63,mojocoin_silver,AddPoint,900,16500
64,mojocoin_gold,AddPoint,2700,16500
71,egg,CharacterHit,1,17250
72,mojocoin_bronze,AddPoint,450,17250
73,mojocoin_silver,AddPoint,900,17250
74,mojocoin_gold,AddPoint,2700,17250
81,egg,CharacterHit,1,18000
82,mojocoin_bronze,AddPoint,450,18000
83,mojocoin_silver,AddPoint,900,18000
84,mojocoin_gold,AddPoint,2700,18000
