id,skill_group,skill_type,skill_damage,skill_effect,hit_effect,hint_effect,hint_position
10101,101,Core,0,0,0,board_target_core,CorePosition
10102,101,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
10201,102,Core,0,0,0,board_target_core,CorePosition
10202,102,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
10301,103,Core,0,0,0,board_target_core,CorePosition
10302,103,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
10401,104,Core,0,0,0,board_target_core,CorePosition
10402,104,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
10501,105,Core,0,0,0,board_target_core,CorePosition
10502,105,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
10601,106,Core,0,0,0,board_target_core,CorePosition
10602,106,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
10701,107,Core,0,0,0,board_target_core,CorePosition
10702,107,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
20101,201,Core,0,0,0,board_target_core,CorePosition
20102,201,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
20103,201,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
20104,201,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
20201,202,Core,0,0,0,board_target_core,CorePosition
20202,202,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
20203,202,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
20204,202,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
20301,203,Core,0,0,0,board_target_core,CorePosition
20302,203,Projectile,1000,fx_minigame_ce004_m_proj,fx_minigame_ce004_m_proj_hit,fx_minigame_ce004_m_proj_muz,ProjectilePosition
20303,203,LeftDestruction,0,0,0,board_target_left,LeftDestructionPosition
20304,203,RightDestruction,0,0,0,board_target_right,RightDestructionPosition
