id,group_id,support_character_id
1,1000,10820401
2,1000,23210401
3,1000,31910401
2000,2000,44700401
2001,2001,11920401
2002,2002,31940401
2003,2003,30620401
2004,2004,42250401
2005,2005,42600401
2006,2006,33820401
2007,2007,32810401
2008,2008,23130401
2009,2009,33100401
2010,2010,15000401
2011,2011,20430401
2012,2012,58210401
2013,2013,58200401
2014,2014,19010101
2015,2014,29070101
2016,2015,35500401
2017,2016,43300401
2018,2017,15010401
2019,2018,33140401
2020,2019,31950401
2021,2020,35510401
2022,2021,32840401
2023,2022,32830401
2024,2023,13910401
2025,2024,23900401
2026,2025,58300401
2027,2026,58310401
2028,2027,58320401
2029,2028,32720401
2030,2029,14030401
2031,2030,25800401
2032,2031,32400401
2033,2032,45110401
2034,2033,45140401
2035,2034,14110401
2036,2035,31940401
2037,2036,30620401
2038,2037,21830401
2039,2038,21820401
2040,2039,42250401
2041,2040,20160401
2042,2041,12900401
2043,2042,23540401
2044,2043,23550401
2045,2044,58350401
2046,2045,58340401
2047,2046,14120401
2048,2047,35200401
2049,2048,35210401
2050,2049,19010101
2051,2050,29070101
2052,2051,29930101
2053,2052,45130401
2054,2053,11620401
2055,2054,25810401
2056,2055,20410401
2057,2056,58500401
2058,2057,58510401
2059,2058,58100401
2060,2059,58110401
2061,2060,32840402
2062,2061,32830402
2063,2062,25320401
2064,2063,42340401
2065,2064,15020401
2066,2065,20930401
2067,2066,20950401
2068,2067,20940401
2069,2068,33150401
2070,2069,31430401
2071,2070,30150401
2072,2071,23530401
2073,2072,31320401
2074,2073,20140401
2075,2074,32030401
2076,2075,11210401
