skill_id,event_id,skill_group,cost_id,cost_num,lv,ui_name,ui_des,ui_icon,effect/0/name,effect/0/value,effect/1/name,effect/1/value,effect/2/name,effect/2/value,need_skill_array/0/need_skill_id,need_skill_array/1/need_skill_id
5001,81901,1,4002,0,1,YX002_TALENT_NAME_01,YX002_TALENT_DESC_01,MiniGameEVA/Talent/eva_talent_tree_icon_1.png,effect,101,effect,501.0,effect,601.0,0,0
5002,81901,1,4002,5,2,YX002_TALENT_NAME_01,YX002_TALENT_DESC_02,MiniGameEVA/Talent/eva_talent_tree_icon_1.png,effect,102,,,,,5001,0
5003,81901,1,4002,15,3,YX002_TALENT_NAME_01,YX002_TALENT_DESC_02,MiniGameEVA/Talent/eva_talent_tree_icon_1.png,effect,103,,,,,5002,0
5004,81901,1,4002,20,4,YX002_TALENT_NAME_01,YX002_TALENT_DESC_02,MiniGameEVA/Talent/eva_talent_tree_icon_1.png,effect,104,,,,,5003,0
5005,81901,1,4002,30,5,YX002_TALENT_NAME_01,YX002_TALENT_DESC_02,MiniGameEVA/Talent/eva_talent_tree_icon_1.png,effect,105,,,,,5004,0
5006,81901,1,4002,30,6,YX002_TALENT_NAME_01,YX002_TALENT_DESC_03,MiniGameEVA/Talent/eva_talent_tree_icon_1.png,effect,502,effect,602.0,,,5005,5012
5007,81901,1,4002,30,7,YX002_TALENT_NAME_01,YX002_TALENT_DESC_02,MiniGameEVA/Talent/eva_talent_tree_icon_1.png,effect,106,,,,,5006,0
5008,81901,1,4002,40,8,YX002_TALENT_NAME_01,YX002_TALENT_DESC_03,MiniGameEVA/Talent/eva_talent_tree_icon_1.png,effect,503,effect,603.0,,,5007,5013
5009,81901,1,4002,40,9,YX002_TALENT_NAME_01,YX002_TALENT_DESC_02,MiniGameEVA/Talent/eva_talent_tree_icon_1.png,effect,107,,,,,5008,0
5010,81901,2,4001,0,1,YX002_TALENT_NAME_02,YX002_TALENT_DESC_04,MiniGameEVA/Talent/eva_talent_tree_icon_2.png,effect,201,,,,,0,0
5011,81901,2,4001,3,2,YX002_TALENT_NAME_02,YX002_TALENT_DESC_05,MiniGameEVA/Talent/eva_talent_tree_icon_2.png,effect,202,,,,,5010,0
5012,81901,2,4001,3,3,YX002_TALENT_NAME_02,YX002_TALENT_DESC_05,MiniGameEVA/Talent/eva_talent_tree_icon_2.png,effect,203,,,,,5011,5016
5013,81901,2,4001,4,4,YX002_TALENT_NAME_02,YX002_TALENT_DESC_05,MiniGameEVA/Talent/eva_talent_tree_icon_2.png,effect,204,,,,,5012,5021
5014,81901,3,4001,0,1,YX002_TALENT_NAME_03,YX002_TALENT_DESC_06,MiniGameEVA/Talent/eva_talent_tree_icon_3.png,effect,301,,,,,0,0
5015,81901,3,4001,2,2,YX002_TALENT_NAME_03,YX002_TALENT_DESC_07,MiniGameEVA/Talent/eva_talent_tree_icon_3.png,effect,302,,,,,5014,0
5016,81901,3,4001,3,3,YX002_TALENT_NAME_03,YX002_TALENT_DESC_07,MiniGameEVA/Talent/eva_talent_tree_icon_3.png,effect,303,,,,,5015,5011
5017,81901,3,4001,3,4,YX002_TALENT_NAME_03,YX002_TALENT_DESC_07,MiniGameEVA/Talent/eva_talent_tree_icon_3.png,effect,304,,,,,5016,0
5019,81901,4,4001,0,1,YX002_TALENT_NAME_04,YX002_TALENT_DESC_08,MiniGameEVA/Talent/eva_talent_tree_icon_4.png,effect,401,,,,,0,0
5020,81901,4,4001,2,2,YX002_TALENT_NAME_04,YX002_TALENT_DESC_09,MiniGameEVA/Talent/eva_talent_tree_icon_4.png,effect,402,,,,,5019,0
5021,81901,4,4001,4,3,YX002_TALENT_NAME_04,YX002_TALENT_DESC_09,MiniGameEVA/Talent/eva_talent_tree_icon_4.png,effect,403,,,,,5020,5011
5023,81901,5,4002,0,1,YX002_TALENT_NAME_05,YX002_TALENT_DESC_10,MiniGameEVA/Talent/eva_talent_tree_icon_5.png,effect,701,,,,,0,0
5024,81901,5,4002,15,2,YX002_TALENT_NAME_05,YX002_TALENT_DESC_11,MiniGameEVA/Talent/eva_talent_tree_icon_5.png,effect,702,,,,,5023,0
5025,81901,5,4002,20,3,YX002_TALENT_NAME_05,YX002_TALENT_DESC_11,MiniGameEVA/Talent/eva_talent_tree_icon_5.png,effect,703,,,,,5024,0
5026,81901,5,4002,30,4,YX002_TALENT_NAME_05,YX002_TALENT_DESC_11,MiniGameEVA/Talent/eva_talent_tree_icon_5.png,effect,704,,,,,5025,0
5027,81901,5,4002,40,5,YX002_TALENT_NAME_05,YX002_TALENT_DESC_11,MiniGameEVA/Talent/eva_talent_tree_icon_5.png,effect,705,,,,,5026,0
5028,81901,5,4002,40,6,YX002_TALENT_NAME_05,YX002_TALENT_DESC_11,MiniGameEVA/Talent/eva_talent_tree_icon_5.png,effect,706,,,,,5027,5012
