id,group_id,mission_localkey,mission_category,mission_type,mission_target_id,mission_count,reward_type,reward_value,reward_amount
101,1,Locale_Event:ce006_mission_daily_01,DailyPoint,DailyPointReward,0,20,RewardId,8155060,1
102,1,Locale_Event:ce006_mission_daily_02,DailyPoint,DailyPointReward,0,40,RewardId,8155061,1
103,1,Locale_Event:ce006_mission_daily_03,DailyPoint,DailyPointReward,0,60,RewardId,8155062,1
104,1,Locale_Event:ce006_mission_daily_04,DailyPoint,DailyPointReward,0,80,RewardId,8155063,1
105,1,Locale_Event:ce006_mission_daily_05,DailyPoint,DailyPointReward,0,100,RewardId,8155064,1
201,1,Locale_Event:ce006_mission_daily_06,DailyMission,Damage,0,2000,DailyPoint,25,1
202,1,Locale_Event:ce006_mission_daily_07,DailyMission,PerfectGuard,0,1,DailyPoint,25,1
203,1,Locale_Event:ce006_mission_daily_08,DailyMission,PerfectDodge,0,1,DailyPoint,25,1
204,1,Locale_Event:ce006_mission_daily_09,DailyMission,UsePotion,0,1,DailyPoint,25,1
205,1,Locale_Event:ce006_mission_daily_10,DailyMission,PlayTime,0,20,DailyPoint,25,1
206,1,Locale_Event:ce006_mission_daily_11,DailyMission,StageClear,0,1,DailyPoint,25,1
301,1,Locale_Event:ce006_mission_achievement_01,Achievement,StageClear,0,5,RewardId,8155065,1
302,1,Locale_Event:ce006_mission_achievement_02,Achievement,StageClear,0,10,RewardId,8155066,1
303,1,Locale_Event:ce006_mission_achievement_03,Achievement,StageClear,0,15,RewardId,8155067,1
304,1,Locale_Event:ce006_mission_achievement_04,Achievement,Damage,0,100000,RewardId,8155068,1
305,1,Locale_Event:ce006_mission_achievement_05,Achievement,Damage,0,200000,RewardId,8155069,1
306,1,Locale_Event:ce006_mission_achievement_06,Achievement,Damage,0,300000,RewardId,8155070,1
307,1,Locale_Event:ce006_mission_achievement_07,Achievement,PerfectGuard,0,10,RewardId,8155071,1
308,1,Locale_Event:ce006_mission_achievement_08,Achievement,PerfectGuard,0,20,RewardId,8155072,1
309,1,Locale_Event:ce006_mission_achievement_09,Achievement,PerfectGuard,0,30,RewardId,8155073,1
310,1,Locale_Event:ce006_mission_achievement_10,Achievement,PerfectDodge,0,10,RewardId,8155074,1
311,1,Locale_Event:ce006_mission_achievement_11,Achievement,PerfectDodge,0,20,RewardId,8155075,1
312,1,Locale_Event:ce006_mission_achievement_12,Achievement,PerfectDodge,0,30,RewardId,8155076,1
313,1,Locale_Event:ce006_mission_achievement_13,Achievement,UsePotion,0,5,RewardId,8155077,1
314,1,Locale_Event:ce006_mission_achievement_14,Achievement,UsePotion,0,10,RewardId,8155078,1
315,1,Locale_Event:ce006_mission_achievement_15,Achievement,UsePotion,0,15,RewardId,8155079,1
316,1,Locale_Event:ce006_mission_achievement_16,Achievement,BuyItem,0,5,RewardId,8155080,1
317,1,Locale_Event:ce006_mission_achievement_17,Achievement,BuyItem,0,10,RewardId,8155081,1
318,1,Locale_Event:ce006_mission_achievement_18,Achievement,BuyItem,0,15,RewardId,8155082,1
322,1,Locale_Event:ce006_mission_achievement_22,Achievement,StageClear,2,1,RewardId,8155083,1
323,1,Locale_Event:ce006_mission_achievement_23,Achievement,StageClear,5,1,RewardId,8155084,1
324,1,Locale_Event:ce006_mission_achievement_25,Achievement,StageClear,8,1,RewardId,8155085,1
325,1,Locale_Event:ce006_mission_achievement_24,Achievement,StageClear,11,1,RewardId,8155086,1
326,1,Locale_Event:ce006_mission_achievement_26,Achievement,StageClear,14,1,RewardId,8155087,1
