id,type,floor,monster_stage_lv,dynamic_object_stage_lv,standard_battle_power,stage_stat_increase_group_id,is_use_quick_battle,spot_autocontrol,field_monster_id,bg,spot_id,reward_id
10001,ALL,1,5,3,1260,40000,False,True,131002,sbg_tower_001_day,6210001,1210001
10002,ALL,2,5,3,1320,40000,False,True,332007,sbg_tower_001_day,6210002,1210002
10003,ALL,3,5,3,1560,40000,False,True,132001,sbg_tower_001_day,6210003,1210003
10004,ALL,4,6,4,1800,40000,False,True,132004,sbg_tower_001_day,6210004,1210004
10005,ALL,5,6,4,1920,40000,False,True,332002,sbg_tower_001_day,6210005,1210005
10006,ALL,6,7,5,1980,40000,False,True,331001,sbg_tower_001_day,6210006,1210006
10007,ALL,7,8,6,2100,40000,False,True,332001,sbg_tower_001_day,6210007,1210007
10008,ALL,8,9,7,2280,40000,False,True,331001,sbg_tower_001_day,6210008,1210008
10009,ALL,9,10,8,2340,40000,False,True,332005,sbg_tower_001_day,6210009,1210009
10010,ALL,10,11,9,2760,40000,False,True,132006,sbg_tower_001_day,6210010,1210010
10011,ALL,11,15,12,3290,40000,False,True,131001,sbg_tower_001_day,6210011,1210011
10012,ALL,12,15,12,3360,40000,False,True,231002,sbg_tower_001_day,6210012,1210012
10013,ALL,13,16,13,3500,40000,False,True,332007,sbg_tower_001_day,6210013,1210013
10014,ALL,14,16,13,3640,40000,False,True,232003,sbg_tower_001_day,6210014,1210014
10015,ALL,15,17,14,3650,40000,False,True,232005,sbg_tower_001_day,6210015,1210015
10016,ALL,16,17,14,3710,40000,False,True,131001,sbg_tower_001_day,6210016,1210016
10017,ALL,17,18,15,3780,40000,False,True,331002,sbg_tower_001_day,6210017,1210017
10018,ALL,18,18,15,3850,40000,False,True,131002,sbg_tower_001_day,6210018,1210018
10019,ALL,19,19,16,3920,40000,False,True,131001,sbg_tower_001_day,6210019,1210019
10020,ALL,20,20,17,3990,40000,False,True,342001,sbg_tower_001_day,6210020,1210020
10021,ALL,21,23,19,4570,40000,False,True,332006,sbg_tower_001_day,6210021,1210021
10022,ALL,22,24,20,4640,40000,False,True,132003,sbg_tower_001_day,6210022,1210022
10023,ALL,23,25,21,4720,40000,False,True,131001,sbg_tower_001_day,6210023,1210023
10024,ALL,24,25,21,4800,40000,False,True,332006,sbg_tower_001_day,6210024,1210024
10025,ALL,25,26,22,4880,40000,False,True,132003,sbg_tower_001_day,6210025,1210025
10026,ALL,26,27,23,5040,40000,False,True,332007,sbg_tower_001_day,6210026,1210026
10027,ALL,27,28,24,6480,40000,False,True,132004,sbg_tower_001_day,6210027,1210027
10028,ALL,28,29,25,6640,40000,False,True,131002,sbg_tower_001_day,6210028,1210028
10029,ALL,29,29,25,6720,40000,False,True,232005,sbg_tower_001_day,6210029,1210029
10030,ALL,30,30,26,7040,40000,False,True,152003,sbg_tower_001_day,6210030,1210030
10031,ALL,31,42,37,8010,40000,False,True,332006,sbg_tower_001_day,6210031,1210031
10032,ALL,32,43,38,8190,40000,False,True,232003,sbg_tower_001_day,6210032,1210032
10033,ALL,33,44,39,8370,40000,False,True,132001,sbg_tower_001_day,6210033,1210033
10034,ALL,34,45,40,8550,40000,False,True,132004,sbg_tower_001_day,6210034,1210034
10035,ALL,35,46,41,8730,40000,False,True,232007,sbg_tower_001_day,6210035,1210035
10036,ALL,36,47,42,8910,40000,False,True,332004,sbg_tower_001_day,6210036,1210036
10037,ALL,37,48,43,9450,40000,False,True,232006,sbg_tower_001_day,6210037,1210037
10038,ALL,38,49,44,9630,40000,False,True,131001,sbg_tower_001_day,6210038,1210038
10039,ALL,39,50,45,9900,40000,False,True,132003,sbg_tower_001_day,6210039,1210039
10040,ALL,40,50,45,10080,40000,False,True,142004,sbg_tower_001_day,6210040,1210040
10041,ALL,41,54,48,11020,40000,False,True,332006,sbg_tower_001_day,6210041,1210041
10042,ALL,42,55,49,11210,40000,False,True,231001,sbg_tower_001_day,6210042,1210042
10043,ALL,43,56,50,11490,40000,False,True,332004,sbg_tower_001_day,6210043,1210043
10044,ALL,44,57,51,11680,40000,False,True,131001,sbg_tower_001_day,6210044,1210044
10045,ALL,45,58,52,11970,40000,False,True,332003,sbg_tower_001_day,6210045,1210045
10046,ALL,46,59,53,12250,40000,False,True,332007,sbg_tower_001_day,6210046,1210046
10047,ALL,47,60,54,12820,40000,False,True,331001,sbg_tower_001_day,6210047,1210047
10048,ALL,48,61,55,13010,40000,False,True,232006,sbg_tower_001_day,6210048,1210048
10049,ALL,49,62,56,13200,40000,False,True,232005,sbg_tower_001_day,6210049,1210049
10050,ALL,50,63,57,13490,40000,False,True,352001,sbg_tower_001_day,6210050,1210050
10051,ALL,51,67,57,14600,40000,False,True,132006,sbg_tower_001_day,6210051,1210051
10052,ALL,52,68,58,14800,40000,False,True,332006,sbg_tower_001_day,6210052,1210052
10053,ALL,53,69,59,15000,40000,False,True,332003,sbg_tower_001_day,6210053,1210053
10054,ALL,54,70,60,15200,40000,False,True,132003,sbg_tower_001_day,6210054,1210054
10055,ALL,55,72,62,15800,40000,False,True,232006,sbg_tower_001_day,6210055,1210055
10056,ALL,56,74,64,16300,40000,False,True,131003,sbg_tower_001_day,6210056,1210056
10057,ALL,57,76,66,16700,40000,False,True,132006,sbg_tower_001_day,6210057,1210057
10058,ALL,58,78,68,17200,40000,False,True,131003,sbg_tower_001_day,6210058,1210058
10059,ALL,59,80,70,17600,40000,False,True,332004,sbg_tower_001_day,6210059,1210059
10060,ALL,60,82,72,18300,40000,False,True,342002,sbg_tower_001_day,6210060,1210060
10061,ALL,61,84,74,20200,40000,False,True,132006,sbg_tower_001_day,6210061,1210061
10062,ALL,62,86,76,20800,40000,False,True,132003,sbg_tower_001_day,6210062,1210062
10063,ALL,63,88,78,21500,40000,False,True,132006,sbg_tower_001_day,6210063,1210063
10064,ALL,64,90,80,22300,40000,False,True,332006,sbg_tower_001_day,6210064,1210064
10065,ALL,65,92,82,23400,40000,False,True,332002,sbg_tower_001_day,6210065,1210065
10066,ALL,66,94,84,24100,40000,False,True,132003,sbg_tower_001_day,6210066,1210066
10067,ALL,67,96,86,25400,40000,False,True,332004,sbg_tower_001_day,6210067,1210067
10068,ALL,68,98,88,26200,40000,False,True,131003,sbg_tower_001_day,6210068,1210068
10069,ALL,69,100,90,26900,40000,False,True,132003,sbg_tower_001_day,6210069,1210069
10070,ALL,70,102,92,27900,40000,False,True,352002,sbg_tower_001_day,6210070,1210070
10071,ALL,71,104,92,30700,40000,False,True,131003,sbg_tower_001_day,6210071,1210071
10072,ALL,72,106,94,31800,40000,False,True,132003,sbg_tower_001_day,6210072,1210072
10073,ALL,73,108,96,32900,40000,False,True,331002,sbg_tower_001_day,6210073,1210073
10074,ALL,74,110,98,33700,40000,False,True,131002,sbg_tower_001_day,6210074,1210074
10075,ALL,75,112,100,35200,40000,False,True,232006,sbg_tower_001_day,6210075,1210075
10076,ALL,76,114,102,36100,40000,False,True,331001,sbg_tower_001_day,6210076,1210076
10077,ALL,77,116,104,36900,40000,False,True,232003,sbg_tower_001_day,6210077,1210077
10078,ALL,78,118,106,38100,40000,False,True,332001,sbg_tower_001_day,6210078,1210078
10079,ALL,79,120,108,39600,40000,False,True,232002,sbg_tower_001_day,6210079,1210079
10080,ALL,80,122,110,40700,40000,False,True,142003,sbg_tower_001_day,6210080,1210080
10081,ALL,81,124,112,44000,40000,False,True,132003,sbg_tower_001_day,6210081,1210081
10082,ALL,82,126,114,46000,40000,False,True,232006,sbg_tower_001_day,6210082,1210082
10083,ALL,83,128,116,48100,40000,False,True,232001,sbg_tower_001_day,6210083,1210083
10084,ALL,84,130,118,49400,40000,False,True,132004,sbg_tower_001_day,6210084,1210084
10085,ALL,85,132,120,51600,40000,False,True,332007,sbg_tower_001_day,6210085,1210085
10086,ALL,86,134,122,52800,40000,False,True,232003,sbg_tower_001_day,6210086,1210086
10087,ALL,87,136,124,54300,40000,False,True,132002,sbg_tower_001_day,6210087,1210087
10088,ALL,88,138,126,56000,40000,False,True,332005,sbg_tower_001_day,6210088,1210088
10089,ALL,89,140,128,57200,40000,False,True,132004,sbg_tower_001_day,6210089,1210089
10090,ALL,90,134,122,60200,40000,False,True,152002,sbg_tower_001_day,6210090,1210090
10091,ALL,91,144,129,62900,40000,False,True,232005,sbg_tower_001_day,6210091,1210091
10092,ALL,92,146,131,66300,40000,False,True,131004,sbg_tower_001_day,6210092,1210092
10093,ALL,93,148,133,67600,40000,False,True,332006,sbg_tower_001_day,6210093,1210093
10094,ALL,94,150,135,69000,40000,False,True,332002,sbg_tower_001_day,6210094,1210094
10095,ALL,95,152,137,73100,40000,False,True,132001,sbg_tower_001_day,6210095,1210095
10096,ALL,96,154,139,74600,40000,False,True,132006,sbg_tower_001_day,6210096,1210096
10097,ALL,97,156,141,75800,40000,False,True,231002,sbg_tower_001_day,6210097,1210097
10098,ALL,98,158,143,78000,40000,False,True,132002,sbg_tower_001_day,6210098,1210098
10099,ALL,99,160,145,80100,40000,False,True,332006,sbg_tower_001_day,6210099,1210099
10100,ALL,100,162,147,81500,40000,False,True,142001,sbg_tower_001_day,6210100,1210100
10101,ALL,101,164,149,87600,40000,False,True,332006,sbg_tower_001_day,6210101,1210101
10102,ALL,102,166,151,89000,40000,False,True,132004,sbg_tower_001_day,6210102,1210102
10103,ALL,103,168,153,90700,40000,False,True,332004,sbg_tower_001_day,6210103,1210103
