id,effecttype,applytype,icon_resource,name_locale,desc_locale
1,AddBasicElectronicsAmount,Build,rebuildeden_icn_synergy_electric_up,Locale_Event:rebe_effect_name_addBasicElectronicsAmount,Locale_Event:rebe_effect_desc_addBasicElectronicsAmount
2,AddDispatchFailProbability,Environment,rebuildeden_icn_synergy_dispatchratio_down,Locale_Event:rebe_effect_name_addDispatchFailProbability,Locale_Event:rebe_effect_desc_addDispatchFailProbability
3,AddDispatchResourcePercentage,Barrack,rebuildeden_icn_synergy_dispatchratio_up,Locale_Event:rebe_effect_name_addDispatchResourcePercentage,Locale_Event:rebe_effect_desc_addDispatchResourcePercentage
4,AddDispatchSuccessProbability,Barrack,rebuildeden_icn_synergy_dispatchratio_up,Locale_Event:rebe_effect_name_addDispatchSuccessProbability,Locale_Event:rebe_effect_desc_addDispatchSuccessProbability
5,DecreaseBuildSynergyEffect,Environment,rebuildeden_icn_synergy_synergyeffect_down,Locale_Event:rebe_effect_name_decreaseBuildeffectEffect,Locale_Event:rebe_effect_desc_decreaseBuildeffectEffect
6,DecreaseCreateTime,Build,rebuildeden_icn_synergy_crafttime_down,Locale_Event:rebe_effect_name_decreaseCreateTime,Locale_Event:rebe_effect_desc_decreaseCreateTime
7,DecreaseElectronicsRequirementAmount,Build,rebuildeden_icn_synergy_electric_down,Locale_Event:rebe_effect_name_decreaseElectronicsRequirementAmount,Locale_Event:rebe_effect_desc_decreaseElectronicsRequirementAmount
8,DecreaseDispatchResourcePercentage,Environment,rebuildeden_icn_synergy_dispatchratio_down,Locale_Event:rebe_effect_name_decreaseDispatchResourcePercentage,Locale_Event:rebe_effect_desc_decreaseDispatchResourcePercentage
9,DecreaseDispatchWaitTime,Barrack,rebuildeden_icn_synergy_time_down,Locale_Event:rebe_effect_name_decreaseDispatchWaitTime,Locale_Event:rebe_effect_desc_decreaseDispatchWaitTime
10,DecreaseRecruitValuePercentage,Build,rebuildeden_icn_synergy_money_down,Locale_Event:rebe_effect_name_decreaseRecruitValuePercentage,Locale_Event:rebe_effect_desc_decreaseRecruitValuePercentage
11,DecreaseRequirementAmount,Build,rebuildeden_icn_synergy_material_down,Locale_Event:rebe_effect_name_decreaseRequirementAmount,Locale_Event:rebe_effect_desc_decreaseRequirementAmount
12,DecreaseSideElectronicsRequirementAmount,Build,rebuildeden_icn_synergy_electric_down,Locale_Event:rebe_effect_name_decreaseSideElectronicsRequirementAmount,Locale_Event:rebe_effect_desc_decreaseSideElectronicsRequirementAmount
13,DecreaseUnitSpd,Environment,rebuildeden_icn_synergy_movespeed_down,Locale_Event:rebe_effect_name_decreaseUnitSpd,Locale_Event:rebe_effect_desc_decreaseUnitSpd
14,IncreaseAllSlotCreateTime,Environment,rebuildeden_icn_synergy_crafttime_up,Locale_Event:rebe_effect_name_IncreaseAllSlotCreateTime,Locale_Event:rebe_effect_desc_IncreaseAllSlotCreateTime
15,IncreaseBuildElectronics,Environment,rebuildeden_icn_synergy_electric_up,Locale_Event:rebe_effect_name_IncreaseBuildElectronics,Locale_Event:rebe_effect_desc_IncreaseBuildElectronics
16,IncreaseBuildSynergyEffect,Environment,rebuildeden_icn_synergy_synergyeffect_up,Locale_Event:rebe_effect_name_IncreaseBuildeffectEffect,Locale_Event:rebe_effect_desc_IncreaseBuildeffectEffect
17,IncreaseProductionAmount,Build,rebuildeden_icn_synergy_craft_up,Locale_Event:rebe_effect_name_IncreaseProductionAmount,Locale_Event:rebe_effect_desc_IncreaseProductionAmount
18,IncreaseRequirementAmount,Environment,rebuildeden_icn_synergy_material_up,Locale_Event:rebe_effect_name_IncreaseRequirementAmount,Locale_Event:rebe_effect_desc_IncreaseRequirementAmount
19,IncreaseUnitHireAmount,Environment,rebuildeden_icn_synergy_money_up,Locale_Event:rebe_effect_name_IncreaseUnitHireAmount,Locale_Event:rebe_effect_desc_IncreaseUnitHireAmount
20,IncreaseUnitSpd,Environment,rebuildeden_icn_synergy_movespeed_up,Locale_Event:rebe_effect_name_IncreaseUnitSpd,Locale_Event:rebe_effect_desc_IncreaseUnitSpd
