id,name_localkey,description_localkey,buff_description_localkey,resource_id,slot_order,buff_level,buff_type,buff_value,upgrade_cost_currency_id,upgrade_cost_currency_value
10100,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_name,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_desc,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_buff_desc,bm_icon_buff_levelup,1,0,SetStageStartCharacterLevel,0,3.0,10.0
10101,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_name,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_desc,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_buff_desc,bm_icon_buff_levelup,1,1,SetStageStartCharacterLevel,1,3.0,10.0
10102,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_name,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_desc,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_buff_desc,bm_icon_buff_levelup,1,2,SetStageStartCharacterLevel,2,3.0,10.0
10103,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_name,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_desc,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_buff_desc,bm_icon_buff_levelup,1,3,SetStageStartCharacterLevel,3,3.0,10.0
10104,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_name,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_desc,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_buff_desc,bm_icon_buff_levelup,1,4,SetStageStartCharacterLevel,4,3.0,10.0
10105,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_name,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_desc,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_buff_desc,bm_icon_buff_levelup,1,5,SetStageStartCharacterLevel,5,3.0,10.0
10106,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_name,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_desc,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_buff_desc,bm_icon_buff_levelup,1,6,SetStageStartCharacterLevel,6,3.0,10.0
10107,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_name,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_desc,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_buff_desc,bm_icon_buff_levelup,1,7,SetStageStartCharacterLevel,7,3.0,10.0
10108,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_name,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_desc,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_buff_desc,bm_icon_buff_levelup,1,8,SetStageStartCharacterLevel,8,3.0,10.0
10109,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_name,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_desc,Locale_Event:EventBM_buff_SetStageStartCharacterLevel_buff_desc,bm_icon_buff_levelup,1,9,SetStageStartCharacterLevel,9,3.0,10.0
