id,stepup_group_id,package_group_id,step,previous_package_id,is_last_step,product_effieciency,buy_limit_type,is_limit,buy_limit_count,is_free,midas_product_id,name_localkey,description_localkey,product_resource_id
202301,2023,202301,1,0,False,0,Account,True,1,True,10202301,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_PRODUCT_01_NAME,Locale_InAppShopProduct:PACKAGESHOP_PRODUCT_DESC,icn_inappshop_package_stepup_01_01
202302,2023,202302,2,202301,False,4,Account,True,1,False,10202302,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_PRODUCT_02_NAME,Locale_InAppShopProduct:PACKAGESHOP_PRODUCT_DESC,icn_inappshop_package_stepup_01_02
202303,2023,202303,3,202302,False,4,Account,True,1,False,10202303,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_PRODUCT_03_NAME,Locale_InAppShopProduct:PACKAGESHOP_PRODUCT_DESC,icn_inappshop_package_stepup_01_03
202304,2023,202304,4,202303,False,3,Account,True,1,False,10202304,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_PRODUCT_04_NAME,Locale_InAppShopProduct:PACKAGESHOP_PRODUCT_DESC,icn_inappshop_package_stepup_01_04
202305,2023,202305,5,202304,True,3,Account,True,1,False,10202305,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_PRODUCT_05_NAME,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_PRODUCT_05_DESC,icn_inappshop_package_stepup_01_05
203001,2030,203001,1,0,False,0,Account,True,1,True,10203001,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_PRODUCT_01_NAME,Locale_InAppShopProduct:PACKAGESHOP_PRODUCT_DESC,icn_inappshop_package_stepup_01_01
203002,2030,203002,2,203001,False,4,Account,True,1,False,10203002,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_PRODUCT_02_NAME,Locale_InAppShopProduct:PACKAGESHOP_PRODUCT_DESC,icn_inappshop_package_weekly_01
203003,2030,203003,3,203002,False,3,Account,True,1,False,10203003,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_PRODUCT_03_NAME,Locale_InAppShopProduct:PACKAGESHOP_PRODUCT_DESC,icn_inappshop_package_stepup_02_03
203004,2030,203004,4,203003,False,3,Account,True,1,False,10203004,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_PRODUCT_04_NAME,Locale_InAppShopProduct:PACKAGESHOP_PRODUCT_DESC,icn_inappshop_package_stepup_02_04
203005,2030,203005,5,203004,True,3,Account,True,1,False,10203005,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_PRODUCT_05_NAME,Locale_InAppShopProduct:PACKAGESHOP_PRODUCT_DESC,icn_inappshop_package_stepup_02_05
203901,2039,203001,1,0,False,0,Account,True,1,True,10203901,Locale_InAppShopProduct:PACKAGESHOP_STEPUP_01_PRODUCT_01_NAME,Locale_InAppShopProduct:PACKAGESHOP_PRODUCT_DESC,icn_inappshop_package_stepup_01_01
